Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert 5.0,Group A,1,Single game,1 1/2 Sport athletes,SR Quick Trigger,1 1/2 Sport athletes,21,11,,,,,Connor Nelson,Josh Fragiacomo,Nate Gauthier,Nicolas Yabar
Group Stage,Expert 5.0,Group A,1,Single game,Upstairs,cinquante dix coque,Upstairs,21,11,,,,,Josh Cain,Kyan Kornfeld,Max Huang,Paul Halphen
Group Stage,Expert 5.0,Group A,1,Single game,EZ John,In Due Time,In Due Time,17,21,,,,,Ethan Zehr,John Choi,Michael Du,Tim Gaskin
Group Stage,Expert 5.0,Group B,1,Single game,JP^2,NovaWurked,JP^2,21,17,,,,,Jacob Payer,Luke Pennington,Marc Baldwin,Isaiah Sanborn
Group Stage,Expert 5.0,Group B,1,Single game,Agatha Tamers,Contender Players,Agatha Tamers,21,19,,,,,Trevor Barbosa,Schon Siguenza,Rafi Moldovsky,Arrow Griner
Group Stage,Expert 5.0,Group B,1,Single game,Handsome Parabatai,Land cucumbers,Handsome Parabatai,21,19,,,,,Kayla Wu,Buddy Hammon,Clifton Miller,Marlon Fleming
Group Stage,Expert 5.0,Group C,1,Single game,JP^3,Arrow Down,JP^3,21,17,,,,,Andrew Kosche,Joseph Kaylor,Noah Johnson,Alec Galbo
Group Stage,Expert 5.0,Group C,1,Single game,Overnight Ortlip,Whenimechainthesuma,Whenimechainthesuma,22,24,,,,,Matt Ortlip,Brandon Brown,James Lamkin,Jake Woolley
Group Stage,Expert 5.0,Group C,1,Single game,chicken wing,Drew me like one of your French girls,Drew me like one of your French girls,14,21,,,,,David Gonzales,tucker judkins,Karah Hui,Drew Cummins
Group Stage,Expert 5.0,Group A,2,Single game,1 1/2 Sport athletes,cinquante dix coque,1 1/2 Sport athletes,21,10,,,,,Connor Nelson,Josh Fragiacomo,Max Huang,Paul Halphen
Group Stage,Expert 5.0,Group A,2,Single game,Upstairs,EZ John,Upstairs,21,14,,,,,Josh Cain,Kyan Kornfeld,Ethan Zehr,John Choi
Group Stage,Expert 5.0,Group A,2,Single game,In Due Time,SR Quick Trigger,In Due Time,21,12,,,,,Michael Du,Tim Gaskin,Nate Gauthier,Nicolas Yabar
Group Stage,Expert 5.0,Group B,2,Single game,JP^2,Contender Players,JP^2,21,13,,,,,Jacob Payer,Luke Pennington,Rafi Moldovsky,Arrow Griner
Group Stage,Expert 5.0,Group B,2,Single game,Agatha Tamers,Handsome Parabatai,Handsome Parabatai,19,21,,,,,Trevor Barbosa,Schon Siguenza,Kayla Wu,Buddy Hammon
Group Stage,Expert 5.0,Group B,2,Single game,Land cucumbers,NovaWurked,Land cucumbers,21,19,,,,,Clifton Miller,Marlon Fleming,Marc Baldwin,Isaiah Sanborn
Group Stage,Expert 5.0,Group C,2,Single game,JP^3,Whenimechainthesuma,JP^3,21,15,,,,,Andrew Kosche,Joseph Kaylor,James Lamkin,Jake Woolley
Group Stage,Expert 5.0,Group C,2,Single game,Overnight Ortlip,chicken wing,Overnight Ortlip,21,16,,,,,Matt Ortlip,Brandon Brown,David Gonzales,tucker judkins
Group Stage,Expert 5.0,Group C,2,Single game,Drew me like one of your French girls,Arrow Down,Arrow Down,19,21,,,,,Karah Hui,Drew Cummins,Noah Johnson,Alec Galbo
Group Stage,Expert 5.0,Group A,3,Single game,1 1/2 Sport athletes,In Due Time,1 1/2 Sport athletes,25,23,,,,,Connor Nelson,Josh Fragiacomo,Michael Du,Tim Gaskin
Group Stage,Expert 5.0,Group A,3,Single game,Upstairs,SR Quick Trigger,Upstairs,21,12,,,,,Josh Cain,Kyan Kornfeld,Nate Gauthier,Nicolas Yabar
Group Stage,Expert 5.0,Group A,3,Single game,EZ John,cinquante dix coque,EZ John,21,17,,,,,Ethan Zehr,John Choi,Max Huang,Paul Halphen
