Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open 4.5 (Contender),Group A,1,Single game,Stumble Guys,Wooden and Nooka,Stumble Guys,21,6,,,,,Victor da Silva,Jacob Fritz,Shane Wooden,Srihith Nooka
Pool Play,Open 4.5 (Contender),Group A,1,Single game,Romano & Onge,DUI guys,Romano & Onge,21,15,,,,,Nick St Onge,Julian Romano,Davis Kennedy,Kellan Andry
Pool Play,Open 4.5 (Contender),Group A,1,Single game,phlyin phils,boca boys,boca boys,10,21,,,,,Luke Kenney,Kerrick Vesper,Collin McNeal,Connor Burt
Pool Play,Open 4.5 (Contender),Group B,1,Single game,Juan Night with Joe Mama,my spikeballs in your mouth,Juan Night with Joe Mama,21,10,,,,,Juan Moscoso,Joe Hoang,Brennen Sohn,Kyle tomaselli
Pool Play,Open 4.5 (Contender),Group B,1,Single game,DoggieL0v3rs,#1 blonde haters,DoggieL0v3rs,21,19,,,,,Nickolas Forbes,Luke Fatkus,brennan doak,Michael Mallette
Pool Play,Open 4.5 (Contender),Group C,1,Single game,Welp,Bollywood Bouncers,Welp,21,8,,,,,Daniel Gonzalez,Jake Todd,Sumedh Edavalluri,Arin Sareddy
Pool Play,Open 4.5 (Contender),Group C,1,Single game,The Enoks,Big Dan & Little Joe,The Enoks,21,17,,,,,Enok Arocho,Willie Rowland,Joseph England,Daniel DeRosa
Pool Play,Open 4.5 (Contender),Group A,2,Single game,Stumble Guys,DUI guys,Stumble Guys,21,11,,,,,Victor da Silva,Jacob Fritz,Davis Kennedy,Kellan Andry
Pool Play,Open 4.5 (Contender),Group A,2,Single game,Romano & Onge,phlyin phils,Romano & Onge,21,9,,,,,Nick St Onge,Julian Romano,Luke Kenney,Kerrick Vesper
Pool Play,Open 4.5 (Contender),Group A,2,Single game,boca boys,Wooden and Nooka,boca boys,21,4,,,,,Collin McNeal,Connor Burt,Shane Wooden,Srihith Nooka
Pool Play,Open 4.5 (Contender),Group B,2,Single game,Juan Night with Joe Mama,#1 blonde haters,#1 blonde haters,22,24,,,,,Juan Moscoso,Joe Hoang,brennan doak,Michael Mallette
Pool Play,Open 4.5 (Contender),Group B,2,Single game,Spurlin and Alaburda,my spikeballs in your mouth,Spurlin and Alaburda,21,16,,,,,Joey Alaburda,Tanner Spurlin,Brennen Sohn,Kyle tomaselli
