Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert(4.5),Group A,1,Single game,ClubSpike Big Slick,Arctic Chill,ClubSpike Big Slick,21,11,,,,,Neal Bergman,Chris Wilkins,Levi Ott,Bennett Oetken
Group Stage,Expert(4.5),Group A,1,Single game,Colinumerable,Sams Club,Colinumerable,21,15,,,,,Jason Inumerable,Colin Hobart,Samantha Barklow,samantha greathouse
Group Stage,Expert(4.5),Group A,1,Single game,upstairs?,T/T,upstairs?,21,10,,,,,Chase Bremner,Kenny Velu,Treyton Schoessow,Tab Dayani
Group Stage,Expert(4.5),Group B,1,Single game,Revised Banquet,Waterboys,Revised Banquet,21,3,,,,,Gavin Broekema,Andy Trower,Joey OBrien,Tyler Sempek
Group Stage,Expert(4.5),Group B,1,Single game,Cupcake,Spicy Food Enjoyers,Cupcake,21,12,,,,,Rohil Senapati,Jack Bush,Kishore Natchiappan,Luke Nemec
Group Stage,Expert(4.5),Group B,1,Single game,Last Minute,Hot Pockets,Hot Pockets,12,21,,,,,Johnnie Teng,Camden Sandberg,Matthew Greathouse,Jacob Lanenga
Group Stage,Expert(4.5),Group C,1,Single game,Revisions Needed,Team xD,Revisions Needed,21,5,,,,,Lindros Beard,Mitch Kelley,Caleb Bartman,Anthony Bartman
Group Stage,Expert(4.5),Group C,1,Single game,Pepi’s People,NY Yankers,Pepi’s People,21,16,,,,,Wyatt Semke,Joey Reynolds,Ethan Ferland,Alex Luc
Group Stage,Expert(4.5),Group C,1,Single game,Righteous Rights,Pocket Aces,Pocket Aces,16,21,,,,,Marty Merigold,John Clark,Trevor Sargent,lucas klopfenstein
Group Stage,Expert(4.5),Group A,2,Single game,ClubSpike Big Slick,Sams Club,ClubSpike Big Slick,21,6,,,,,Neal Bergman,Chris Wilkins,Samantha Barklow,samantha greathouse
Group Stage,Expert(4.5),Group A,2,Single game,Colinumerable,upstairs?,upstairs?,17,21,,,,,Jason Inumerable,Colin Hobart,Chase Bremner,Kenny Velu
Group Stage,Expert(4.5),Group A,2,Single game,T/T,Arctic Chill,Arctic Chill,18,21,,,,,Treyton Schoessow,Tab Dayani,Levi Ott,Bennett Oetken
Group Stage,Expert(4.5),Group B,2,Single game,Revised Banquet,Spicy Food Enjoyers,Revised Banquet,21,11,,,,,Gavin Broekema,Andy Trower,Kishore Natchiappan,Luke Nemec
Group Stage,Expert(4.5),Group B,2,Single game,Cupcake,Last Minute,Cupcake,21,14,,,,,Rohil Senapati,Jack Bush,Johnnie Teng,Camden Sandberg
Group Stage,Expert(4.5),Group B,2,Single game,Hot Pockets,Waterboys,Hot Pockets,23,21,,,,,Matthew Greathouse,Jacob Lanenga,Joey OBrien,Tyler Sempek
Group Stage,Expert(4.5),Group C,2,Single game,Revisions Needed,NY Yankers,Revisions Needed,21,13,,,,,Lindros Beard,Mitch Kelley,Ethan Ferland,Alex Luc
Group Stage,Expert(4.5),Group C,2,Single game,Pepi’s People,Righteous Rights,Pepi’s People,21,16,,,,,Wyatt Semke,Joey Reynolds,Marty Merigold,John Clark
Group Stage,Expert(4.5),Group C,2,Single game,Pocket Aces,Team xD,Pocket Aces,21,10,,,,,Trevor Sargent,lucas klopfenstein,Caleb Bartman,Anthony Bartman
Group Stage,Expert(4.5),Group A,3,Single game,ClubSpike Big Slick,T/T,ClubSpike Big Slick,21,7,,,,,Neal Bergman,Chris Wilkins,Treyton Schoessow,Tab Dayani
Group Stage,Expert(4.5),Group A,3,Single game,Colinumerable,Arctic Chill,Colinumerable,21,17,,,,,Jason Inumerable,Colin Hobart,Levi Ott,Bennett Oetken
Group Stage,Expert(4.5),Group A,3,Single game,upstairs?,Sams Club,upstairs?,21,12,,,,,Chase Bremner,Kenny Velu,Samantha Barklow,samantha greathouse
Group Stage,Expert(4.5),Group B,3,Single game,Revised Banquet,Hot Pockets,Revised Banquet,21,9,,,,,Gavin Broekema,Andy Trower,Matthew Greathouse,Jacob Lanenga
Group Stage,Expert(4.5),Group B,3,Single game,Cupcake,Waterboys,Cupcake,21,13,,,,,Rohil Senapati,Jack Bush,Joey OBrien,Tyler Sempek
Group Stage,Expert(4.5),Group B,3,Single game,Last Minute,Spicy Food Enjoyers,Last Minute,21,15,,,,,Johnnie Teng,Camden Sandberg,Kishore Natchiappan,Luke Nemec
Group Stage,Expert(4.5),Group C,3,Single game,Revisions Needed,Pocket Aces,Pocket Aces,17,21,,,,,Lindros Beard,Mitch Kelley,Trevor Sargent,lucas klopfenstein
Group Stage,Expert(4.5),Group C,3,Single game,Pepi’s People,Team xD,Pepi’s People,21,11,,,,,Wyatt Semke,Joey Reynolds,Caleb Bartman,Anthony Bartman
Group Stage,Expert(4.5),Group C,3,Single game,Righteous Rights,NY Yankers,Righteous Rights,21,16,,,,,Marty Merigold,John Clark,Ethan Ferland,Alex Luc
Group Stage,Expert(4.5),Group A,4,Single game,ClubSpike Big Slick,upstairs?,ClubSpike Big Slick,21,11,,,,,Neal Bergman,Chris Wilkins,Chase Bremner,Kenny Velu
Group Stage,Expert(4.5),Group A,4,Single game,Colinumerable,T/T,Colinumerable,21,15,,,,,Jason Inumerable,Colin Hobart,Treyton Schoessow,Tab Dayani
Group Stage,Expert(4.5),Group A,4,Single game,Sams Club,Arctic Chill,Arctic Chill,13,21,,,,,Samantha Barklow,samantha greathouse,Levi Ott,Bennett Oetken
Group Stage,Expert(4.5),Group B,4,Single game,Revised Banquet,Last Minute,Revised Banquet,21,8,,,,,Gavin Broekema,Andy Trower,Johnnie Teng,Camden Sandberg
Group Stage,Expert(4.5),Group B,4,Single game,Cupcake,Hot Pockets,Cupcake,21,10,,,,,Rohil Senapati,Jack Bush,Matthew Greathouse,Jacob Lanenga
Group Stage,Expert(4.5),Group B,4,Single game,Spicy Food Enjoyers,Waterboys,Spicy Food Enjoyers,21,14,,,,,Kishore Natchiappan,Luke Nemec,Joey OBrien,Tyler Sempek
Group Stage,Expert(4.5),Group C,4,Single game,Revisions Needed,Righteous Rights,Revisions Needed,21,12,,,,,Lindros Beard,Mitch Kelley,Marty Merigold,John Clark
Group Stage,Expert(4.5),Group C,4,Single game,Pepi’s People,Pocket Aces,Pocket Aces,18,21,,,,,Wyatt Semke,Joey Reynolds,Trevor Sargent,lucas klopfenstein
Group Stage,Expert(4.5),Group C,4,Single game,NY Yankers,Team xD,NY Yankers,21,7,,,,,Ethan Ferland,Alex Luc,Caleb Bartman,Anthony Bartman
Group Stage,Expert(4.5),Group A,5,Single game,ClubSpike Big Slick,Colinumerable,ClubSpike Big Slick,21,10,,,,,Neal Bergman,Chris Wilkins,Jason Inumerable,Colin Hobart
Group Stage,Expert(4.5),Group A,5,Single game,upstairs?,Arctic Chill,upstairs?,21,14,,,,,Chase Bremner,Kenny Velu,Levi Ott,Bennett Oetken
Group Stage,Expert(4.5),Group A,5,Single game,T/T,Sams Club,T/T,21,15,,,,,Treyton Schoessow,Tab Dayani,Samantha Barklow,samantha greathouse
Group Stage,Expert(4.5),Group B,5,Single game,Revised Banquet,Cupcake,Revised Banquet,21,19,,,,,Gavin Broekema,Andy Trower,Rohil Senapati,Jack Bush
Group Stage,Expert(4.5),Group B,5,Single game,Last Minute,Waterboys,Last Minute,21,13,,,,,Johnnie Teng,Camden Sandberg,Joey OBrien,Tyler Sempek
Group Stage,Expert(4.5),Group B,5,Single game,Hot Pockets,Spicy Food Enjoyers,Hot Pockets,21,19,,,,,Matthew Greathouse,Jacob Lanenga,Kishore Natchiappan,Luke Nemec
Group Stage,Expert(4.5),Group C,5,Single game,Revisions Needed,Pepi’s People,Revisions Needed,21,19,,,,,Lindros Beard,Mitch Kelley,Wyatt Semke,Joey Reynolds
Group Stage,Expert(4.5),Group C,5,Single game,Righteous Rights,Team xD,Righteous Rights,21,14,,,,,Marty Merigold,John Clark,Caleb Bartman,Anthony Bartman
Group Stage,Expert(4.5),Group C,5,Single game,Pocket Aces,NY Yankers,Pocket Aces,21,18,,,,,Trevor Sargent,lucas klopfenstein,Ethan Ferland,Alex Luc
Bracket Stage,Expert(4.5),Bracket A,Round of 32,Best of 3,T/T,Team xD,T/T,21,11,21,15,,,Treyton Schoessow,Tab Dayani,Caleb Bartman,Anthony Bartman
Bracket Stage,Expert(4.5),Bracket A,Round of 32,Best of 3,Waterboys,Sams Club,Waterboys,0,1,1,0,1,0,Joey OBrien,Tyler Sempek,Samantha Barklow,samantha greathouse
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,ClubSpike Big Slick,Waterboys,ClubSpike Big Slick,21,9,21,8,,,Neal Bergman,Chris Wilkins,Joey OBrien,Tyler Sempek
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Revised Banquet,T/T,Revised Banquet,21,12,21,6,,,Gavin Broekema,Andy Trower,Treyton Schoessow,Tab Dayani
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Pocket Aces,Spicy Food Enjoyers,Pocket Aces,21,18,21,18,,,Trevor Sargent,lucas klopfenstein,Kishore Natchiappan,Luke Nemec
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Cupcake,NY Yankers,Cupcake,21,18,21,13,,,Rohil Senapati,Jack Bush,Ethan Ferland,Alex Luc
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Revisions Needed,Last Minute,Revisions Needed,21,10,21,10,,,Lindros Beard,Mitch Kelley,Johnnie Teng,Camden Sandberg
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,upstairs?,Arctic Chill,upstairs?,21,16,21,17,,,Chase Bremner,Kenny Velu,Levi Ott,Bennett Oetken
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Pepi’s People,Righteous Rights,Pepi’s People,21,13,21,18,,,Wyatt Semke,Joey Reynolds,Marty Merigold,John Clark
Bracket Stage,Expert(4.5),Bracket A,Round of 16,Best of 3,Colinumerable,Hot Pockets,Colinumerable,21,15,19,21,24,22,Jason Inumerable,Colin Hobart,Matthew Greathouse,Jacob Lanenga
Bracket Stage,Expert(4.5),Bracket A,Quarter-final,Best of 3,ClubSpike Big Slick,Colinumerable,ClubSpike Big Slick,21,9,21,17,,,Neal Bergman,Chris Wilkins,Jason Inumerable,Colin Hobart
Bracket Stage,Expert(4.5),Bracket A,Quarter-final,Best of 3,Revised Banquet,Pepi’s People,Revised Banquet,21,18,21,16,,,Gavin Broekema,Andy Trower,Wyatt Semke,Joey Reynolds
Bracket Stage,Expert(4.5),Bracket A,Quarter-final,Best of 3,Pocket Aces,upstairs?,Pocket Aces,29,31,1,0,1,0,Trevor Sargent,lucas klopfenstein,Chase Bremner,Kenny Velu
Bracket Stage,Expert(4.5),Bracket A,Quarter-final,Best of 3,Cupcake,Revisions Needed,Revisions Needed,15,21,21,18,17,21,Rohil Senapati,Jack Bush,Lindros Beard,Mitch Kelley
Bracket Stage,Expert(4.5),Bracket A,P9: Quarter-final,Best of 3,Hot Pockets,Waterboys,Hot Pockets,0,-1,0,-1,,,Matthew Greathouse,Jacob Lanenga,Joey OBrien,Tyler Sempek
Bracket Stage,Expert(4.5),Bracket A,P9: Quarter-final,Best of 3,Righteous Rights,T/T,Righteous Rights,21,16,21,16,,,Marty Merigold,John Clark,Treyton Schoessow,Tab Dayani
Bracket Stage,Expert(4.5),Bracket A,P9: Quarter-final,Best of 3,Arctic Chill,Spicy Food Enjoyers,Arctic Chill,21,14,22,20,,,Levi Ott,Bennett Oetken,Kishore Natchiappan,Luke Nemec
Bracket Stage,Expert(4.5),Bracket A,P9: Quarter-final,Best of 3,Last Minute,NY Yankers,Last Minute,0,-1,0,-1,,,Johnnie Teng,Camden Sandberg,Ethan Ferland,Alex Luc
Bracket Stage,Expert(4.5),Bracket A,Semi-final,Best of 3,ClubSpike Big Slick,Revisions Needed,ClubSpike Big Slick,21,15,21,8,,,Neal Bergman,Chris Wilkins,Lindros Beard,Mitch Kelley
Bracket Stage,Expert(4.5),Bracket A,Semi-final,Best of 3,Revised Banquet,Pocket Aces,Revised Banquet,21,11,0,-1,,,Gavin Broekema,Andy Trower,Trevor Sargent,lucas klopfenstein
Bracket Stage,Expert(4.5),Bracket A,P5: Semi-final,Best of 3,Cupcake,Colinumerable,Cupcake,21,16,21,18,,,Rohil Senapati,Jack Bush,Jason Inumerable,Colin Hobart
Bracket Stage,Expert(4.5),Bracket A,P5: Semi-final,Best of 3,upstairs?,Pepi’s People,Pepi’s People,16,21,19,21,,,Chase Bremner,Kenny Velu,Wyatt Semke,Joey Reynolds
Bracket Stage,Expert(4.5),Bracket A,P9: Semi-final,Best of 3,Hot Pockets,Last Minute,Hot Pockets,1,0,1,0,,,Matthew Greathouse,Jacob Lanenga,Johnnie Teng,Camden Sandberg
Bracket Stage,Expert(4.5),Bracket A,P9: Semi-final,Best of 3,Righteous Rights,Arctic Chill,Righteous Rights,21,19,21,15,,,Marty Merigold,John Clark,Levi Ott,Bennett Oetken
Bracket Stage,Expert(4.5),Bracket A,Final,Best of 3,ClubSpike Big Slick,Revised Banquet,ClubSpike Big Slick,21,18,21,12,,,Neal Bergman,Chris Wilkins,Gavin Broekema,Andy Trower
Bracket Stage,Expert(4.5),Bracket A,P3: Final,Best of 3,Pocket Aces,Revisions Needed,Revisions Needed,16,21,15,21,,,Trevor Sargent,lucas klopfenstein,Lindros Beard,Mitch Kelley
Bracket Stage,Expert(4.5),Bracket A,P5: Final,Best of 3,Cupcake,Pepi’s People,Cupcake,26,28,21,15,0,-1,Rohil Senapati,Jack Bush,Wyatt Semke,Joey Reynolds
Bracket Stage,Expert(4.5),Bracket A,P7: Final,Best of 3,upstairs?,Colinumerable,upstairs?,21,16,22,20,,,Chase Bremner,Kenny Velu,Jason Inumerable,Colin Hobart
Bracket Stage,Expert(4.5),Bracket A,P9: Final,Best of 3,Hot Pockets,Righteous Rights,Righteous Rights,-1,0,-1,0,,,Matthew Greathouse,Jacob Lanenga,Marty Merigold,John Clark
Bracket Stage,Expert(4.5),Bracket A,P17: Final,Best of 3,Sams Club,Team xD,Sams Club,1,0,1,0,,,Samantha Barklow,samantha greathouse,Caleb Bartman,Anthony Bartman
Group Stage,Advanced(4.0)/Intermediate(3.0),Group A,1,Single game,Injured and More Injured,Two White Guys,Injured and More Injured,21,14,,,,,Ryan Lechner,Conor Cronan,Ole Scholz,William White
Group Stage,Advanced(4.0)/Intermediate(3.0),Group A,1,Single game,Can't Cut Serve,Spikeological Warfare,Can't Cut Serve,21,14,,,,,Noah Geller,Emmanuel Nodal,Nathan Foor,Maeya Bakke
Group Stage,Advanced(4.0)/Intermediate(3.0),Group A,1,Single game,It takes two to fwango,Queso Fundido,It takes two to fwango,21,7,,,,,Brandon Fong,Harry Soyka,Andi Davenport,Israel Hernandez
