Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert 5.0,Group A,1,Single game,75 Soft,ABG Scale Theory,75 Soft,21,13,,,,,Jason Rhoads,Samuel Buckman,Elle Lowe,Karah Hui
Group Stage,Expert 5.0,Group A,1,Single game,Hit Ball Hard,ball go sideways,ball go sideways,16,21,,,,,Luke Pennington,Dylan Medveal,Ryan Benz,James Lamkin
Group Stage,Expert 5.0,Group A,1,Single game,Player Safety,You think you’re better than me,Player Safety,21,18,,,,,Arrow Griner,Matt Ortlip,John Choi,Seth Holbrook
Group Stage,Expert 5.0,Group B,1,Single game,Transcontinental,half a vaccine,Transcontinental,21,17,,,,,Jacob Payer,tucker judkins,Thomas Pence,Noah Johnson
Group Stage,Expert 5.0,Group B,1,Single game,Coleboys,Sleeper Builds,Sleeper Builds,20,22,,,,,Andrew Kosche,Jacob Martinez,Evan Bock,Angel Hernandez
Group Stage,Expert 5.0,Group B,1,Single game,See you in the finals,Fractal Spikes,Fractal Spikes,16,21,,,,,Clifton Miller,Ethan Zehr,Michael Du,Connor Nelson
Group Stage,Expert 5.0,Group A,2,Single game,75 Soft,ball go sideways,75 Soft,21,16,,,,,Jason Rhoads,Samuel Buckman,Ryan Benz,James Lamkin
Group Stage,Expert 5.0,Group A,2,Single game,Hit Ball Hard,"Flashbang ",Hit Ball Hard,21,17,,,,,Luke Pennington,Dylan Medveal,Erik Faeustle,Joseph Kaylor
Group Stage,Expert 5.0,Group A,2,Single game,You think you’re better than me,ABG Scale Theory,ABG Scale Theory,19,21,,,,,John Choi,Seth Holbrook,Elle Lowe,Karah Hui
Group Stage,Expert 5.0,Group B,2,Single game,Transcontinental,Sleeper Builds,Transcontinental,21,19,,,,,Jacob Payer,tucker judkins,Evan Bock,Angel Hernandez
Group Stage,Expert 5.0,Group B,2,Single game,Coleboys,See you in the finals,See you in the finals,17,21,,,,,Andrew Kosche,Jacob Martinez,Clifton Miller,Ethan Zehr
Group Stage,Expert 5.0,Group B,2,Single game,Fractal Spikes,half a vaccine,Fractal Spikes,21,12,,,,,Michael Du,Connor Nelson,Thomas Pence,Noah Johnson
Group Stage,Expert 5.0,Group A,3,Single game,75 Soft,You think you’re better than me,You think you’re better than me,18,21,,,,,Jason Rhoads,Samuel Buckman,John Choi,Seth Holbrook
Group Stage,Expert 5.0,Group A,3,Single game,Hit Ball Hard,Player Safety,Player Safety,20,22,,,,,Luke Pennington,Dylan Medveal,Arrow Griner,Matt Ortlip
Group Stage,Expert 5.0,Group A,3,Single game,"Flashbang ",ball go sideways,ball go sideways,18,21,,,,,Erik Faeustle,Joseph Kaylor,Ryan Benz,James Lamkin
Group Stage,Expert 5.0,Group B,3,Single game,Transcontinental,Fractal Spikes,Transcontinental,21,17,,,,,Jacob Payer,tucker judkins,Michael Du,Connor Nelson
Group Stage,Expert 5.0,Group B,3,Single game,Coleboys,half a vaccine,Coleboys,21,19,,,,,Andrew Kosche,Jacob Martinez,Thomas Pence,Noah Johnson
Group Stage,Expert 5.0,Group B,3,Single game,See you in the finals,Sleeper Builds,See you in the finals,21,16,,,,,Clifton Miller,Ethan Zehr,Evan Bock,Angel Hernandez
Group Stage,Expert 5.0,Group A,4,Single game,75 Soft,"Flashbang ","Flashbang ",15,21,,,,,Jason Rhoads,Samuel Buckman,Erik Faeustle,Joseph Kaylor
Group Stage,Expert 5.0,Group A,4,Single game,Hit Ball Hard,ABG Scale Theory,Hit Ball Hard,21,18,,,,,Luke Pennington,Dylan Medveal,Elle Lowe,Karah Hui
Group Stage,Expert 5.0,Group A,4,Single game,Player Safety,ball go sideways,Player Safety,21,17,,,,,Arrow Griner,Matt Ortlip,Ryan Benz,James Lamkin
Group Stage,Expert 5.0,Group B,4,Single game,Transcontinental,See you in the finals,See you in the finals,15,21,,,,,Jacob Payer,tucker judkins,Clifton Miller,Ethan Zehr
Group Stage,Expert 5.0,Group B,4,Single game,Coleboys,Fractal Spikes,Fractal Spikes,15,21,,,,,Andrew Kosche,Jacob Martinez,Michael Du,Connor Nelson
Group Stage,Expert 5.0,Group B,4,Single game,Sleeper Builds,half a vaccine,Sleeper Builds,21,18,,,,,Evan Bock,Angel Hernandez,Thomas Pence,Noah Johnson
Group Stage,Expert 5.0,Group A,5,Single game,Hit Ball Hard,You think you’re better than me,You think you’re better than me,22,24,,,,,Luke Pennington,Dylan Medveal,John Choi,Seth Holbrook
Group Stage,Expert 5.0,Group A,5,Single game,Player Safety,"Flashbang ","Flashbang ",14,21,,,,,Arrow Griner,Matt Ortlip,Erik Faeustle,Joseph Kaylor
Group Stage,Expert 5.0,Group A,5,Single game,ball go sideways,ABG Scale Theory,ball go sideways,22,20,,,,,Ryan Benz,James Lamkin,Elle Lowe,Karah Hui
Group Stage,Expert 5.0,Group B,5,Single game,Transcontinental,Coleboys,Coleboys,20,22,,,,,Jacob Payer,tucker judkins,Andrew Kosche,Jacob Martinez
