Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier (5.0),Group A,1,Single game,Rogue,Get Gaped,Rogue,21,17,,,,,Thomas Hamilton,Ryan Marino,Nick Evanko,Tim Lacagnina
Pool Play,Premier (5.0),Group A,1,Single game,Evasive Maneuvers,A Savage 21st,Evasive Maneuvers,21,18,,,,,Michael Barkman,Jenson Miller,Josef Quispe,Jared Beaufait
Pool Play,Premier (5.0),Group B,1,Single game,Kingdom Come,Risky Business,Kingdom Come,21,10,,,,,Matthew Cole,Grant Klapwijk,Kyle Fowler,Justin Kehoe
Pool Play,Premier (5.0),Group B,1,Single game,Autonomous,Flubbin Trash,Autonomous,21,15,,,,,Chase Meyer,Tyler Fernandez,Jayson Rhea,Ian Murphy
Pool Play,Premier (5.0),Group C,1,Single game,TRP Mermaid Sparkle,Asioneer,TRP Mermaid Sparkle,21,16,,,,,Christian Bennett,Noah Luskus,Jerry Lee,CHOU PO-JUI
Pool Play,Premier (5.0),Group C,1,Single game,WySpike Sweepers,YMCA,WySpike Sweepers,21,17,,,,,Nick Noguez,Colton Mowry,Carter Hodgson,david seo
Pool Play,Premier (5.0),Group C,1,Single game,Hive Mind,Munch,Hive Mind,21,18,,,,,Lindros Beard,Cole Maddox,Gabriel Skaggs,Josiah McKinney
Pool Play,Premier (5.0),Group D,1,Single game,Profit Boost,Ledbetter/Raman,Profit Boost,21,7,,,,,Kieran Rose,Justin Shaytar,Henry Raman,James Ledbetter
Pool Play,Premier (5.0),Group D,1,Single game,Absolutely Sozzled,TRA.wav,Absolutely Sozzled,21,13,,,,,Matthew Burrows,Cade Larson,Noah Vasington,Houston Sproles
Pool Play,Premier (5.0),Group D,1,Single game,Kevin's Famous Chili - Taylor’s Version,Revised Banquet,Revised Banquet,17,21,,,,,Thomas Maloney,Dylan Bricker,Gavin Broekema,Andy Trower
Pool Play,Premier (5.0),Group E,1,Single game,Morgan/Mowry,Providence,Morgan/Mowry,21,13,,,,,Luke Mowry,Dawson Morgan,Brandon Arledge,Ian Timan
Pool Play,Premier (5.0),Group E,1,Single game,ILL,DMChilly,ILL,21,15,,,,,Brendan Ferreira,Olivia Jenki,Derek McRea,Christian Hill
Pool Play,Premier (5.0),Group E,1,Single game,Sunday Special,Skill Issue,Sunday Special,21,19,,,,,Owen Bass,Peter Lu,Adam Porter,Josh Hutko
Pool Play,Premier (5.0),Group A,2,Single game,Rogue,A Savage 21st,Rogue,21,11,,,,,Thomas Hamilton,Ryan Marino,Josef Quispe,Jared Beaufait
Pool Play,Premier (5.0),Group A,2,Single game,Left Twix,Get Gaped,Get Gaped,14,21,,,,,Samuel Corey,Kurt Lannetti,Nick Evanko,Tim Lacagnina
Pool Play,Premier (5.0),Group B,2,Single game,Kingdom Come,Flubbin Trash,Kingdom Come,21,13,,,,,Matthew Cole,Grant Klapwijk,Jayson Rhea,Ian Murphy
Pool Play,Premier (5.0),Group B,2,Single game,Fear Itself,Risky Business,Fear Itself,21,17,,,,,Jake Mottershead,Corey Weiss,Kyle Fowler,Justin Kehoe
