Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert 4.0-5.0,Group A,1,Single game,Pai Sho,Ball Busters,Pai Sho,21,15,,,,,Jacob Payer,Ethan Zehr,Thompson Yang,Billy Durrill
Group Stage,Expert 4.0-5.0,Group A,1,Single game,"See Ball, Whiff Ball",jihadi out the cave,"See Ball, Whiff Ball",24,22,,,,,Dylan Medveal,Matthew Waisner,"Kaden  Hagenbuch ",Parminder Parmar
Group Stage,Expert 4.0-5.0,Group B,1,Single game,Shifty,Apples,Shifty,21,7,,,,,Samuel Buckman,Trevor Barbosa,Elle Lowe,Michael Liu
Group Stage,Expert 4.0-5.0,Group B,1,Single game,Judgemental Eyes and Luke,Mario & Luigi,Judgemental Eyes and Luke,21,12,,,,,Luke Pennington,tucker judkins,Evan Cox,Leo Cox
Group Stage,Expert 4.0-5.0,Group C,1,Single game,Josh,SC Dream Team,Josh,20,10,,,,,Josh Fragiacomo,Josh Cain,Andrew Chestnut,
Group Stage,Expert 4.0-5.0,Group C,1,Single game,Fractal Spikes,Ben Squared,Fractal Spikes,21,13,,,,,Connor Nelson,Michael Du,Bendix Heß,Benjamin Walker-Edwards
Group Stage,Expert 4.0-5.0,Group D,1,Single game,Oswalt / Schrag,DEEZ NETS!!!,Oswalt / Schrag,21,5,,,,,Ryan Oswalt,Nathaniel Schrag,Ragav Subramanian,Justin Silver
Group Stage,Expert 4.0-5.0,Group D,1,Single game,Degenerational Wealth,pure filth,Degenerational Wealth,21,18,,,,,brandon brown,Jason Rhoads,Nate Gauthier,Nathan Robertt
Group Stage,Expert 4.0-5.0,Group A,2,Single game,Pai Sho,jihadi out the cave,Pai Sho,21,14,,,,,Jacob Payer,Ethan Zehr,"Kaden  Hagenbuch ",Parminder Parmar
Group Stage,Expert 4.0-5.0,Group A,2,Single game,Yellow Fever,Ball Busters,Yellow Fever,21,10,,,,,Franz Castillo,Pio Clavecilla,Thompson Yang,Billy Durrill
