Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Gold 5.0,Group A,1,Single game,Cerebral Drizzle,Hash Slinging Slashers,Cerebral Drizzle,21,15,,,,,Matthew Burrows,Brian Childs,Paul Belton,Walter Siller
Group Stage,Gold 5.0,Group A,1,Single game,Pink Lemonade,Fajita Rita,Fajita Rita,14,21,,,,,Nathan Garcia,AJ Hutchinson,James Ledbetter,Josiah Sanders
Group Stage,Gold 5.0,Group B,1,Single game,Heroes and Villains,New Cut,Heroes and Villains,21,10,,,,,Tyler Fernandez,Andrew Christmas,David Z,Hayden Woolard
Group Stage,Gold 5.0,Group B,1,Single game,nap,Rice Cakes,nap,21,14,,,,,Caleb Cummings,Nickhil Anantha,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group C,1,Single game,Single Clutch,chips and salsa,Single Clutch,21,18,,,,,Rahul Murthy,Grayson M  Wills,Andrew Yager,
Group Stage,Gold 5.0,Group C,1,Single game,The WySpiker and the Wannabe,6 Paths,The WySpiker and the Wannabe,21,17,,,,,Brandon Arledge,Luke Mowry,Isaac Bozarth,Iason Hayes
Group Stage,Gold 5.0,Group A,2,Single game,Cerebral Drizzle,Fajita Rita,Cerebral Drizzle,21,15,,,,,Matthew Burrows,Brian Childs,James Ledbetter,Josiah Sanders
Group Stage,Gold 5.0,Group A,2,Single game,Dax and worse Dax,Hash Slinging Slashers,Dax and worse Dax,21,12,,,,,Dax O'Hair,Ian Austin,Paul Belton,Walter Siller
Group Stage,Gold 5.0,Group B,2,Single game,Heroes and Villains,Rice Cakes,Heroes and Villains,21,15,,,,,Tyler Fernandez,Andrew Christmas,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group B,2,Single game,"Toxic Babblers ",New Cut,"Toxic Babblers ",21,13,,,,,Jonathan Burer,Garrett Ashton,David Z,Hayden Woolard
Group Stage,Gold 5.0,Group C,2,Single game,Single Clutch,6 Paths,Single Clutch,21,16,,,,,Rahul Murthy,Grayson M  Wills,Isaac Bozarth,Iason Hayes
Group Stage,Gold 5.0,Group C,2,Single game,Yucky,chips and salsa,chips and salsa,16,21,,,,,Felipe Martinez,kevin cadle,Andrew Yager,
Group Stage,Gold 5.0,Group A,3,Single game,Cerebral Drizzle,Dax and worse Dax,Cerebral Drizzle,21,15,,,,,Matthew Burrows,Brian Childs,Dax O'Hair,Ian Austin
Group Stage,Gold 5.0,Group A,3,Single game,Pink Lemonade,Hash Slinging Slashers,Pink Lemonade,21,15,,,,,Nathan Garcia,AJ Hutchinson,Paul Belton,Walter Siller
Group Stage,Gold 5.0,Group B,3,Single game,Heroes and Villains,"Toxic Babblers ",Heroes and Villains,21,15,,,,,Tyler Fernandez,Andrew Christmas,Jonathan Burer,Garrett Ashton
Group Stage,Gold 5.0,Group B,3,Single game,nap,New Cut,nap,21,13,,,,,Caleb Cummings,Nickhil Anantha,David Z,Hayden Woolard
Group Stage,Gold 5.0,Group C,3,Single game,Single Clutch,Yucky,Single Clutch,21,15,,,,,Rahul Murthy,Grayson M  Wills,Felipe Martinez,kevin cadle
Group Stage,Gold 5.0,Group C,3,Single game,The WySpiker and the Wannabe,chips and salsa,The WySpiker and the Wannabe,21,18,,,,,Brandon Arledge,Luke Mowry,Andrew Yager,
Group Stage,Gold 5.0,Group A,4,Single game,Pink Lemonade,Dax and worse Dax,Dax and worse Dax,19,21,,,,,Nathan Garcia,AJ Hutchinson,Dax O'Hair,Ian Austin
Group Stage,Gold 5.0,Group A,4,Single game,Fajita Rita,Hash Slinging Slashers,Hash Slinging Slashers,13,21,,,,,James Ledbetter,Josiah Sanders,Paul Belton,Walter Siller
