Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Gold 5.0,Group A,1,Single game,"TRP Pain Killers ",Whatever idrc,"TRP Pain Killers ",15,13,,,,,Matthew Cole,Christian Bennett,Ian Austin,Micah Allin
Group Stage,Gold 5.0,Group A,1,Single game,Rice Cakes,ClearBlade,Rice Cakes,15,10,,,,,Owen Lynch,JP Chincuanco,Ethan McWhirter,Brian Jennerich
Group Stage,Gold 5.0,Group B,1,Single game,Cheeky Boys,Breaking Point,Cheeky Boys,15,6,,,,,Tyler Fernandez,Cade Larson,James Ledbetter,Caleb Allen
Group Stage,Gold 5.0,Group B,1,Single game,WySpike Synergy,Low Blows,WySpike Synergy,15,6,,,,,Matthew Burrows,Nick Noguez,Jonathan Yuan,Kevin Chen
Group Stage,Gold 5.0,Group C,1,Single game,Luke,"Reagan/Truman 2024 ",Luke,15,11,,,,,Luke Mowry,Luke Marshall,Rhett Howe,bradley thompson
Group Stage,Gold 5.0,Group C,1,Single game,WySpike Butterfingers,Flummoxed,WySpike Butterfingers,15,7,,,,,Colton Mowry,Garrett Hornok,Dylan Jimenez,Robert Sellers
Group Stage,Gold 5.0,Group D,1,Single game,Splash,Cornelius/Wagoner,Splash,15,5,,,,,Brian Childs,fredric hinkle,Bryce Wagoner,Logan Cornelius
Group Stage,Gold 5.0,Group D,1,Single game,Short Kings,Lab Rats,Short Kings,15,8,,,,,Caleb Cummings,Myles Coleman,Samuel Cole,Michael Milliorn
Group Stage,Gold 5.0,Group A,2,Single game,"TRP Pain Killers ",ClearBlade,"TRP Pain Killers ",15,7,,,,,Matthew Cole,Christian Bennett,Ethan McWhirter,Brian Jennerich
Group Stage,Gold 5.0,Group A,2,Single game,Martinez/Arledge,Whatever idrc,Martinez/Arledge,15,13,,,,,Brandon Arledge,Felipe Martinez,Ian Austin,Micah Allin
Group Stage,Gold 5.0,Group B,2,Single game,Cheeky Boys,Low Blows,Cheeky Boys,15,7,,,,,Tyler Fernandez,Cade Larson,Jonathan Yuan,Kevin Chen
Group Stage,Gold 5.0,Group B,2,Single game,Fool's Gold,Breaking Point,Fool's Gold,16,14,,,,,Jerm Porter,Josiah Sanders,James Ledbetter,Caleb Allen
Group Stage,Gold 5.0,Group C,2,Single game,Luke,Flummoxed,Luke,15,12,,,,,Luke Mowry,Luke Marshall,Dylan Jimenez,Robert Sellers
Group Stage,Gold 5.0,Group C,2,Single game,Hash Slinging Slashers,"Reagan/Truman 2024 ","Reagan/Truman 2024 ",13,15,,,,,Paul Belton,Walter Siller,Rhett Howe,bradley thompson
Group Stage,Gold 5.0,Group D,2,Single game,Splash,Lab Rats,Splash,15,12,,,,,Brian Childs,fredric hinkle,Samuel Cole,Michael Milliorn
Group Stage,Gold 5.0,Group D,2,Single game,Walk in the Park,Cornelius/Wagoner,Walk in the Park,18,16,,,,,jacob gansle,Iason Hayes,Bryce Wagoner,Logan Cornelius
Group Stage,Gold 5.0,Group A,3,Single game,"TRP Pain Killers ",Martinez/Arledge,"TRP Pain Killers ",15,9,,,,,Matthew Cole,Christian Bennett,Brandon Arledge,Felipe Martinez
Group Stage,Gold 5.0,Group A,3,Single game,Rice Cakes,Whatever idrc,Whatever idrc,9,15,,,,,Owen Lynch,JP Chincuanco,Ian Austin,Micah Allin
Group Stage,Gold 5.0,Group B,3,Single game,Cheeky Boys,Fool's Gold,Cheeky Boys,15,13,,,,,Tyler Fernandez,Cade Larson,Jerm Porter,Josiah Sanders
Group Stage,Gold 5.0,Group B,3,Single game,WySpike Synergy,Breaking Point,WySpike Synergy,15,10,,,,,Matthew Burrows,Nick Noguez,James Ledbetter,Caleb Allen
Group Stage,Gold 5.0,Group C,3,Single game,Luke,Hash Slinging Slashers,Luke,15,11,,,,,Luke Mowry,Luke Marshall,Paul Belton,Walter Siller
Group Stage,Gold 5.0,Group C,3,Single game,WySpike Butterfingers,"Reagan/Truman 2024 ","Reagan/Truman 2024 ",14,16,,,,,Colton Mowry,Garrett Hornok,Rhett Howe,bradley thompson
Group Stage,Gold 5.0,Group D,3,Single game,Splash,Walk in the Park,Splash,15,8,,,,,Brian Childs,fredric hinkle,jacob gansle,Iason Hayes
Group Stage,Gold 5.0,Group D,3,Single game,Short Kings,Cornelius/Wagoner,Short Kings,15,12,,,,,Caleb Cummings,Myles Coleman,Bryce Wagoner,Logan Cornelius
Group Stage,Gold 5.0,Group A,4,Single game,Rice Cakes,Martinez/Arledge,Rice Cakes,15,13,,,,,Owen Lynch,JP Chincuanco,Brandon Arledge,Felipe Martinez
Group Stage,Gold 5.0,Group A,4,Single game,ClearBlade,Whatever idrc,Whatever idrc,9,15,,,,,Ethan McWhirter,Brian Jennerich,Ian Austin,Micah Allin
