Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,4.0+ Women's Advanced,Group A,1,Single game,"Stef and Abby ",Liquid Wrench,"Stef and Abby ",15,4,,,,,Abby Piedmont,Stef Ding,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,1,Single game,whiff & tiff?,Women in STEM,whiff & tiff?,15,13,,,,,Tiff Ding,Meagan Bown,Bel Belvedere,Lauren Viado
Pool Play,4.0+ Women's Advanced,Group A,1,Single game,Scrambled Legs,Sets and the City,Scrambled Legs,16,14,,,,,Lourna Szabanos,Amanda Jamieson,Katrina Gabriella,Elizabeth Wiecek
Pool Play,4.0+ Women's Advanced,Group A,2,Single game,"Stef and Abby ",Women in STEM,"Stef and Abby ",15,10,,,,,Abby Piedmont,Stef Ding,Bel Belvedere,Lauren Viado
Pool Play,4.0+ Women's Advanced,Group A,2,Single game,whiff & tiff?,Goofy Goobers,Goofy Goobers,18,20,,,,,Tiff Ding,Meagan Bown,Alyssa Drain,Katheleen Phan
Pool Play,4.0+ Women's Advanced,Group A,2,Single game,Sets and the City,Liquid Wrench,Liquid Wrench,10,15,,,,,Katrina Gabriella,Elizabeth Wiecek,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,3,Single game,"Stef and Abby ",Sets and the City,"Stef and Abby ",15,10,,,,,Abby Piedmont,Stef Ding,Katrina Gabriella,Elizabeth Wiecek
Pool Play,4.0+ Women's Advanced,Group A,3,Single game,whiff & tiff?,Scrambled Legs,whiff & tiff?,15,11,,,,,Tiff Ding,Meagan Bown,Lourna Szabanos,Amanda Jamieson
Pool Play,4.0+ Women's Advanced,Group A,3,Single game,Goofy Goobers,Women in STEM,Goofy Goobers,15,9,,,,,Alyssa Drain,Katheleen Phan,Bel Belvedere,Lauren Viado
Pool Play,4.0+ Women's Advanced,Group A,4,Single game,"Stef and Abby ",Goofy Goobers,"Stef and Abby ",16,14,,,,,Abby Piedmont,Stef Ding,Alyssa Drain,Katheleen Phan
Pool Play,4.0+ Women's Advanced,Group A,4,Single game,whiff & tiff?,Liquid Wrench,whiff & tiff?,15,8,,,,,Tiff Ding,Meagan Bown,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,4,Single game,Scrambled Legs,Women in STEM,Scrambled Legs,15,12,,,,,Lourna Szabanos,Amanda Jamieson,Bel Belvedere,Lauren Viado
Pool Play,4.0+ Women's Advanced,Group A,5,Single game,whiff & tiff?,Sets and the City,whiff & tiff?,15,9,,,,,Tiff Ding,Meagan Bown,Katrina Gabriella,Elizabeth Wiecek
Pool Play,4.0+ Women's Advanced,Group A,5,Single game,Scrambled Legs,Goofy Goobers,Goofy Goobers,12,15,,,,,Lourna Szabanos,Amanda Jamieson,Alyssa Drain,Katheleen Phan
Pool Play,4.0+ Women's Advanced,Group A,5,Single game,Women in STEM,Liquid Wrench,Liquid Wrench,14,16,,,,,Bel Belvedere,Lauren Viado,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,6,Single game,"Stef and Abby ",Scrambled Legs,"Stef and Abby ",15,11,,,,,Abby Piedmont,Stef Ding,Lourna Szabanos,Amanda Jamieson
Pool Play,4.0+ Women's Advanced,Group A,6,Single game,Goofy Goobers,Liquid Wrench,Goofy Goobers,15,8,,,,,Alyssa Drain,Katheleen Phan,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,6,Single game,Sets and the City,Women in STEM,Sets and the City,15,13,,,,,Katrina Gabriella,Elizabeth Wiecek,Bel Belvedere,Lauren Viado
Pool Play,4.0+ Women's Advanced,Group A,7,Single game,"Stef and Abby ",whiff & tiff?,"Stef and Abby ",15,13,,,,,Abby Piedmont,Stef Ding,Tiff Ding,Meagan Bown
Pool Play,4.0+ Women's Advanced,Group A,7,Single game,Scrambled Legs,Liquid Wrench,Liquid Wrench,14,16,,,,,Lourna Szabanos,Amanda Jamieson,Abigail Lannetti,Courtney Coppage
Pool Play,4.0+ Women's Advanced,Group A,7,Single game,Goofy Goobers,Sets and the City,Goofy Goobers,15,8,,,,,Alyssa Drain,Katheleen Phan,Katrina Gabriella,Elizabeth Wiecek
Bracket Play,4.0+ Women's Advanced,Bracket A,Quarter-final,Best of 3,Goofy Goobers,Women in STEM,Goofy Goobers,21,14,21,16,,,Alyssa Drain,Katheleen Phan,Bel Belvedere,Lauren Viado
Bracket Play,4.0+ Women's Advanced,Bracket A,Quarter-final,Best of 3,whiff & tiff?,Sets and the City,whiff & tiff?,21,12,21,12,,,Tiff Ding,Meagan Bown,Katrina Gabriella,Elizabeth Wiecek
Bracket Play,4.0+ Women's Advanced,Bracket A,Quarter-final,Best of 3,Liquid Wrench,Scrambled Legs,Scrambled Legs,15,21,10,21,,,Abigail Lannetti,Courtney Coppage,Lourna Szabanos,Amanda Jamieson
Bracket Play,4.0+ Women's Advanced,Bracket A,Semi-final,Best of 3,"Stef and Abby ",Scrambled Legs,"Stef and Abby ",21,15,21,16,,,Abby Piedmont,Stef Ding,Lourna Szabanos,Amanda Jamieson
Bracket Play,4.0+ Women's Advanced,Bracket A,Semi-final,Best of 3,Goofy Goobers,whiff & tiff?,whiff & tiff?,19,21,10,21,,,Alyssa Drain,Katheleen Phan,Tiff Ding,Meagan Bown
Bracket Play,4.0+ Women's Advanced,Bracket A,Final,Best of 3,"Stef and Abby ",whiff & tiff?,whiff & tiff?,17,21,13,21,,,Abby Piedmont,Stef Ding,Tiff Ding,Meagan Bown
Bracket Play,4.0+ Women's Advanced,Bracket A,P3: Final,Best of 3,Goofy Goobers,Scrambled Legs,Goofy Goobers,21,15,21,10,,,Alyssa Drain,Katheleen Phan,Lourna Szabanos,Amanda Jamieson
Playout Games,4.0+ Women's Advanced,Group A,1,Single game,Liquid Wrench,Sets and the City,Liquid Wrench,21,8,,,,,Abigail Lannetti,Courtney Coppage,Katrina Gabriella,Elizabeth Wiecek
Playout Games,4.0+ Women's Advanced,Group A,2,Single game,Liquid Wrench,Women in STEM,Liquid Wrench,21,8,,,,,Abigail Lannetti,Courtney Coppage,Bel Belvedere,Lauren Viado
Pool Play,5.0+ Premier (Open),Group A,1,Single game,Bags are Packed,Sufficiently Sauced,Bags are Packed,15,4,,,,,Ryan Gross,Ryan Marino,Sam Mccune,Isaac Staats
Pool Play,5.0+ Premier (Open),Group A,1,Single game,Eternal Atake,AZR Rice Babes,Eternal Atake,15,12,,,,,Reid Lampert,Kurt Lannetti,Tayt Rogers,Aidan Mackey
Pool Play,5.0+ Premier (Open),Group B,1,Single game,"TRP palate cleanser ",Quick Draw,"TRP palate cleanser ",15,8,,,,,Joe Bondi,Clark Marshall,Pat Marinich,Caleb White
Pool Play,5.0+ Premier (Open),Group B,1,Single game,Glizzy Gladiators,"PBR You gotta give ",Glizzy Gladiators,15,9,,,,,Jacob Summers,Polk Denmark,James Richmond,Brian Perlson
Pool Play,5.0+ Premier (Open),Group B,1,Single game,"Porkroll, Egg, & Cheesesteak",PBR Dap & Snap,"Porkroll, Egg, & Cheesesteak",18,16,,,,,Matt Spolarich,Jake Mottershead,A.j. Martin,Jacob Arzaga
Pool Play,5.0+ Premier (Open),Group C,1,Single game,Model/Finocchi,Nic & Kevin,Model/Finocchi,15,6,,,,,Cole Model,Gabe Finocchi,Nicolas Yabar,Kevin Chen
Pool Play,5.0+ Premier (Open),Group C,1,Single game,Profit Boost,RNW Shutter Speed,Profit Boost,15,4,,,,,Justin Shaytar,Kieran Rose,Noah Vasington,Brody Ulrich
Pool Play,5.0+ Premier (Open),Group C,1,Single game,Khaki Shorts,PBR: Lesser Washington Roundnet,Khaki Shorts,15,11,,,,,Dan Bonowski,Demitri Forand,Ezra Dantowitz,Michael Capobianco
Pool Play,5.0+ Premier (Open),Group D,1,Single game,TRPee Golden Shower,High Def,TRPee Golden Shower,15,11,,,,,Will Picone,Dan Abrams,Lucas Hope,Josh DiDonato
Pool Play,5.0+ Premier (Open),Group D,1,Single game,Bot House,Nittany Nation,Bot House,15,10,,,,,Owen Lippman,West Peterson,Tyler Keener,Henry Pleszkoch
Pool Play,5.0+ Premier (Open),Group D,1,Single game,Handsome Man Fans,Dirty soda spike lee,Dirty soda spike lee,13,15,,,,,Calvin Smith,Liam Sherron,Sean Brown,Thomas Hoffman
Pool Play,5.0+ Premier (Open),Group A,2,Single game,Bags are Packed,AZR Rice Babes,Bags are Packed,15,11,,,,,Ryan Gross,Ryan Marino,Tayt Rogers,Aidan Mackey
Pool Play,5.0+ Premier (Open),Group A,2,Single game,VBR Stingray,Sufficiently Sauced,VBR Stingray,16,14,,,,,Josh Esposo,Andrew Gunter,Sam Mccune,Isaac Staats
Pool Play,5.0+ Premier (Open),Group B,2,Single game,"TRP palate cleanser ","PBR You gotta give ","TRP palate cleanser ",17,15,,,,,Joe Bondi,Clark Marshall,James Richmond,Brian Perlson
Pool Play,5.0+ Premier (Open),Group B,2,Single game,Glizzy Gladiators,"Porkroll, Egg, & Cheesesteak",Glizzy Gladiators,15,12,,,,,Jacob Summers,Polk Denmark,Matt Spolarich,Jake Mottershead
Pool Play,5.0+ Premier (Open),Group B,2,Single game,PBR Dap & Snap,Quick Draw,PBR Dap & Snap,16,14,,,,,A.j. Martin,Jacob Arzaga,Pat Marinich,Caleb White
Pool Play,5.0+ Premier (Open),Group C,2,Single game,Model/Finocchi,RNW Shutter Speed,Model/Finocchi,15,8,,,,,Cole Model,Gabe Finocchi,Noah Vasington,Brody Ulrich
Pool Play,5.0+ Premier (Open),Group C,2,Single game,Profit Boost,Khaki Shorts,Profit Boost,15,11,,,,,Justin Shaytar,Kieran Rose,Dan Bonowski,Demitri Forand
Pool Play,5.0+ Premier (Open),Group C,2,Single game,PBR: Lesser Washington Roundnet,Nic & Kevin,PBR: Lesser Washington Roundnet,15,6,,,,,Ezra Dantowitz,Michael Capobianco,Nicolas Yabar,Kevin Chen
Pool Play,5.0+ Premier (Open),Group D,2,Single game,TRPee Golden Shower,Nittany Nation,TRPee Golden Shower,15,7,,,,,Will Picone,Dan Abrams,Tyler Keener,Henry Pleszkoch
Pool Play,5.0+ Premier (Open),Group D,2,Single game,Bot House,Handsome Man Fans,Bot House,15,7,,,,,Owen Lippman,West Peterson,Calvin Smith,Liam Sherron
Pool Play,5.0+ Premier (Open),Group D,2,Single game,Dirty soda spike lee,High Def,Dirty soda spike lee,15,13,,,,,Sean Brown,Thomas Hoffman,Lucas Hope,Josh DiDonato
Pool Play,5.0+ Premier (Open),Group A,3,Single game,Bags are Packed,VBR Stingray,Bags are Packed,15,5,,,,,Ryan Gross,Ryan Marino,Josh Esposo,Andrew Gunter
Pool Play,5.0+ Premier (Open),Group A,3,Single game,Eternal Atake,Sufficiently Sauced,Eternal Atake,15,12,,,,,Reid Lampert,Kurt Lannetti,Sam Mccune,Isaac Staats
Pool Play,5.0+ Premier (Open),Group B,3,Single game,"TRP palate cleanser ",PBR Dap & Snap,"TRP palate cleanser ",15,8,,,,,Joe Bondi,Clark Marshall,A.j. Martin,Jacob Arzaga
Pool Play,5.0+ Premier (Open),Group B,3,Single game,Glizzy Gladiators,Quick Draw,Glizzy Gladiators,15,12,,,,,Jacob Summers,Polk Denmark,Pat Marinich,Caleb White
Pool Play,5.0+ Premier (Open),Group B,3,Single game,"Porkroll, Egg, & Cheesesteak","PBR You gotta give ","Porkroll, Egg, & Cheesesteak",15,11,,,,,Matt Spolarich,Jake Mottershead,James Richmond,Brian Perlson
Pool Play,5.0+ Premier (Open),Group C,3,Single game,Model/Finocchi,PBR: Lesser Washington Roundnet,Model/Finocchi,15,7,,,,,Cole Model,Gabe Finocchi,Ezra Dantowitz,Michael Capobianco
Pool Play,5.0+ Premier (Open),Group C,3,Single game,Profit Boost,Nic & Kevin,Profit Boost,15,4,,,,,Justin Shaytar,Kieran Rose,Nicolas Yabar,Kevin Chen
Pool Play,5.0+ Premier (Open),Group C,3,Single game,Khaki Shorts,RNW Shutter Speed,Khaki Shorts,15,7,,,,,Dan Bonowski,Demitri Forand,Noah Vasington,Brody Ulrich
Pool Play,5.0+ Premier (Open),Group D,3,Single game,TRPee Golden Shower,Dirty soda spike lee,TRPee Golden Shower,15,11,,,,,Will Picone,Dan Abrams,Sean Brown,Thomas Hoffman
Pool Play,5.0+ Premier (Open),Group D,3,Single game,Bot House,High Def,Bot House,15,9,,,,,Owen Lippman,West Peterson,Lucas Hope,Josh DiDonato
Pool Play,5.0+ Premier (Open),Group D,3,Single game,Handsome Man Fans,Nittany Nation,Handsome Man Fans,15,13,,,,,Calvin Smith,Liam Sherron,Tyler Keener,Henry Pleszkoch
Pool Play,5.0+ Premier (Open),Group A,4,Single game,Eternal Atake,VBR Stingray,Eternal Atake,15,10,,,,,Reid Lampert,Kurt Lannetti,Josh Esposo,Andrew Gunter
Pool Play,5.0+ Premier (Open),Group A,4,Single game,AZR Rice Babes,Sufficiently Sauced,AZR Rice Babes,15,13,,,,,Tayt Rogers,Aidan Mackey,Sam Mccune,Isaac Staats
Pool Play,5.0+ Premier (Open),Group B,4,Single game,"TRP palate cleanser ","Porkroll, Egg, & Cheesesteak","Porkroll, Egg, & Cheesesteak",20,21,,,,,Joe Bondi,Clark Marshall,Matt Spolarich,Jake Mottershead
Pool Play,5.0+ Premier (Open),Group B,4,Single game,Glizzy Gladiators,PBR Dap & Snap,PBR Dap & Snap,15,17,,,,,Jacob Summers,Polk Denmark,A.j. Martin,Jacob Arzaga
Pool Play,5.0+ Premier (Open),Group B,4,Single game,"PBR You gotta give ",Quick Draw,"PBR You gotta give ",15,11,,,,,James Richmond,Brian Perlson,Pat Marinich,Caleb White
Pool Play,5.0+ Premier (Open),Group C,4,Single game,Model/Finocchi,Khaki Shorts,Model/Finocchi,15,10,,,,,Cole Model,Gabe Finocchi,Dan Bonowski,Demitri Forand
Pool Play,5.0+ Premier (Open),Group C,4,Single game,Profit Boost,PBR: Lesser Washington Roundnet,Profit Boost,15,9,,,,,Justin Shaytar,Kieran Rose,Ezra Dantowitz,Michael Capobianco
Pool Play,5.0+ Premier (Open),Group C,4,Single game,RNW Shutter Speed,Nic & Kevin,Nic & Kevin,13,15,,,,,Noah Vasington,Brody Ulrich,Nicolas Yabar,Kevin Chen
Pool Play,5.0+ Premier (Open),Group D,4,Single game,TRPee Golden Shower,Handsome Man Fans,TRPee Golden Shower,15,10,,,,,Will Picone,Dan Abrams,Calvin Smith,Liam Sherron
Pool Play,5.0+ Premier (Open),Group D,4,Single game,Bot House,Dirty soda spike lee,Bot House,15,10,,,,,Owen Lippman,West Peterson,Sean Brown,Thomas Hoffman
Pool Play,5.0+ Premier (Open),Group D,4,Single game,Nittany Nation,High Def,High Def,20,21,,,,,Tyler Keener,Henry Pleszkoch,Lucas Hope,Josh DiDonato
