Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0+,Group A,1,Single game,Insystem,Slaughter Bros,Insystem,21,10,,,,,Etienne Cote,Blake Bosak,Trevor Slaughter,Ryan Slaughter
Pool Play,Premier 5.0+,Group A,1,Single game,Dialed,American Spikers,Dialed,21,18,,,,,Luke Pennington,Josh Cain,Alex Hart (ASL),Jake Martha
Pool Play,Premier 5.0+,Group A,1,Single game,BorderLine,"Flashbang ",BorderLine,21,18,,,,,Kaleb Wagner,Trey Thompson,Joseph Kaylor,Erik Faeustle
Pool Play,Premier 5.0+,Group B,1,Single game,Profit Boost,Angry Goats 🐐,Profit Boost,21,15,,,,,Kieran Rose,Justin Shaytar,Carlin Vicera,Justin Cho
Pool Play,Premier 5.0+,Group B,1,Single game,The Rule of two,Bradshaw/Cho,The Rule of two,21,19,,,,,Malachi Espinola,Zack Duffy,Conner Bradshaw,Ryan Cho
Pool Play,Premier 5.0+,Group B,1,Single game,Wideman/Christmas,Definitely High,Wideman/Christmas,21,18,,,,,Andrew Christmas,Nick Wideman,Jake Babbitt,Davis Jung
Pool Play,Premier 5.0+,Group C,1,Single game,Sub Par,Never giving you my stickers,Sub Par,21,13,,,,,Jacob Payer,Brandon Brown,Joshua Travis,Jason Small
Pool Play,Premier 5.0+,Group C,1,Single game,TBR Michael Jeff Probst,Baked Goods,TBR Michael Jeff Probst,21,18,,,,,Austin Rawlings,Solomon Berry,Lucas Banks,Noah Saddik
Pool Play,Premier 5.0+,Group C,1,Single game,Faze up,Foote Fetish,Faze up,21,14,,,,,Paq Clifford,Brooks Massey,Nolan Wynkoop,Jake Woolley
Pool Play,Premier 5.0+,Group A,2,Single game,Insystem,American Spikers,Insystem,21,14,,,,,Etienne Cote,Blake Bosak,Alex Hart (ASL),Jake Martha
Pool Play,Premier 5.0+,Group A,2,Single game,Dialed,We dont want to win,We dont want to win,18,21,,,,,Luke Pennington,Josh Cain,Ryan McCargar,Jackson Blackburn
Pool Play,Premier 5.0+,Group A,2,Single game,"Flashbang ",Slaughter Bros,Slaughter Bros,19,21,,,,,Joseph Kaylor,Erik Faeustle,Trevor Slaughter,Ryan Slaughter
Pool Play,Premier 5.0+,Group B,2,Single game,Profit Boost,Bradshaw/Cho,Profit Boost,21,11,,,,,Kieran Rose,Justin Shaytar,Conner Bradshaw,Ryan Cho
Pool Play,Premier 5.0+,Group B,2,Single game,The Rule of two,Wesburn,Wesburn,19,21,,,,,Malachi Espinola,Zack Duffy,Ivan Zeng,Eddy Leung
Pool Play,Premier 5.0+,Group B,2,Single game,Definitely High,Angry Goats 🐐,Definitely High,21,17,,,,,Jake Babbitt,Davis Jung,Carlin Vicera,Justin Cho
Pool Play,Premier 5.0+,Group C,2,Single game,Sub Par,Baked Goods,Sub Par,21,14,,,,,Jacob Payer,Brandon Brown,Lucas Banks,Noah Saddik
Pool Play,Premier 5.0+,Group C,2,Single game,TBR Michael Jeff Probst,Fractal Spikes,Fractal Spikes,17,21,,,,,Austin Rawlings,Solomon Berry,Michael Du,Connor Nelson
Pool Play,Premier 5.0+,Group C,2,Single game,Foote Fetish,Never giving you my stickers,Foote Fetish,21,12,,,,,Nolan Wynkoop,Jake Woolley,Joshua Travis,Jason Small
Pool Play,Premier 5.0+,Group A,3,Single game,Insystem,"Flashbang ",Insystem,21,10,,,,,Etienne Cote,Blake Bosak,Joseph Kaylor,Erik Faeustle
Pool Play,Premier 5.0+,Group A,3,Single game,Dialed,BorderLine,BorderLine,16,21,,,,,Luke Pennington,Josh Cain,Kaleb Wagner,Trey Thompson
Pool Play,Premier 5.0+,Group A,3,Single game,We dont want to win,American Spikers,We dont want to win,21,16,,,,,Ryan McCargar,Jackson Blackburn,Alex Hart (ASL),Jake Martha
Pool Play,Premier 5.0+,Group B,3,Single game,Profit Boost,Definitely High,Profit Boost,21,14,,,,,Kieran Rose,Justin Shaytar,Jake Babbitt,Davis Jung
Pool Play,Premier 5.0+,Group B,3,Single game,The Rule of two,Wideman/Christmas,The Rule of two,21,16,,,,,Malachi Espinola,Zack Duffy,Andrew Christmas,Nick Wideman
Pool Play,Premier 5.0+,Group B,3,Single game,Wesburn,Bradshaw/Cho,Wesburn,21,19,,,,,Ivan Zeng,Eddy Leung,Conner Bradshaw,Ryan Cho
Pool Play,Premier 5.0+,Group C,3,Single game,Sub Par,Foote Fetish,Sub Par,23,21,,,,,Jacob Payer,Brandon Brown,Nolan Wynkoop,Jake Woolley
Pool Play,Premier 5.0+,Group C,3,Single game,TBR Michael Jeff Probst,Faze up,Faze up,19,21,,,,,Austin Rawlings,Solomon Berry,Paq Clifford,Brooks Massey
Pool Play,Premier 5.0+,Group C,3,Single game,Fractal Spikes,Baked Goods,Fractal Spikes,21,17,,,,,Michael Du,Connor Nelson,Lucas Banks,Noah Saddik
Pool Play,Premier 5.0+,Group A,4,Single game,Insystem,We dont want to win,Insystem,21,7,,,,,Etienne Cote,Blake Bosak,Ryan McCargar,Jackson Blackburn
Pool Play,Premier 5.0+,Group A,4,Single game,Dialed,Slaughter Bros,Slaughter Bros,18,21,,,,,Luke Pennington,Josh Cain,Trevor Slaughter,Ryan Slaughter
Pool Play,Premier 5.0+,Group A,4,Single game,BorderLine,American Spikers,BorderLine,21,19,,,,,Kaleb Wagner,Trey Thompson,Alex Hart (ASL),Jake Martha
Pool Play,Premier 5.0+,Group B,4,Single game,Profit Boost,Wesburn,Profit Boost,21,17,,,,,Kieran Rose,Justin Shaytar,Ivan Zeng,Eddy Leung
Pool Play,Premier 5.0+,Group B,4,Single game,The Rule of two,Angry Goats 🐐,The Rule of two,21,15,,,,,Malachi Espinola,Zack Duffy,Carlin Vicera,Justin Cho
Pool Play,Premier 5.0+,Group B,4,Single game,Wideman/Christmas,Bradshaw/Cho,Wideman/Christmas,25,24,,,,,Andrew Christmas,Nick Wideman,Conner Bradshaw,Ryan Cho
Pool Play,Premier 5.0+,Group C,4,Single game,Sub Par,Fractal Spikes,Fractal Spikes,17,21,,,,,Jacob Payer,Brandon Brown,Michael Du,Connor Nelson
Pool Play,Premier 5.0+,Group C,4,Single game,TBR Michael Jeff Probst,Never giving you my stickers,TBR Michael Jeff Probst,21,11,,,,,Austin Rawlings,Solomon Berry,Joshua Travis,Jason Small
Pool Play,Premier 5.0+,Group C,4,Single game,Faze up,Baked Goods,Faze up,21,16,,,,,Paq Clifford,Brooks Massey,Lucas Banks,Noah Saddik
Pool Play,Premier 5.0+,Group A,5,Single game,Dialed,"Flashbang ",Dialed,21,19,,,,,Luke Pennington,Josh Cain,Joseph Kaylor,Erik Faeustle
Pool Play,Premier 5.0+,Group A,5,Single game,BorderLine,We dont want to win,We dont want to win,16,21,,,,,Kaleb Wagner,Trey Thompson,Ryan McCargar,Jackson Blackburn
Pool Play,Premier 5.0+,Group A,5,Single game,American Spikers,Slaughter Bros,Slaughter Bros,14,21,,,,,Alex Hart (ASL),Jake Martha,Trevor Slaughter,Ryan Slaughter
Pool Play,Premier 5.0+,Group B,5,Single game,The Rule of two,Definitely High,The Rule of two,22,20,,,,,Malachi Espinola,Zack Duffy,Jake Babbitt,Davis Jung
Pool Play,Premier 5.0+,Group B,5,Single game,Wideman/Christmas,Wesburn,Wideman/Christmas,21,17,,,,,Andrew Christmas,Nick Wideman,Ivan Zeng,Eddy Leung
Pool Play,Premier 5.0+,Group B,5,Single game,Bradshaw/Cho,Angry Goats 🐐,Bradshaw/Cho,21,17,,,,,Conner Bradshaw,Ryan Cho,Carlin Vicera,Justin Cho
Pool Play,Premier 5.0+,Group C,5,Single game,TBR Michael Jeff Probst,Foote Fetish,TBR Michael Jeff Probst,21,16,,,,,Austin Rawlings,Solomon Berry,Nolan Wynkoop,Jake Woolley
Pool Play,Premier 5.0+,Group C,5,Single game,Faze up,Fractal Spikes,Fractal Spikes,17,21,,,,,Paq Clifford,Brooks Massey,Michael Du,Connor Nelson
Pool Play,Premier 5.0+,Group C,5,Single game,Baked Goods,Never giving you my stickers,Never giving you my stickers,16,21,,,,,Lucas Banks,Noah Saddik,Joshua Travis,Jason Small
Pool Play,Premier 5.0+,Group A,6,Single game,Insystem,BorderLine,Insystem,21,14,,,,,Etienne Cote,Blake Bosak,Kaleb Wagner,Trey Thompson
Pool Play,Premier 5.0+,Group A,6,Single game,We dont want to win,Slaughter Bros,Slaughter Bros,24,25,,,,,Ryan McCargar,Jackson Blackburn,Trevor Slaughter,Ryan Slaughter
Pool Play,Premier 5.0+,Group A,6,Single game,"Flashbang ",American Spikers,"Flashbang ",21,13,,,,,Joseph Kaylor,Erik Faeustle,Alex Hart (ASL),Jake Martha
Pool Play,Premier 5.0+,Group B,6,Single game,Profit Boost,Wideman/Christmas,Profit Boost,21,14,,,,,Kieran Rose,Justin Shaytar,Andrew Christmas,Nick Wideman
Pool Play,Premier 5.0+,Group B,6,Single game,Wesburn,Angry Goats 🐐,Wesburn,21,13,,,,,Ivan Zeng,Eddy Leung,Carlin Vicera,Justin Cho
Pool Play,Premier 5.0+,Group B,6,Single game,Definitely High,Bradshaw/Cho,Bradshaw/Cho,16,21,,,,,Jake Babbitt,Davis Jung,Conner Bradshaw,Ryan Cho
Pool Play,Premier 5.0+,Group C,6,Single game,Sub Par,Faze up,Sub Par,21,16,,,,,Jacob Payer,Brandon Brown,Paq Clifford,Brooks Massey
Pool Play,Premier 5.0+,Group C,6,Single game,Fractal Spikes,Never giving you my stickers,Fractal Spikes,21,11,,,,,Michael Du,Connor Nelson,Joshua Travis,Jason Small
Pool Play,Premier 5.0+,Group C,6,Single game,Foote Fetish,Baked Goods,Foote Fetish,21,15,,,,,Nolan Wynkoop,Jake Woolley,Lucas Banks,Noah Saddik
Pool Play,Premier 5.0+,Group A,7,Single game,Insystem,Dialed,Insystem,21,18,,,,,Etienne Cote,Blake Bosak,Luke Pennington,Josh Cain
