Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Expert 5.0+,Group A,1,Single game,Insystem,AZR Spinrates,Insystem,21,9,,,,,Blake Bosak,Etienne Cote,David Mitchell,Jackson Blackburn
Group Stage,Expert 5.0+,Group A,1,Single game,Rowdy,Arrow’s Assless Chaps,Rowdy,21,16,,,,,Ryan Oswalt,Trevor Barbosa,Schon Siguenza,Garrett Meredith
Group Stage,Expert 5.0+,Group B,1,Single game,Bad Combo,Dive Hard,Bad Combo,21,10,,,,,Will Picone,Rahul Murthy,Cole Sanchez,Nolan Wynkoop
Group Stage,Expert 5.0+,Group B,1,Single game,The Rule of two,Misclick,The Rule of two,21,15,,,,,Malachi Espinola,Zack Duffy,Tim Gaskin,Charlie Camarena
Group Stage,Expert 5.0+,Group B,1,Single game,TRP Fleet Footwork,Top of the Hill,TRP Fleet Footwork,21,12,,,,,Ethan McWhirter,Matthew Burrows,Benjamin Bunze,Jake Oxendine
Group Stage,Expert 5.0+,Group C,1,Single game,Nutted on 875,come to brazil,Nutted on 875,21,16,,,,,Brandon Brown,fredric hinkle,Max Huang,Alec Galbo
Group Stage,Expert 5.0+,Group C,1,Single game,BorderLine,no idea,BorderLine,25,24,,,,,Kaleb Wagner,Trey Thompson,Quinn Hufler,tucker judkins
Group Stage,Expert 5.0+,Group C,1,Single game,Dialed,Arch Enemies,Dialed,21,18,,,,,Luke Pennington,Josh Cain,Franz Castillo,Ryan McCargar
Group Stage,Expert 5.0+,Group D,1,Single game,Musty,Blanco Fuego,Musty,21,18,,,,,Jacob Payer,Samuel Buckman,Joseph Kaylor,Jake Babbitt
Group Stage,Expert 5.0+,Group D,1,Single game,Laziest,Quinn's Exes,Laziest,21,19,,,,,Cade Larson,kevin um,Dylan Medveal,Jack Stinson
Group Stage,Expert 5.0+,Group D,1,Single game,Screenagers,SIUUUUUUUUUUUUUUUUU,SIUUUUUUUUUUUUUUUUU,19,21,,,,,Lucas Pruett,Warner Curtis,Cory Chilton,Kyan Kornfeld
Group Stage,Expert 5.0+,Group E,1,Single game,Paq’s delinquent children,Don’t Care,Paq’s delinquent children,21,17,,,,,Xande Plaisted,Garrett Carver,James Lamkin,Jake Woolley
Group Stage,Expert 5.0+,Group E,1,Single game,Chupacabra,Beach Bums,Chupacabra,21,19,,,,,Kieran Rose,Tyler Fernandez,Sasha Mariniuk,Ryan Leong
Group Stage,Expert 5.0+,Group E,1,Single game,Fractal Spikes,Built Different,Fractal Spikes,21,13,,,,,Michael Du,Connor Nelson,Arrow Griner,David Gonzales
Group Stage,Expert 5.0+,Group A,2,Single game,Insystem,Arrow’s Assless Chaps,Insystem,21,12,,,,,Blake Bosak,Etienne Cote,Schon Siguenza,Garrett Meredith
Group Stage,Expert 5.0+,Group A,2,Single game,Ask Nick to do the WAP,AZR Spinrates,Ask Nick to do the WAP,21,17,,,,,Nick Wideman,Grayson M  Wills,David Mitchell,Jackson Blackburn
Group Stage,Expert 5.0+,Group B,2,Single game,Bad Combo,Misclick,Bad Combo,21,17,,,,,Will Picone,Rahul Murthy,Tim Gaskin,Charlie Camarena
Group Stage,Expert 5.0+,Group B,2,Single game,The Rule of two,TRP Fleet Footwork,The Rule of two,21,18,,,,,Malachi Espinola,Zack Duffy,Ethan McWhirter,Matthew Burrows
Group Stage,Expert 5.0+,Group B,2,Single game,Top of the Hill,Dive Hard,Top of the Hill,21,17,,,,,Benjamin Bunze,Jake Oxendine,Cole Sanchez,Nolan Wynkoop
Group Stage,Expert 5.0+,Group C,2,Single game,Nutted on 875,no idea,Nutted on 875,21,18,,,,,Brandon Brown,fredric hinkle,Quinn Hufler,tucker judkins
Group Stage,Expert 5.0+,Group C,2,Single game,BorderLine,Dialed,Dialed,17,21,,,,,Kaleb Wagner,Trey Thompson,Luke Pennington,Josh Cain
Group Stage,Expert 5.0+,Group C,2,Single game,Arch Enemies,come to brazil,Arch Enemies,21,13,,,,,Franz Castillo,Ryan McCargar,Max Huang,Alec Galbo
Group Stage,Expert 5.0+,Group D,2,Single game,Musty,Quinn's Exes,Musty,21,15,,,,,Jacob Payer,Samuel Buckman,Dylan Medveal,Jack Stinson
Group Stage,Expert 5.0+,Group D,2,Single game,Laziest,Screenagers,Screenagers,19,21,,,,,Cade Larson,kevin um,Lucas Pruett,Warner Curtis
Group Stage,Expert 5.0+,Group D,2,Single game,SIUUUUUUUUUUUUUUUUU,Blanco Fuego,Blanco Fuego,18,21,,,,,Cory Chilton,Kyan Kornfeld,Joseph Kaylor,Jake Babbitt
Group Stage,Expert 5.0+,Group E,2,Single game,Paq’s delinquent children,Beach Bums,Paq’s delinquent children,21,15,,,,,Xande Plaisted,Garrett Carver,Sasha Mariniuk,Ryan Leong
Group Stage,Expert 5.0+,Group E,2,Single game,Chupacabra,Fractal Spikes,Chupacabra,22,20,,,,,Kieran Rose,Tyler Fernandez,Michael Du,Connor Nelson
Group Stage,Expert 5.0+,Group E,2,Single game,Built Different,Don’t Care,Don’t Care,12,21,,,,,Arrow Griner,David Gonzales,James Lamkin,Jake Woolley
Group Stage,Expert 5.0+,Group A,3,Single game,Insystem,Ask Nick to do the WAP,Insystem,21,14,,,,,Blake Bosak,Etienne Cote,Nick Wideman,Grayson M  Wills
Group Stage,Expert 5.0+,Group A,3,Single game,Rowdy,AZR Spinrates,Rowdy,22,20,,,,,Ryan Oswalt,Trevor Barbosa,David Mitchell,Jackson Blackburn
Group Stage,Expert 5.0+,Group B,3,Single game,Bad Combo,Top of the Hill,Bad Combo,21,8,,,,,Will Picone,Rahul Murthy,Benjamin Bunze,Jake Oxendine
Group Stage,Expert 5.0+,Group B,3,Single game,The Rule of two,Dive Hard,The Rule of two,21,12,,,,,Malachi Espinola,Zack Duffy,Cole Sanchez,Nolan Wynkoop
Group Stage,Expert 5.0+,Group B,3,Single game,TRP Fleet Footwork,Misclick,TRP Fleet Footwork,21,17,,,,,Ethan McWhirter,Matthew Burrows,Tim Gaskin,Charlie Camarena
Group Stage,Expert 5.0+,Group C,3,Single game,Nutted on 875,Arch Enemies,Nutted on 875,21,17,,,,,Brandon Brown,fredric hinkle,Franz Castillo,Ryan McCargar
Group Stage,Expert 5.0+,Group C,3,Single game,BorderLine,come to brazil,BorderLine,21,13,,,,,Kaleb Wagner,Trey Thompson,Max Huang,Alec Galbo
Group Stage,Expert 5.0+,Group C,3,Single game,Dialed,no idea,Dialed,21,15,,,,,Luke Pennington,Josh Cain,Quinn Hufler,tucker judkins
Group Stage,Expert 5.0+,Group D,3,Single game,Musty,SIUUUUUUUUUUUUUUUUU,SIUUUUUUUUUUUUUUUUU,22,24,,,,,Jacob Payer,Samuel Buckman,Cory Chilton,Kyan Kornfeld
Group Stage,Expert 5.0+,Group D,3,Single game,Laziest,Blanco Fuego,Laziest,21,16,,,,,Cade Larson,kevin um,Joseph Kaylor,Jake Babbitt
Group Stage,Expert 5.0+,Group D,3,Single game,Screenagers,Quinn's Exes,Screenagers,29,27,,,,,Lucas Pruett,Warner Curtis,Dylan Medveal,Jack Stinson
Group Stage,Expert 5.0+,Group E,3,Single game,Paq’s delinquent children,Built Different,Paq’s delinquent children,21,13,,,,,Xande Plaisted,Garrett Carver,Arrow Griner,David Gonzales
