Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Expert 5.0+,Group A,1,Single game,Muscle Mommy,skill issue,Muscle Mommy,21,17,,,,,Noah Luskus,Blake Bosak,Kyan Kornfeld,Nickhil Anantha
Pool Play,Expert 5.0+,Group A,1,Single game,Rhoad work,Premier Rizz,Rhoad work,21,19,,,,,Andrew Kosche,Jason Rhoads,Nathaniel Schrag,Ryan McCargar
Pool Play,Expert 5.0+,Group A,1,Single game,"Acing John Choi is the best feeling ",Orange Dream,"Acing John Choi is the best feeling ",21,14,,,,,Matt Ortlip,Ethan Zehr,Archie Powell,Warner Curtis
Pool Play,Expert 5.0+,Group B,1,Single game,Lazier,Dialed,Lazier,24,22,,,,,Cade Larson,fredric hinkle,Josh Cain,Luke Pennington
Pool Play,Expert 5.0+,Group B,1,Single game,WySpike Synergy,Capobianco/Sandberg,WySpike Synergy,21,18,,,,,Matthew Burrows,Nick Noguez,Michael Capobianco,Camden Sandberg
Pool Play,Expert 5.0+,Group B,1,Single game,Bad Habit,Dylan,Bad Habit,22,20,,,,,Cole Maddox,Kieran Rose,Dylan Bricker,Dylan Medveal
Pool Play,Expert 5.0+,Group C,1,Single game,Cigar Boys,AZR Rice Babes,Cigar Boys,21,11,,,,,Dan Abrams,Grant Laughlin,Tayt Rogers,Aidan Mackey
Pool Play,Expert 5.0+,Group C,1,Single game,Three Crowns,Ankle Issues,Three Crowns,21,12,,,,,Warren Foote,Samuel Buckman,Noah Saddik,Erik Faeustle
Pool Play,Expert 5.0+,Group C,1,Single game,"David GOONzales ",Gumbies,Gumbies,21,23,,,,,Jacob Martinez,Schon Siguenza,Bram Declercq,Dean Wasil
Pool Play,Expert 5.0+,Group D,1,Single game,Woooooo,Bizzy Bizzy,Woooooo,21,17,,,,,Nick Wideman,Etienne Cote,Benjamin Banuelos,Cory Chilton
Pool Play,Expert 5.0+,Group D,1,Single game,Prophecy,Royal Flush,Prophecy,21,15,,,,,Andrew Christmas,Caleb Cummings,Jake LeBaron,Bryant Karratti
Pool Play,Expert 5.0+,Group D,1,Single game,stinky,Stay Brown,Stay Brown,16,21,,,,,Lucas Pruett,tucker judkins,Drew Cummins,Brandon Brown
Pool Play,Expert 5.0+,Group E,1,Single game,Rain or Shine,In Due Time,Rain or Shine,21,15,,,,,Evan Denny,Malachi Espinola,Tim Gaskin,Michael Du
Pool Play,Expert 5.0+,Group E,1,Single game,Endgame,"Acing Ethan and Matt is the best ",Endgame,21,10,,,,,Trevor Barbosa,Josh Fragiacomo,John Choi,Clifton Miller
Pool Play,Expert 5.0+,Group E,1,Single game,Jesus Swept.,Taylor and Xande,Taylor and Xande,17,21,,,,,Jalen Butkus,Solomon Berry,Taylor Church,Xande Plaisted
Pool Play,Expert 5.0+,Group A,2,Single game,Muscle Mommy,Premier Rizz,Muscle Mommy,21,7,,,,,Noah Luskus,Blake Bosak,Nathaniel Schrag,Ryan McCargar
Pool Play,Expert 5.0+,Group A,2,Single game,Rhoad work,"Acing John Choi is the best feeling ",Rhoad work,25,24,,,,,Andrew Kosche,Jason Rhoads,Matt Ortlip,Ethan Zehr
Pool Play,Expert 5.0+,Group A,2,Single game,Orange Dream,skill issue,skill issue,20,22,,,,,Archie Powell,Warner Curtis,Kyan Kornfeld,Nickhil Anantha
Pool Play,Expert 5.0+,Group B,2,Single game,Lazier,Capobianco/Sandberg,Lazier,21,18,,,,,Cade Larson,fredric hinkle,Michael Capobianco,Camden Sandberg
Pool Play,Expert 5.0+,Group B,2,Single game,WySpike Synergy,Bad Habit,WySpike Synergy,21,17,,,,,Matthew Burrows,Nick Noguez,Cole Maddox,Kieran Rose
Pool Play,Expert 5.0+,Group B,2,Single game,Dylan,Dialed,Dialed,11,21,,,,,Dylan Bricker,Dylan Medveal,Josh Cain,Luke Pennington
Pool Play,Expert 5.0+,Group C,2,Single game,Cigar Boys,Ankle Issues,Cigar Boys,21,18,,,,,Dan Abrams,Grant Laughlin,Noah Saddik,Erik Faeustle
Pool Play,Expert 5.0+,Group C,2,Single game,Three Crowns,"David GOONzales ",Three Crowns,21,19,,,,,Warren Foote,Samuel Buckman,Jacob Martinez,Schon Siguenza
Pool Play,Expert 5.0+,Group C,2,Single game,Gumbies,AZR Rice Babes,Gumbies,21,18,,,,,Bram Declercq,Dean Wasil,Tayt Rogers,Aidan Mackey
Pool Play,Expert 5.0+,Group D,2,Single game,Woooooo,Royal Flush,Woooooo,21,18,,,,,Nick Wideman,Etienne Cote,Jake LeBaron,Bryant Karratti
Pool Play,Expert 5.0+,Group D,2,Single game,Prophecy,stinky,Prophecy,21,14,,,,,Andrew Christmas,Caleb Cummings,Lucas Pruett,tucker judkins
Pool Play,Expert 5.0+,Group D,2,Single game,Stay Brown,Bizzy Bizzy,Stay Brown,21,15,,,,,Drew Cummins,Brandon Brown,Benjamin Banuelos,Cory Chilton
Pool Play,Expert 5.0+,Group E,2,Single game,Rain or Shine,"Acing Ethan and Matt is the best ",Rain or Shine,21,15,,,,,Evan Denny,Malachi Espinola,John Choi,Clifton Miller
Pool Play,Expert 5.0+,Group E,2,Single game,Endgame,Jesus Swept.,Endgame,21,15,,,,,Trevor Barbosa,Josh Fragiacomo,Jalen Butkus,Solomon Berry
Pool Play,Expert 5.0+,Group E,2,Single game,Taylor and Xande,In Due Time,Taylor and Xande,21,10,,,,,Taylor Church,Xande Plaisted,Tim Gaskin,Michael Du
