Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,4.0+ Mixed Pro,Group A,1,Single game,Pesto,Simmons students,Pesto,21,4,,,,,Shachi Patel,Ryan Gross,Davis Kennedy,Tate Keber
Pool Play,4.0+ Mixed Pro,Group A,1,Single game,"End Route ",IDK,"End Route ",21,19,,,,,Camille Anderson,Paq Clifford,Josh Fragiacomo,Lou Washburn
Pool Play,4.0+ Mixed Pro,Group B,1,Single game,Chapped Lips,In the Loop,Chapped Lips,21,9,,,,,Kalin Morgan,Dawson Morgan,Jon LeFrois,McKenzie Faherty
Pool Play,4.0+ Mixed Pro,Group B,1,Single game,Kierstie,Side Hoes,Kierstie,21,10,,,,,Kieran Rose,Kirstie Savage,Sarah Vilardo,Ethan Westfall
Pool Play,4.0+ Mixed Pro,Group B,1,Single game,Try Hards TVR,Coup de Tête,Try Hards TVR,27,25,,,,,Kaleb Wagner,Nicol Gahley,Emma Angeletti,Ben Savage
Pool Play,4.0+ Mixed Pro,Group A,2,Single game,Pesto,IDK,IDK,15,21,,,,,Shachi Patel,Ryan Gross,Josh Fragiacomo,Lou Washburn
Pool Play,4.0+ Mixed Pro,Group A,2,Single game,Literit,Simmons students,Literit,21,7,,,,,Sarah Allen,Ethan McWhirter,Davis Kennedy,Tate Keber
Pool Play,4.0+ Mixed Pro,Group B,2,Single game,Chapped Lips,Side Hoes,Chapped Lips,21,11,,,,,Kalin Morgan,Dawson Morgan,Sarah Vilardo,Ethan Westfall
Pool Play,4.0+ Mixed Pro,Group B,2,Single game,Kierstie,Try Hards TVR,Kierstie,21,19,,,,,Kieran Rose,Kirstie Savage,Kaleb Wagner,Nicol Gahley
Pool Play,4.0+ Mixed Pro,Group B,2,Single game,Coup de Tête,In the Loop,Coup de Tête,21,7,,,,,Emma Angeletti,Ben Savage,Jon LeFrois,McKenzie Faherty
Pool Play,4.0+ Mixed Pro,Group A,3,Single game,Pesto,Literit,Pesto,21,14,,,,,Shachi Patel,Ryan Gross,Sarah Allen,Ethan McWhirter
Pool Play,4.0+ Mixed Pro,Group A,3,Single game,"End Route ",Simmons students,"End Route ",21,10,,,,,Camille Anderson,Paq Clifford,Davis Kennedy,Tate Keber
Pool Play,4.0+ Mixed Pro,Group B,3,Single game,Chapped Lips,Coup de Tête,Chapped Lips,21,17,,,,,Kalin Morgan,Dawson Morgan,Emma Angeletti,Ben Savage
Pool Play,4.0+ Mixed Pro,Group B,3,Single game,Kierstie,In the Loop,Kierstie,21,11,,,,,Kieran Rose,Kirstie Savage,Jon LeFrois,McKenzie Faherty
Pool Play,4.0+ Mixed Pro,Group B,3,Single game,Try Hards TVR,Side Hoes,Try Hards TVR,21,15,,,,,Kaleb Wagner,Nicol Gahley,Sarah Vilardo,Ethan Westfall
Pool Play,4.0+ Mixed Pro,Group A,4,Single game,"End Route ",Literit,"End Route ",21,14,,,,,Camille Anderson,Paq Clifford,Sarah Allen,Ethan McWhirter
Pool Play,4.0+ Mixed Pro,Group A,4,Single game,IDK,Simmons students,IDK,21,11,,,,,Josh Fragiacomo,Lou Washburn,Davis Kennedy,Tate Keber
Pool Play,4.0+ Mixed Pro,Group B,4,Single game,Chapped Lips,Try Hards TVR,Chapped Lips,21,19,,,,,Kalin Morgan,Dawson Morgan,Kaleb Wagner,Nicol Gahley
Pool Play,4.0+ Mixed Pro,Group B,4,Single game,Kierstie,Coup de Tête,Kierstie,21,11,,,,,Kieran Rose,Kirstie Savage,Emma Angeletti,Ben Savage
Pool Play,4.0+ Mixed Pro,Group B,4,Single game,Side Hoes,In the Loop,Side Hoes,21,19,,,,,Sarah Vilardo,Ethan Westfall,Jon LeFrois,McKenzie Faherty
Pool Play,4.0+ Mixed Pro,Group A,5,Single game,Pesto,"End Route ","End Route ",18,21,,,,,Shachi Patel,Ryan Gross,Camille Anderson,Paq Clifford
Pool Play,4.0+ Mixed Pro,Group A,5,Single game,Literit,IDK,IDK,15,21,,,,,Sarah Allen,Ethan McWhirter,Josh Fragiacomo,Lou Washburn
Pool Play,4.0+ Mixed Pro,Group B,5,Single game,Chapped Lips,Kierstie,Chapped Lips,21,13,,,,,Kalin Morgan,Dawson Morgan,Kieran Rose,Kirstie Savage
Pool Play,4.0+ Mixed Pro,Group B,5,Single game,Try Hards TVR,In the Loop,Try Hards TVR,21,13,,,,,Kaleb Wagner,Nicol Gahley,Jon LeFrois,McKenzie Faherty
Pool Play,4.0+ Mixed Pro,Group B,5,Single game,Coup de Tête,Side Hoes,Coup de Tête,21,12,,,,,Emma Angeletti,Ben Savage,Sarah Vilardo,Ethan Westfall
Bracket Stage,4.0+ Mixed Pro,Bracket A,Round of 16,Best of 3,Chapped Lips,,Chapped Lips,,,,,,,Kalin Morgan,Dawson Morgan,,
