Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Gold 5.0,Group A,1,Single game,WySpike Sweepers,Beer Bellies,WySpike Sweepers,21,18,,,,,Nick Noguez,Colton Mowry,Noah Johnson,Jonathan Burer
Group Stage,Gold 5.0,Group A,1,Single game,The Imposters,PORKCHOP,The Imposters,21,12,,,,,Luke Marshall,Dax O'Hair,James Ledbetter,Felipe Martinez
Group Stage,Gold 5.0,Group B,1,Single game,WySpike FIFO,Bink City,WySpike FIFO,21,19,,,,,Garrett Hornok,Matthew Burrows,Ian Austin,Myles Coleman
Group Stage,Gold 5.0,Group B,1,Single game,Chump Change,White Rice,Chump Change,21,15,,,,,Fredric Hinkle,Grayson M  Wills,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group B,1,Single game,Arnold Zestaenegger,504 Plan,Arnold Zestaenegger,21,16,,,,,Luis Orozco,Noah Beinart,Bryce Wagoner,Brandon Arledge
Group Stage,Gold 5.0,Group C,1,Single game,Sausage Rotation,Hash Slinging Slashers,Sausage Rotation,21,11,,,,,Luke Mowry,Brian Childs,Walter Siller,Paul Belton
Group Stage,Gold 5.0,Group C,1,Single game,Big Dawgs,Bad setters,Big Dawgs,21,15,,,,,Caleb Cummings,Tyler Fernandez,jacob gansle,kevin cadle
Group Stage,Gold 5.0,Group C,1,Single game,Baylor Toxicity,BHM,Baylor Toxicity,21,18,,,,,bradley thompson,Garrett Ashton,Nickhil Anantha,Andrew Christmas
Group Stage,Gold 5.0,Group A,2,Single game,WySpike Sweepers,PORKCHOP,WySpike Sweepers,21,17,,,,,Nick Noguez,Colton Mowry,James Ledbetter,Felipe Martinez
Group Stage,Gold 5.0,Group A,2,Single game,Tease,Beer Bellies,Tease,21,10,,,,,Cade Larson,Josh Weinbach,Noah Johnson,Jonathan Burer
Group Stage,Gold 5.0,Group B,2,Single game,WySpike FIFO,White Rice,WySpike FIFO,21,12,,,,,Garrett Hornok,Matthew Burrows,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group B,2,Single game,Chump Change,Arnold Zestaenegger,Chump Change,21,18,,,,,Fredric Hinkle,Grayson M  Wills,Luis Orozco,Noah Beinart
Group Stage,Gold 5.0,Group B,2,Single game,504 Plan,Bink City,504 Plan,21,17,,,,,Bryce Wagoner,Brandon Arledge,Ian Austin,Myles Coleman
Group Stage,Gold 5.0,Group C,2,Single game,Sausage Rotation,Bad setters,Sausage Rotation,21,13,,,,,Luke Mowry,Brian Childs,jacob gansle,kevin cadle
Group Stage,Gold 5.0,Group C,2,Single game,Big Dawgs,Baylor Toxicity,Big Dawgs,24,22,,,,,Caleb Cummings,Tyler Fernandez,bradley thompson,Garrett Ashton
Group Stage,Gold 5.0,Group C,2,Single game,BHM,Hash Slinging Slashers,BHM,21,14,,,,,Nickhil Anantha,Andrew Christmas,Walter Siller,Paul Belton
Group Stage,Gold 5.0,Group A,3,Single game,WySpike Sweepers,Tease,WySpike Sweepers,25,24,,,,,Nick Noguez,Colton Mowry,Cade Larson,Josh Weinbach
Group Stage,Gold 5.0,Group A,3,Single game,The Imposters,Beer Bellies,The Imposters,21,5,,,,,Luke Marshall,Dax O'Hair,Noah Johnson,Jonathan Burer
Group Stage,Gold 5.0,Group B,3,Single game,WySpike FIFO,504 Plan,WySpike FIFO,21,10,,,,,Garrett Hornok,Matthew Burrows,Bryce Wagoner,Brandon Arledge
Group Stage,Gold 5.0,Group B,3,Single game,Chump Change,Bink City,Chump Change,21,10,,,,,Fredric Hinkle,Grayson M  Wills,Ian Austin,Myles Coleman
Group Stage,Gold 5.0,Group B,3,Single game,Arnold Zestaenegger,White Rice,Arnold Zestaenegger,21,14,,,,,Luis Orozco,Noah Beinart,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group C,3,Single game,Sausage Rotation,BHM,Sausage Rotation,25,24,,,,,Luke Mowry,Brian Childs,Nickhil Anantha,Andrew Christmas
Group Stage,Gold 5.0,Group C,3,Single game,Big Dawgs,Hash Slinging Slashers,Big Dawgs,21,7,,,,,Caleb Cummings,Tyler Fernandez,Walter Siller,Paul Belton
Group Stage,Gold 5.0,Group C,3,Single game,Baylor Toxicity,Bad setters,Baylor Toxicity,21,17,,,,,bradley thompson,Garrett Ashton,jacob gansle,kevin cadle
Group Stage,Gold 5.0,Group A,4,Single game,The Imposters,Tease,Tease,17,21,,,,,Luke Marshall,Dax O'Hair,Cade Larson,Josh Weinbach
Group Stage,Gold 5.0,Group A,4,Single game,PORKCHOP,Beer Bellies,Beer Bellies,18,21,,,,,James Ledbetter,Felipe Martinez,Noah Johnson,Jonathan Burer
Group Stage,Gold 5.0,Group B,4,Single game,WySpike FIFO,Arnold Zestaenegger,WySpike FIFO,21,16,,,,,Garrett Hornok,Matthew Burrows,Luis Orozco,Noah Beinart
Group Stage,Gold 5.0,Group B,4,Single game,Chump Change,504 Plan,Chump Change,21,8,,,,,Fredric Hinkle,Grayson M  Wills,Bryce Wagoner,Brandon Arledge
Group Stage,Gold 5.0,Group B,4,Single game,White Rice,Bink City,Bink City,15,21,,,,,JP Chincuanco,Owen Lynch,Ian Austin,Myles Coleman
Group Stage,Gold 5.0,Group C,4,Single game,Sausage Rotation,Baylor Toxicity,Sausage Rotation,21,18,,,,,Luke Mowry,Brian Childs,bradley thompson,Garrett Ashton
Group Stage,Gold 5.0,Group C,4,Single game,Big Dawgs,BHM,Big Dawgs,21,17,,,,,Caleb Cummings,Tyler Fernandez,Nickhil Anantha,Andrew Christmas
Group Stage,Gold 5.0,Group C,4,Single game,Bad setters,Hash Slinging Slashers,Hash Slinging Slashers,19,21,,,,,jacob gansle,kevin cadle,Walter Siller,Paul Belton
Group Stage,Gold 5.0,Group A,5,Single game,WySpike Sweepers,The Imposters,WySpike Sweepers,23,21,,,,,Nick Noguez,Colton Mowry,Luke Marshall,Dax O'Hair
Group Stage,Gold 5.0,Group A,5,Single game,Tease,PORKCHOP,Tease,21,12,,,,,Cade Larson,Josh Weinbach,James Ledbetter,Felipe Martinez
Group Stage,Gold 5.0,Group B,5,Single game,WySpike FIFO,Chump Change,WySpike FIFO,21,17,,,,,Garrett Hornok,Matthew Burrows,Fredric Hinkle,Grayson M  Wills
Group Stage,Gold 5.0,Group B,5,Single game,Arnold Zestaenegger,Bink City,Arnold Zestaenegger,21,18,,,,,Luis Orozco,Noah Beinart,Ian Austin,Myles Coleman
Group Stage,Gold 5.0,Group B,5,Single game,504 Plan,White Rice,504 Plan,25,24,,,,,Bryce Wagoner,Brandon Arledge,JP Chincuanco,Owen Lynch
Group Stage,Gold 5.0,Group C,5,Single game,Sausage Rotation,Big Dawgs,Big Dawgs,19,21,,,,,Luke Mowry,Brian Childs,Caleb Cummings,Tyler Fernandez
Group Stage,Gold 5.0,Group C,5,Single game,Baylor Toxicity,Hash Slinging Slashers,Baylor Toxicity,21,17,,,,,bradley thompson,Garrett Ashton,Walter Siller,Paul Belton
Group Stage,Gold 5.0,Group C,5,Single game,BHM,Bad setters,BHM,21,14,,,,,Nickhil Anantha,Andrew Christmas,jacob gansle,kevin cadle
Bracket Stage,Gold 5.0,Bracket A,Round of 32,Best of 3,Bad setters,White Rice,Bad setters,1,0,0,1,1,0,jacob gansle,kevin cadle,JP Chincuanco,Owen Lynch
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,WySpike FIFO,Bad setters,WySpike FIFO,21,10,21,11,,,Garrett Hornok,Matthew Burrows,jacob gansle,kevin cadle
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,Big Dawgs,Hash Slinging Slashers,Big Dawgs,21,15,21,16,,,Caleb Cummings,Tyler Fernandez,Walter Siller,Paul Belton
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,WySpike Sweepers,PORKCHOP,WySpike Sweepers,21,16,21,18,,,Nick Noguez,Colton Mowry,James Ledbetter,Felipe Martinez
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,Chump Change,Bink City,Chump Change,0,1,1,0,1,0,Fredric Hinkle,Grayson M  Wills,Ian Austin,Myles Coleman
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,Tease,Beer Bellies,Tease,21,9,21,12,,,Cade Larson,Josh Weinbach,Noah Johnson,Jonathan Burer
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,Sausage Rotation,504 Plan,Sausage Rotation,1,0,1,0,,,Luke Mowry,Brian Childs,Bryce Wagoner,Brandon Arledge
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,The Imposters,BHM,BHM,18,21,19,21,,,Luke Marshall,Dax O'Hair,Nickhil Anantha,Andrew Christmas
Bracket Stage,Gold 5.0,Bracket A,Round of 16,Best of 3,Arnold Zestaenegger,Baylor Toxicity,Arnold Zestaenegger,21,15,19,21,21,16,Luis Orozco,Noah Beinart,bradley thompson,Garrett Ashton
Bracket Stage,Gold 5.0,Bracket A,Quarter-final,Best of 3,WySpike FIFO,Arnold Zestaenegger,WySpike FIFO,19,21,21,17,21,17,Garrett Hornok,Matthew Burrows,Luis Orozco,Noah Beinart
Bracket Stage,Gold 5.0,Bracket A,Quarter-final,Best of 3,Big Dawgs,BHM,Big Dawgs,21,19,19,21,21,19,Caleb Cummings,Tyler Fernandez,Nickhil Anantha,Andrew Christmas
Bracket Stage,Gold 5.0,Bracket A,Quarter-final,Best of 3,WySpike Sweepers,Sausage Rotation,WySpike Sweepers,19,21,21,19,26,24,Nick Noguez,Colton Mowry,Luke Mowry,Brian Childs
Bracket Stage,Gold 5.0,Bracket A,Quarter-final,Best of 3,Chump Change,Tease,Chump Change,17,21,21,17,21,18,Fredric Hinkle,Grayson M  Wills,Cade Larson,Josh Weinbach
Bracket Stage,Gold 5.0,Bracket A,P9: Quarter-final,Best of 3,Baylor Toxicity,Bad setters,Baylor Toxicity,21,16,21,16,,,bradley thompson,Garrett Ashton,jacob gansle,kevin cadle
Bracket Stage,Gold 5.0,Bracket A,P9: Quarter-final,Best of 3,The Imposters,Hash Slinging Slashers,The Imposters,,,1,0,1,0,Luke Marshall,Dax O'Hair,Walter Siller,Paul Belton
Bracket Stage,Gold 5.0,Bracket A,P9: Quarter-final,Best of 3,504 Plan,PORKCHOP,504 Plan,1,0,1,0,,,Bryce Wagoner,Brandon Arledge,James Ledbetter,Felipe Martinez
Bracket Stage,Gold 5.0,Bracket A,P9: Quarter-final,Best of 3,Beer Bellies,Bink City,Bink City,0,1,0,1,,,Noah Johnson,Jonathan Burer,Ian Austin,Myles Coleman
Bracket Stage,Gold 5.0,Bracket A,Semi-final,Best of 3,WySpike FIFO,Chump Change,WySpike FIFO,24,22,17,21,21,19,Garrett Hornok,Matthew Burrows,Fredric Hinkle,Grayson M  Wills
Bracket Stage,Gold 5.0,Bracket A,Semi-final,Best of 3,Big Dawgs,WySpike Sweepers,Big Dawgs,1,0,1,0,,,Caleb Cummings,Tyler Fernandez,Nick Noguez,Colton Mowry
Bracket Stage,Gold 5.0,Bracket A,P9: Semi-final,Best of 3,Baylor Toxicity,Bink City,Baylor Toxicity,1,0,1,0,,,bradley thompson,Garrett Ashton,Ian Austin,Myles Coleman
Bracket Stage,Gold 5.0,Bracket A,P13: Semi-final,Best of 3,Beer Bellies,Bad setters,Bad setters,0,1,0,1,,,Noah Johnson,Jonathan Burer,jacob gansle,kevin cadle
Bracket Stage,Gold 5.0,Bracket A,P13: Semi-final,Best of 3,PORKCHOP,Hash Slinging Slashers,Hash Slinging Slashers,16,21,16,21,,,James Ledbetter,Felipe Martinez,Walter Siller,Paul Belton
Bracket Stage,Gold 5.0,Bracket A,Final,Best of 3,WySpike FIFO,Big Dawgs,Big Dawgs,0,1,1,0,0,1,Garrett Hornok,Matthew Burrows,Caleb Cummings,Tyler Fernandez
Bracket Stage,Gold 5.0,Bracket A,P3: Final,Best of 3,WySpike Sweepers,Chump Change,Chump Change,0,1,0,1,,,Nick Noguez,Colton Mowry,Fredric Hinkle,Grayson M  Wills
Bracket Stage,Gold 5.0,Bracket A,P13: Final,Best of 3,Bad setters,Hash Slinging Slashers,Hash Slinging Slashers,0,1,0,1,,,jacob gansle,kevin cadle,Walter Siller,Paul Belton
Group Stage,Advanced 4.0,Group A,1,Single game,MFFLs,BenSquared,MFFLs,21,9,,,,,Jackson Oliver,Rhett Howe,Benjamin Shakespeare,Benjamin Lichnovsky
Group Stage,Advanced 4.0,Group A,1,Single game,fooling around,Team Jesus,fooling around,21,8,,,,,Jack Granger,Cade Bissell,Barrett Maguire,Ray Saenz
Group Stage,Advanced 4.0,Group B,1,Single game,Every Day BBQ,Woof Bark Dog,Every Day BBQ,21,5,,,,,Kyle Daily,Cooper Diaz,Armando Saenz,Brendan Walker
Group Stage,Advanced 4.0,Group B,1,Single game,Ambiflextrous,Double Faults V2,Double Faults V2,19,21,,,,,Jackson Davidson,John David Allison,Jabin Jones,Aiedan Acosta
Group Stage,Advanced 4.0,Group A,2,Single game,MFFLs,Team Jesus,MFFLs,21,11,,,,,Jackson Oliver,Rhett Howe,Barrett Maguire,Ray Saenz
