"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"casropen","Expert 5.0","Pool","Quality Service","mikey.roundnet","Jacob Payer","Andrew Kosche","Evan Bock","Max Huang",18,21
"casropen","Expert 5.0","Pool","Yourmom","BenDu Over","Clifton Miller","Tucker Judkins ","Michael Du","Benjamin Banuelos",19,21
"casropen","Expert 5.0","Pool","Backhand only","Ugly Finders","Dean Wasil","Matt Ortlip","Thomas Pence","Aidan Van Eck",21,15
"casropen","Expert 5.0","Pool","Take it ez john","Your Parents","John Choi","Ethan Zehr","Kayla Wu","Drew Cummins",21,18
"casropen","Expert 5.0","Pool","Shifty Without the F","Irritable Ball Shmackers","Trevor Barbosa","Brandon Brown","Rafi Moldovsky","William Foote",21,15
"casropen","Expert 5.0","Pool","Frag/Hui","Christmas Miracle","Josh Fragiacomo","Karah Hui","Dylan Medveal","Schon Siguenza",21,14
"casropen","Expert 5.0","Pool","JK.","Arrow Down","Jason Rhoads","Kyan Kornfeld","Alec Galbo","Noah Johnson",21,15
"casropen","Expert 5.0","Pool","Whopper? I barely know her","USC Late Registration","Nick Wideman","Josh Cain","Anthony Winney","Warner Curtis",16,21
"casropen","Expert 5.0","Pool","Quality Service","BenDu Over","Jacob Payer","Andrew Kosche","Michael Du","Benjamin Banuelos",22,20
"casropen","Expert 5.0","Pool","Yourmom","mikey.roundnet","Clifton Miller","Tucker Judkins ","Evan Bock","Max Huang",22,24
"casropen","Expert 5.0","Pool","Backhand only","Your Parents","Dean Wasil","Matt Ortlip","Kayla Wu","Drew Cummins",25,23
"casropen","Expert 5.0","Pool","Take it ez john","Ugly Finders","John Choi","Ethan Zehr","Thomas Pence","Aidan Van Eck",21,14
"casropen","Expert 5.0","Pool","Shifty Without the F","Christmas Miracle","Trevor Barbosa","Brandon Brown","Dylan Medveal","Schon Siguenza",21,13
"casropen","Expert 5.0","Pool","Frag/Hui","Irritable Ball Shmackers","Josh Fragiacomo","Karah Hui","Rafi Moldovsky","William Foote",21,17
"casropen","Expert 5.0","Pool","JK.","USC Late Registration","Jason Rhoads","Kyan Kornfeld","Anthony Winney","Warner Curtis",21,17
"casropen","Expert 5.0","Pool","Whopper? I barely know her","Arrow Down","Nick Wideman","Josh Cain","Alec Galbo","Noah Johnson",21,16
"casropen","Expert 5.0","Pool","Quality Service","Yourmom","Jacob Payer","Andrew Kosche","Clifton Miller","Tucker Judkins ",21,16
"casropen","Expert 5.0","Pool","BenDu Over","mikey.roundnet","Michael Du","Benjamin Banuelos","Evan Bock","Max Huang",21,15
"casropen","Expert 5.0","Pool","Backhand only","Take it ez john","Dean Wasil","Matt Ortlip","John Choi","Ethan Zehr",24,25
"casropen","Expert 5.0","Pool","Your Parents","Ugly Finders","Kayla Wu","Drew Cummins","Thomas Pence","Aidan Van Eck",21,18
"casropen","Expert 5.0","Pool","Shifty Without the F","Frag/Hui","Trevor Barbosa","Brandon Brown","Josh Fragiacomo","Karah Hui",13,21
"casropen","Expert 5.0","Pool","Christmas Miracle","Irritable Ball Shmackers","Dylan Medveal","Schon Siguenza","Rafi Moldovsky","William Foote",21,18
"casropen","Expert 5.0","Pool","JK.","Whopper? I barely know her","Jason Rhoads","Kyan Kornfeld","Nick Wideman","Josh Cain",21,19
"casropen","Expert 5.0","Pool","USC Late Registration","Arrow Down","Anthony Winney","Warner Curtis","Alec Galbo","Noah Johnson",20,22
"casropen","Expert 5.0","Pool","Quality Service","mikey.roundnet","Jacob Payer","Andrew Kosche","Evan Bock","Max Huang",21,17
"casropen","Expert 5.0","Pool","Yourmom","BenDu Over","Clifton Miller","Tucker Judkins ","Michael Du","Benjamin Banuelos",20,22
"casropen","Expert 5.0","Pool","Backhand only","Ugly Finders","Dean Wasil","Matt Ortlip","Thomas Pence","Aidan Van Eck",21,11
"casropen","Expert 5.0","Pool","Take it ez john","Your Parents","John Choi","Ethan Zehr","Kayla Wu","Drew Cummins",21,19
"casropen","Expert 5.0","Pool","Shifty Without the F","Irritable Ball Shmackers","Trevor Barbosa","Brandon Brown","Rafi Moldovsky","William Foote",21,15
"casropen","Expert 5.0","Pool","Frag/Hui","Christmas Miracle","Josh Fragiacomo","Karah Hui","Dylan Medveal","Schon Siguenza",21,15
"casropen","Expert 5.0","Pool","JK.","Arrow Down","Jason Rhoads","Kyan Kornfeld","Alec Galbo","Noah Johnson",22,20
"casropen","Expert 5.0","Pool","Whopper? I barely know her","USC Late Registration","Nick Wideman","Josh Cain","Anthony Winney","Warner Curtis",21,10
"casropen","Expert 5.0","Pool","Quality Service","BenDu Over","Jacob Payer","Andrew Kosche","Michael Du","Benjamin Banuelos",18,21
"casropen","Expert 5.0","Pool","Yourmom","mikey.roundnet","Clifton Miller","Tucker Judkins ","Evan Bock","Max Huang",20,22
"casropen","Expert 5.0","Pool","Backhand only","Your Parents","Dean Wasil","Matt Ortlip","Kayla Wu","Drew Cummins",21,19
"casropen","Expert 5.0","Pool","Take it ez john","Ugly Finders","John Choi","Ethan Zehr","Thomas Pence","Aidan Van Eck",18,21
"casropen","Expert 5.0","Pool","Shifty Without the F","Christmas Miracle","Trevor Barbosa","Brandon Brown","Dylan Medveal","Schon Siguenza",21,17
"casropen","Expert 5.0","Pool","Frag/Hui","Irritable Ball Shmackers","Josh Fragiacomo","Karah Hui","Rafi Moldovsky","William Foote",21,15
"casropen","Expert 5.0","Pool","JK.","USC Late Registration","Jason Rhoads","Kyan Kornfeld","Anthony Winney","Warner Curtis",21,16
"casropen","Expert 5.0","Pool","Whopper? I barely know her","Arrow Down","Nick Wideman","Josh Cain","Alec Galbo","Noah Johnson",21,19
"casropen","Expert 5.0","Pool","Quality Service","Yourmom","Jacob Payer","Andrew Kosche","Clifton Miller","Tucker Judkins ",21,16
"casropen","Expert 5.0","Pool","BenDu Over","mikey.roundnet","Michael Du","Benjamin Banuelos","Evan Bock","Max Huang",21,19
"casropen","Expert 5.0","Pool","Backhand only","Take it ez john","Dean Wasil","Matt Ortlip","John Choi","Ethan Zehr",22,24
"casropen","Expert 5.0","Pool","Your Parents","Ugly Finders","Kayla Wu","Drew Cummins","Thomas Pence","Aidan Van Eck",21,16
"casropen","Expert 5.0","Pool","Shifty Without the F","Frag/Hui","Trevor Barbosa","Brandon Brown","Josh Fragiacomo","Karah Hui",21,14
"casropen","Expert 5.0","Pool","Christmas Miracle","Irritable Ball Shmackers","Dylan Medveal","Schon Siguenza","Rafi Moldovsky","William Foote",21,17
"casropen","Expert 5.0","Pool","JK.","Whopper? I barely know her","Jason Rhoads","Kyan Kornfeld","Nick Wideman","Josh Cain",15,21
"casropen","Expert 5.0","Pool","USC Late Registration","Arrow Down","Anthony Winney","Warner Curtis","Alec Galbo","Noah Johnson",24,25
"casropen","Expert 5.0","Round of 16","Frag/Hui","Irritable Ball Shmackers","Josh Fragiacomo","Karah Hui","Rafi Moldovsky","William Foote",23,21
"casropen","Expert 5.0","Round of 16","Frag/Hui","Irritable Ball Shmackers","Josh Fragiacomo","Karah Hui","Rafi Moldovsky","William Foote",21,13
"casropen","Expert 5.0","Round of 16","Shifty Without the F","Yourmom","Trevor Barbosa","Brandon Brown","Clifton Miller","Tucker Judkins ",21,19
"casropen","Expert 5.0","Round of 16","Shifty Without the F","Yourmom","Trevor Barbosa","Brandon Brown","Clifton Miller","Tucker Judkins ",21,17
"casropen","Expert 5.0","Round of 16","JK.","Ugly Finders","Jason Rhoads","Kyan Kornfeld","Thomas Pence","Aidan Van Eck",1,0
"casropen","Expert 5.0","Round of 16","JK.","Ugly Finders","Jason Rhoads","Kyan Kornfeld","Thomas Pence","Aidan Van Eck",1,0
"casropen","Expert 5.0","Round of 16","BenDu Over","USC Late Registration","Michael Du","Benjamin Banuelos","Anthony Winney","Warner Curtis",21,16
"casropen","Expert 5.0","Round of 16","BenDu Over","USC Late Registration","Michael Du","Benjamin Banuelos","Anthony Winney","Warner Curtis",21,16
"casropen","Expert 5.0","Round of 16","Take it ez john","Christmas Miracle","John Choi","Ethan Zehr","Dylan Medveal","Schon Siguenza",21,18
"casropen","Expert 5.0","Round of 16","Take it ez john","Christmas Miracle","John Choi","Ethan Zehr","Dylan Medveal","Schon Siguenza",19,21
"casropen","Expert 5.0","Round of 16","Take it ez john","Christmas Miracle","John Choi","Ethan Zehr","Dylan Medveal","Schon Siguenza",26,24
"casropen","Expert 5.0","Round of 16","Backhand only","Arrow Down","Dean Wasil","Matt Ortlip","Alec Galbo","Noah Johnson",2,0
"casropen","Expert 5.0","Round of 16","Whopper? I barely know her","Your Parents","Nick Wideman","Josh Cain","Kayla Wu","Drew Cummins",0,1
"casropen","Expert 5.0","Round of 16","Whopper? I barely know her","Your Parents","Nick Wideman","Josh Cain","Kayla Wu","Drew Cummins",1,0
"casropen","Expert 5.0","Round of 16","Whopper? I barely know her","Your Parents","Nick Wideman","Josh Cain","Kayla Wu","Drew Cummins",1,0
"casropen","Expert 5.0","Round of 16","Quality Service","mikey.roundnet","Jacob Payer","Andrew Kosche","Evan Bock","Max Huang",21,13
"casropen","Expert 5.0","Round of 16","Quality Service","mikey.roundnet","Jacob Payer","Andrew Kosche","Evan Bock","Max Huang",21,12
"casropen","Expert 5.0","Quarter-final","Frag/Hui","Quality Service","Josh Fragiacomo","Karah Hui","Jacob Payer","Andrew Kosche",16,21
"casropen","Expert 5.0","Quarter-final","Frag/Hui","Quality Service","Josh Fragiacomo","Karah Hui","Jacob Payer","Andrew Kosche",17,21
"casropen","Expert 5.0","Quarter-final","Shifty Without the F","Whopper? I barely know her","Trevor Barbosa","Brandon Brown","Nick Wideman","Josh Cain",0,1
"casropen","Expert 5.0","Quarter-final","Shifty Without the F","Whopper? I barely know her","Trevor Barbosa","Brandon Brown","Nick Wideman","Josh Cain",1,0
"casropen","Expert 5.0","Quarter-final","Shifty Without the F","Whopper? I barely know her","Trevor Barbosa","Brandon Brown","Nick Wideman","Josh Cain",0,1
"casropen","Expert 5.0","Quarter-final","JK.","Backhand only","Jason Rhoads","Kyan Kornfeld","Dean Wasil","Matt Ortlip",18,21
"casropen","Expert 5.0","Quarter-final","JK.","Backhand only","Jason Rhoads","Kyan Kornfeld","Dean Wasil","Matt Ortlip",27,25
"casropen","Expert 5.0","Quarter-final","JK.","Backhand only","Jason Rhoads","Kyan Kornfeld","Dean Wasil","Matt Ortlip",21,19
"casropen","Expert 5.0","Quarter-final","BenDu Over","Take it ez john","Michael Du","Benjamin Banuelos","John Choi","Ethan Zehr",18,21
"casropen","Expert 5.0","Quarter-final","BenDu Over","Take it ez john","Michael Du","Benjamin Banuelos","John Choi","Ethan Zehr",19,21
"casropen","Expert 5.0","P9: Quarter-final","Arrow Down","Ugly Finders","Alec Galbo","Noah Johnson","Thomas Pence","Aidan Van Eck",2,0
"casropen","Expert 5.0","P9: Quarter-final","Christmas Miracle","USC Late Registration","Dylan Medveal","Schon Siguenza","Anthony Winney","Warner Curtis",1,0
"casropen","Expert 5.0","Semi-final","Quality Service","Take it ez john","Jacob Payer","Andrew Kosche","John Choi","Ethan Zehr",21,12
"casropen","Expert 5.0","Semi-final","Quality Service","Take it ez john","Jacob Payer","Andrew Kosche","John Choi","Ethan Zehr",24,22
"casropen","Expert 5.0","Semi-final","Whopper? I barely know her","JK.","Nick Wideman","Josh Cain","Jason Rhoads","Kyan Kornfeld",21,15
"casropen","Expert 5.0","Semi-final","Whopper? I barely know her","JK.","Nick Wideman","Josh Cain","Jason Rhoads","Kyan Kornfeld",19,21
"casropen","Expert 5.0","Semi-final","Whopper? I barely know her","JK.","Nick Wideman","Josh Cain","Jason Rhoads","Kyan Kornfeld",21,19
"casropen","Expert 5.0","Final","Quality Service","Whopper? I barely know her","Jacob Payer","Andrew Kosche","Nick Wideman","Josh Cain",21,18
