"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"championship2023","Open Pro","Pool","Rogue","Guachos","Thomas Hamilton","Ryan Marino","Josh Fragiacomo","Ryan Oswalt",21,18
"championship2023","Open Pro","Pool","Critical Hit","Bot House","Justin Barr","Vincent Mathieu","Owen Lippman","West Peterson",21,17
"championship2023","Open Pro","Pool","Insystem","The Prince","Etienne Cote","Blake Bosak","Samuel Prince","Maxime Prince",23,25
"championship2023","Open Pro","Pool","TRP Spotless","Cigar Boys","Joe Bondi","Ryan Gross","Dan Abrams","Grant Laughlin",21,11
"championship2023","Open Pro","Pool","Bad Combo","Profit Boost","Will Picone","Rahul Murthy","Justin Shaytar","Kieran Rose",22,20
"championship2023","Open Pro","Pool","Judgment Day","Mermaid Sparkle","Gabriel Finocchi","fredric hinkle","Noah Luskus","Christian Bennett",21,19
"championship2023","Open Pro","Pool","Assistive Touch","RCG Powerline","Clark Marshall","Buddy Hammon","Benjamin Bachler","Nelson Dziruni",25,24
"championship2023","Open Pro","Pool","Eisenträger/Siemer","Kingdom Come","Paul Siemer","Eisenträger Lukas","Grant Klapwijk","Matthew Cole",21,17
"championship2023","Open Pro","Pool","Rogue","Bot House","Thomas Hamilton","Ryan Marino","Owen Lippman","West Peterson",21,12
"championship2023","Open Pro","Pool","Critical Hit","Guachos","Justin Barr","Vincent Mathieu","Josh Fragiacomo","Ryan Oswalt",21,11
"championship2023","Open Pro","Pool","Insystem","Cigar Boys","Etienne Cote","Blake Bosak","Dan Abrams","Grant Laughlin",21,18
"championship2023","Open Pro","Pool","TRP Spotless","The Prince","Joe Bondi","Ryan Gross","Samuel Prince","Maxime Prince",21,15
"championship2023","Open Pro","Pool","Bad Combo","Mermaid Sparkle","Will Picone","Rahul Murthy","Noah Luskus","Christian Bennett",21,16
"championship2023","Open Pro","Pool","Judgment Day","Profit Boost","Gabriel Finocchi","fredric hinkle","Justin Shaytar","Kieran Rose",24,25
"championship2023","Open Pro","Pool","Assistive Touch","Kingdom Come","Clark Marshall","Buddy Hammon","Grant Klapwijk","Matthew Cole",25,23
"championship2023","Open Pro","Pool","Eisenträger/Siemer","RCG Powerline","Paul Siemer","Eisenträger Lukas","Benjamin Bachler","Nelson Dziruni",21,18
"championship2023","Open Pro","Pool","Rogue","Critical Hit","Thomas Hamilton","Ryan Marino","Justin Barr","Vincent Mathieu",21,16
"championship2023","Open Pro","Pool","Bot House","Guachos","Owen Lippman","West Peterson","Josh Fragiacomo","Ryan Oswalt",17,21
"championship2023","Open Pro","Pool","Insystem","TRP Spotless","Etienne Cote","Blake Bosak","Joe Bondi","Ryan Gross",12,21
"championship2023","Open Pro","Pool","Cigar Boys","The Prince","Dan Abrams","Grant Laughlin","Samuel Prince","Maxime Prince",18,21
"championship2023","Open Pro","Pool","Bad Combo","Judgment Day","Will Picone","Rahul Murthy","Gabriel Finocchi","fredric hinkle",21,17
"championship2023","Open Pro","Pool","Mermaid Sparkle","Profit Boost","Noah Luskus","Christian Bennett","Justin Shaytar","Kieran Rose",14,21
"championship2023","Open Pro","Pool","Assistive Touch","Eisenträger/Siemer","Clark Marshall","Buddy Hammon","Paul Siemer","Eisenträger Lukas",22,24
"championship2023","Open Pro","Pool","Kingdom Come","RCG Powerline","Grant Klapwijk","Matthew Cole","Benjamin Bachler","Nelson Dziruni",21,7
"championship2023","Open Pro","Pool","Rogue","Guachos","Thomas Hamilton","Ryan Marino","Josh Fragiacomo","Ryan Oswalt",23,21
"championship2023","Open Pro","Pool","Critical Hit","Bot House","Justin Barr","Vincent Mathieu","Owen Lippman","West Peterson",24,25
"championship2023","Open Pro","Pool","Insystem","The Prince","Etienne Cote","Blake Bosak","Samuel Prince","Maxime Prince",21,9
"championship2023","Open Pro","Pool","TRP Spotless","Cigar Boys","Joe Bondi","Ryan Gross","Dan Abrams","Grant Laughlin",20,22
"championship2023","Open Pro","Pool","Bad Combo","Profit Boost","Will Picone","Rahul Murthy","Justin Shaytar","Kieran Rose",21,15
"championship2023","Open Pro","Pool","Judgment Day","Mermaid Sparkle","Gabriel Finocchi","fredric hinkle","Noah Luskus","Christian Bennett",21,19
"championship2023","Open Pro","Pool","Assistive Touch","RCG Powerline","Clark Marshall","Buddy Hammon","Benjamin Bachler","Nelson Dziruni",25,23
"championship2023","Open Pro","Pool","Eisenträger/Siemer","Kingdom Come","Paul Siemer","Eisenträger Lukas","Grant Klapwijk","Matthew Cole",20,22
"championship2023","Open Pro","Pool","Rogue","Bot House","Thomas Hamilton","Ryan Marino","Owen Lippman","West Peterson",19,21
"championship2023","Open Pro","Pool","Critical Hit","Guachos","Justin Barr","Vincent Mathieu","Josh Fragiacomo","Ryan Oswalt",21,17
"championship2023","Open Pro","Pool","Insystem","Cigar Boys","Etienne Cote","Blake Bosak","Dan Abrams","Grant Laughlin",21,18
"championship2023","Open Pro","Pool","TRP Spotless","The Prince","Joe Bondi","Ryan Gross","Samuel Prince","Maxime Prince",21,14
"championship2023","Open Pro","Pool","Bad Combo","Mermaid Sparkle","Will Picone","Rahul Murthy","Noah Luskus","Christian Bennett",21,17
"championship2023","Open Pro","Pool","Judgment Day","Profit Boost","Gabriel Finocchi","fredric hinkle","Justin Shaytar","Kieran Rose",21,13
"championship2023","Open Pro","Pool","Assistive Touch","Kingdom Come","Clark Marshall","Buddy Hammon","Grant Klapwijk","Matthew Cole",21,19
"championship2023","Open Pro","Pool","Eisenträger/Siemer","RCG Powerline","Paul Siemer","Eisenträger Lukas","Benjamin Bachler","Nelson Dziruni",23,21
"championship2023","Open Pro","Pool","Rogue","Critical Hit","Thomas Hamilton","Ryan Marino","Justin Barr","Vincent Mathieu",21,19
"championship2023","Open Pro","Pool","Bot House","Guachos","Owen Lippman","West Peterson","Josh Fragiacomo","Ryan Oswalt",21,15
"championship2023","Open Pro","Pool","Insystem","TRP Spotless","Etienne Cote","Blake Bosak","Joe Bondi","Ryan Gross",24,22
"championship2023","Open Pro","Pool","Cigar Boys","The Prince","Dan Abrams","Grant Laughlin","Samuel Prince","Maxime Prince",21,18
"championship2023","Open Pro","Pool","Bad Combo","Judgment Day","Will Picone","Rahul Murthy","Gabriel Finocchi","fredric hinkle",20,22
"championship2023","Open Pro","Pool","Mermaid Sparkle","Profit Boost","Noah Luskus","Christian Bennett","Justin Shaytar","Kieran Rose",21,16
"championship2023","Open Pro","Pool","Assistive Touch","Eisenträger/Siemer","Clark Marshall","Buddy Hammon","Paul Siemer","Eisenträger Lukas",22,20
"championship2023","Open Pro","Pool","Kingdom Come","RCG Powerline","Grant Klapwijk","Matthew Cole","Benjamin Bachler","Nelson Dziruni",21,15
"championship2023","Open Pro","Round of 16","Rogue","Mermaid Sparkle","Thomas Hamilton","Ryan Marino","Noah Luskus","Christian Bennett",21,11
"championship2023","Open Pro","Round of 16","Rogue","Mermaid Sparkle","Thomas Hamilton","Ryan Marino","Noah Luskus","Christian Bennett",21,17
"championship2023","Open Pro","Round of 16","TRP Spotless","RCG Powerline","Joe Bondi","Ryan Gross","Benjamin Bachler","Nelson Dziruni",21,13
"championship2023","Open Pro","Round of 16","TRP Spotless","RCG Powerline","Joe Bondi","Ryan Gross","Benjamin Bachler","Nelson Dziruni",21,17
"championship2023","Open Pro","Round of 16","Bad Combo","The Prince","Will Picone","Rahul Murthy","Samuel Prince","Maxime Prince",21,14
"championship2023","Open Pro","Round of 16","Bad Combo","The Prince","Will Picone","Rahul Murthy","Samuel Prince","Maxime Prince",17,21
"championship2023","Open Pro","Round of 16","Bad Combo","The Prince","Will Picone","Rahul Murthy","Samuel Prince","Maxime Prince",21,14
"championship2023","Open Pro","Round of 16","Assistive Touch","Guachos","Clark Marshall","Buddy Hammon","Josh Fragiacomo","Ryan Oswalt",19,21
"championship2023","Open Pro","Round of 16","Assistive Touch","Guachos","Clark Marshall","Buddy Hammon","Josh Fragiacomo","Ryan Oswalt",21,16
"championship2023","Open Pro","Round of 16","Assistive Touch","Guachos","Clark Marshall","Buddy Hammon","Josh Fragiacomo","Ryan Oswalt",21,19
"championship2023","Open Pro","Round of 16","Judgment Day","Cigar Boys","Gabriel Finocchi","fredric hinkle","Dan Abrams","Grant Laughlin",21,19
"championship2023","Open Pro","Round of 16","Judgment Day","Cigar Boys","Gabriel Finocchi","fredric hinkle","Dan Abrams","Grant Laughlin",21,18
"championship2023","Open Pro","Round of 16","Eisenträger/Siemer","Bot House","Paul Siemer","Eisenträger Lukas","Owen Lippman","West Peterson",15,21
"championship2023","Open Pro","Round of 16","Eisenträger/Siemer","Bot House","Paul Siemer","Eisenträger Lukas","Owen Lippman","West Peterson",21,15
"championship2023","Open Pro","Round of 16","Eisenträger/Siemer","Bot House","Paul Siemer","Eisenträger Lukas","Owen Lippman","West Peterson",11,21
"championship2023","Open Pro","Round of 16","Critical Hit","Profit Boost","Justin Barr","Vincent Mathieu","Justin Shaytar","Kieran Rose",20,22
"championship2023","Open Pro","Round of 16","Critical Hit","Profit Boost","Justin Barr","Vincent Mathieu","Justin Shaytar","Kieran Rose",21,14
"championship2023","Open Pro","Round of 16","Critical Hit","Profit Boost","Justin Barr","Vincent Mathieu","Justin Shaytar","Kieran Rose",21,17
