"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"columbus2023","Premier 5.0+","Pool","Rogue","Boat Carriers","Thomas Hamilton","Ryan Marino","Brayden Latham","Matthew Burrows",21,17
"columbus2023","Premier 5.0+","Pool","Bad Combo","TRP Mermaid Sparkle","Rahul Murthy","Will Picone","Christian Bennett","Noah Luskus",20,22
"columbus2023","Premier 5.0+","Pool","Assistive Touch","MIDDS","Buddy Hammon","Clark Marshall","Dawson Morgan","Caleb Cummings",21,16
"columbus2023","Premier 5.0+","Pool","Insystem","Bot House","Etienne Cote","Blake Bosak","Owen Lippman","West Peterson",21,19
"columbus2023","Premier 5.0+","Pool","TRP Spotless","Profit Boost","Joe Bondi","Ryan Gross","Kieran Rose","Justin Shaytar",21,15
"columbus2023","Premier 5.0+","Pool","GFD Grass Fed","Hilltop","Matthew Cole","Grant Klapwijk","Max Model","Cole Model",21,14
"columbus2023","Premier 5.0+","Pool","Judgment Day","Coastal Beans","fredric hinkle","Gabriel Finocchi","Brendan Ferreira","Coleman Epperson's",21,14
"columbus2023","Premier 5.0+","Pool","GFD Critical Hit","Tube Steaks","Justin Barr","Vincent Mathieu","Skyler Sebring","Emerson Dean",21,18
"columbus2023","Premier 5.0+","Pool","CRO Fall Damage","Wilson/U’Wren","Tyler Babin","Chris Brown","Jacob U'Wren","Eleazar Wilson",21,13
"columbus2023","Premier 5.0+","Pool","GFD Rowgah","CRO backdoor?","Brandon Arledge","David Gonzales","Leonardo Tullo","Joshua Hachey",21,18
"columbus2023","Premier 5.0+","Pool","GFD Wishy Washy","The Friend Bros","Cole Maddox","Kyle Ackermann","Josiah Friend","Judah Friend",21,11
"columbus2023","Premier 5.0+","Pool","No Pressure","Super Awesome Spikers","Josh Hutko","Alex Newton","Chris Kaptur","Max Fiebelkorn",21,14
"columbus2023","Premier 5.0+","Pool","GFD Evasive Maneuvers","BoilerBirds ","Michael Barkman","Jenson Miller","Jack Bush","Colin Hobart",21,15
"columbus2023","Premier 5.0+","Pool","PBR Dap & Snap","bang","Jacob Arzaga","A.j. Martin","Micah Bouman","Grayson M  Wills",21,9
"columbus2023","Premier 5.0+","Pool","Autonomous","GFD MUNCHERS","Tyler Fernandez","Chase Meyer","Brad Yates","Arjun Dhankani",21,18
"columbus2023","Premier 5.0+","Pool","Defected","Clark/Porter","Calyn Kir","Reilly Paquette","Adam Porter","Bradley Clark",19,21
"columbus2023","Premier 5.0+","Pool","mexican food","Tossup","Paq Clifford","Owen  Bass","Brendan Reesor","Dylan Mark",21,10
"columbus2023","Premier 5.0+","Pool","We Move","GFD Italian Buffet","Nate Wilson","Clifford Amadeo LeVeque","Tim Lacagnina","Joseph Caligiuri",17,21
"columbus2023","Premier 5.0+","Pool","Glizzy Gladiators","JJ Dr. Jackal and Mr. Fried","Jacob Summers","Polk Denmark","James Ledbetter","Grant Marshall",21,10
"columbus2023","Premier 5.0+","Pool","TBD","Highly Flammable ⚠️","Sean Brown","David Rowlands","Drew Ryder","Frederik Theunis",21,13
"columbus2023","Premier 5.0+","Pool","Bergman/Wilkins","upstairs don’t want it","Chris Wilkins","Neal Bergman","Max Huang","Zach Bender",17,21
"columbus2023","Premier 5.0+","Pool","Risky Business","Donner & Blitzen","Justin Kehoe","Kyle Fowler","Liam Sherron","James Richmond",20,22
"columbus2023","Premier 5.0+","Pool","GFD Shorter & Taller","W(ee)NYR Dawgs","Andrew Sullivan","Caleb Shorter","Isaac Staats","Stephen Sweeney",21,19
"columbus2023","Premier 5.0+","Pool","PBR Sleepy in Seattle","GFD Cleveland Cowboys","Brian Perlson","Michael Capobianco","Daniel Patten","Levi Rogers",21,18
"columbus2023","Premier 5.0+","Pool","Jersey Boyz","moist","Corey Weiss","Matt Spolarich","Tyler Cisek","PJ Showalter",25,23
"columbus2023","Premier 5.0+","Pool","Glitch","GFD Undeterred","Luke Nickel","Cody Dryer","Ruben Zapata","Rob's Traveler",21,17
"columbus2023","Premier 5.0+","Pool","Project Roundnet","GFD Pecan Pralines","Josh Esposo","Samuel Corey","Jack W","Aleks Essen",21,15
"columbus2023","Premier 5.0+","Pool","❤️ For Dolores ✝️","Hart/Garcea","Connor Prelich","kevin um","Adrian Garcea","Jack Hart",21,15
"columbus2023","Premier 5.0+","Pool","GFD Breakfast Balls","CRO Jungle Juice","Rendall Weaver","Henry Pilliod","Kyle Jeung","Nathan Goh",21,10
"columbus2023","Premier 5.0+","Pool","Limitless Faith","CRO 7s Coming","Andrew Raber","Ethan Domster","Nicholas Puopolo","Eric Reinke",21,23
"columbus2023","Premier 5.0+","Pool","Sparky Sparky Boom Men","Muscle Daddies  💪🏽","Sunny Gu","Connor Nelson","Colin TOLENTINO","Jared Ang",21,11
"columbus2023","Premier 5.0+","Pool","American Spikers League","Kenough","Kaleb Wagner","Alex Hart (ASL)","Tommy Drake","Dennis Wei",16,21
"columbus2023","Premier 5.0+","Pool","Rogue","TRP Mermaid Sparkle","Thomas Hamilton","Ryan Marino","Christian Bennett","Noah Luskus",21,10
"columbus2023","Premier 5.0+","Pool","Bad Combo","Boat Carriers","Rahul Murthy","Will Picone","Brayden Latham","Matthew Burrows",21,14
"columbus2023","Premier 5.0+","Pool","Assistive Touch","Bot House","Buddy Hammon","Clark Marshall","Owen Lippman","West Peterson",21,18
"columbus2023","Premier 5.0+","Pool","Insystem","MIDDS","Etienne Cote","Blake Bosak","Dawson Morgan","Caleb Cummings",21,12
"columbus2023","Premier 5.0+","Pool","TRP Spotless","Hilltop","Joe Bondi","Ryan Gross","Max Model","Cole Model",21,13
"columbus2023","Premier 5.0+","Pool","GFD Grass Fed","Profit Boost","Matthew Cole","Grant Klapwijk","Kieran Rose","Justin Shaytar",21,16
"columbus2023","Premier 5.0+","Pool","Judgment Day","Tube Steaks","fredric hinkle","Gabriel Finocchi","Skyler Sebring","Emerson Dean",21,14
"columbus2023","Premier 5.0+","Pool","GFD Critical Hit","Coastal Beans","Justin Barr","Vincent Mathieu","Brendan Ferreira","Coleman Epperson's",21,16
"columbus2023","Premier 5.0+","Pool","CRO Fall Damage","CRO backdoor?","Tyler Babin","Chris Brown","Leonardo Tullo","Joshua Hachey",21,18
"columbus2023","Premier 5.0+","Pool","GFD Rowgah","Wilson/U’Wren","Brandon Arledge","David Gonzales","Jacob U'Wren","Eleazar Wilson",21,15
"columbus2023","Premier 5.0+","Pool","GFD Wishy Washy","Super Awesome Spikers","Cole Maddox","Kyle Ackermann","Chris Kaptur","Max Fiebelkorn",21,16
"columbus2023","Premier 5.0+","Pool","No Pressure","The Friend Bros","Josh Hutko","Alex Newton","Josiah Friend","Judah Friend",21,17
"columbus2023","Premier 5.0+","Pool","GFD Evasive Maneuvers","bang","Michael Barkman","Jenson Miller","Micah Bouman","Grayson M  Wills",21,12
"columbus2023","Premier 5.0+","Pool","PBR Dap & Snap","BoilerBirds ","Jacob Arzaga","A.j. Martin","Jack Bush","Colin Hobart",21,14
"columbus2023","Premier 5.0+","Pool","Autonomous","Clark/Porter","Tyler Fernandez","Chase Meyer","Adam Porter","Bradley Clark",21,19
"columbus2023","Premier 5.0+","Pool","Defected","GFD MUNCHERS","Calyn Kir","Reilly Paquette","Brad Yates","Arjun Dhankani",21,17
"columbus2023","Premier 5.0+","Pool","mexican food","GFD Italian Buffet","Paq Clifford","Owen  Bass","Tim Lacagnina","Joseph Caligiuri",21,16
"columbus2023","Premier 5.0+","Pool","We Move","Tossup","Nate Wilson","Clifford Amadeo LeVeque","Brendan Reesor","Dylan Mark",21,9
"columbus2023","Premier 5.0+","Pool","Glizzy Gladiators","Highly Flammable ⚠️","Jacob Summers","Polk Denmark","Drew Ryder","Frederik Theunis",21,15
"columbus2023","Premier 5.0+","Pool","TBD","JJ Dr. Jackal and Mr. Fried","Sean Brown","David Rowlands","James Ledbetter","Grant Marshall",21,11
"columbus2023","Premier 5.0+","Pool","Bergman/Wilkins","Donner & Blitzen","Chris Wilkins","Neal Bergman","Liam Sherron","James Richmond",21,17
"columbus2023","Premier 5.0+","Pool","Risky Business","upstairs don’t want it","Justin Kehoe","Kyle Fowler","Max Huang","Zach Bender",21,18
"columbus2023","Premier 5.0+","Pool","GFD Shorter & Taller","GFD Cleveland Cowboys","Andrew Sullivan","Caleb Shorter","Daniel Patten","Levi Rogers",21,15
"columbus2023","Premier 5.0+","Pool","PBR Sleepy in Seattle","W(ee)NYR Dawgs","Brian Perlson","Michael Capobianco","Isaac Staats","Stephen Sweeney",24,22
"columbus2023","Premier 5.0+","Pool","Jersey Boyz","GFD Undeterred","Corey Weiss","Matt Spolarich","Ruben Zapata","Rob's Traveler",21,18
"columbus2023","Premier 5.0+","Pool","Glitch","moist","Luke Nickel","Cody Dryer","Tyler Cisek","PJ Showalter",21,18
"columbus2023","Premier 5.0+","Pool","Project Roundnet","Hart/Garcea","Josh Esposo","Samuel Corey","Adrian Garcea","Jack Hart",23,21
"columbus2023","Premier 5.0+","Pool","❤️ For Dolores ✝️","GFD Pecan Pralines","Connor Prelich","kevin um","Jack W","Aleks Essen",21,17
"columbus2023","Premier 5.0+","Pool","GFD Breakfast Balls","CRO 7s Coming","Rendall Weaver","Henry Pilliod","Nicholas Puopolo","Eric Reinke",22,20
"columbus2023","Premier 5.0+","Pool","Limitless Faith","CRO Jungle Juice","Andrew Raber","Ethan Domster","Kyle Jeung","Nathan Goh",21,16
"columbus2023","Premier 5.0+","Pool","Sparky Sparky Boom Men","Kenough","Sunny Gu","Connor Nelson","Tommy Drake","Dennis Wei",21,17
"columbus2023","Premier 5.0+","Pool","American Spikers League","Muscle Daddies  💪🏽","Kaleb Wagner","Alex Hart (ASL)","Colin TOLENTINO","Jared Ang",19,21
