"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers23ct","5.0+ Premier (Open)","Pool","Finocchachurch","NYC LemonLight","Taylor Church","Gabriel Finocchi","Riley Savastano","Ryan Paul",21,7
"ers23ct","5.0+ Premier (Open)","Pool","Cheezin","Dinomite","Matt Spolarich","Mike Garrett","Charlie Camarena","Auriel Wish",7,21
"ers23ct","5.0+ Premier (Open)","Pool","Hilltop","Cabbage Merchants","Cole Model","Max Model","James Hyman","Ian Slattery",21,9
"ers23ct","5.0+ Premier (Open)","Pool","Just Joshin","Royal Flush","Josh Hutko","Josh DiDonato","Nic Albornoz","Pat Marinich",21,11
"ers23ct","5.0+ Premier (Open)","Pool","Profit Boost","Sports Mode","Kieran Rose","Justin Shaytar","Joel Morrell","Maxwell Riseman",21,10
"ers23ct","5.0+ Premier (Open)","Pool","Bingu!","Tank Engines","Jared Bingham","Sunny Gu","Thomas Estella","Thomas Maloney",21,17
"ers23ct","5.0+ Premier (Open)","Pool","MIDDS","Shock Value","Dawson Morgan","Caleb Cummings","Drew Ryder","John Putney",21,10
"ers23ct","5.0+ Premier (Open)","Pool","Fockey Jongens","Slow Jamz","Connor Prelich","Frederik Theunis","Thomas Hoffman","Kevin McClain",11,21
"ers23ct","5.0+ Premier (Open)","Pool","The Prince","Old Hope","Samuel Prince","Maxime Prince","Mitchell Whelan","Sam Diani",21,8
"ers23ct","5.0+ Premier (Open)","Pool","Pleasant People","Low Expectations","Demitri Forand","Maxwell Gunneson","Riley LeBlanc","Alex LeBlanc",21,13
"ers23ct","5.0+ Premier (Open)","Pool","❓❓❓","White Lotus Roundnet","Ricky Santiago","Kevin Chen","Mitchell Carter","Ely Marciano",17,21
"ers23ct","5.0+ Premier (Open)","Pool","Finocchachurch","Dinomite","Taylor Church","Gabriel Finocchi","Charlie Camarena","Auriel Wish",21,9
"ers23ct","5.0+ Premier (Open)","Pool","Okay","NYC LemonLight","Dennis Joseph","Javier Vidal","Riley Savastano","Ryan Paul",21,16
"ers23ct","5.0+ Premier (Open)","Pool","Hilltop","Royal Flush","Cole Model","Max Model","Nic Albornoz","Pat Marinich",21,7
"ers23ct","5.0+ Premier (Open)","Pool","Parked and wrecked","Cabbage Merchants","Nathan Montgomery","Samuel Corey","James Hyman","Ian Slattery",22,20
"ers23ct","5.0+ Premier (Open)","Pool","Profit Boost","Tank Engines","Kieran Rose","Justin Shaytar","Thomas Estella","Thomas Maloney",21,10
"ers23ct","5.0+ Premier (Open)","Pool","Body No Worky","Sports Mode","Jake Goodnow","Alex Daly","Joel Morrell","Maxwell Riseman",21,11
"ers23ct","5.0+ Premier (Open)","Pool","MIDDS","Slow Jamz","Dawson Morgan","Caleb Cummings","Thomas Hoffman","Kevin McClain",21,13
"ers23ct","5.0+ Premier (Open)","Pool","Maichen/Ulrich","Shock Value","Joey Maichen","Brody Ulrich","Drew Ryder","John Putney",21,17
"ers23ct","5.0+ Premier (Open)","Pool","The Prince","Low Expectations","Samuel Prince","Maxime Prince","Riley LeBlanc","Alex LeBlanc",21,5
"ers23ct","5.0+ Premier (Open)","Pool","Pleasant People","❓❓❓","Demitri Forand","Maxwell Gunneson","Ricky Santiago","Kevin Chen",21,10
"ers23ct","5.0+ Premier (Open)","Pool","White Lotus Roundnet","Old Hope","Mitchell Carter","Ely Marciano","Mitchell Whelan","Sam Diani",21,16
"ers23ct","5.0+ Premier (Open)","Pool","Finocchachurch","Okay","Taylor Church","Gabriel Finocchi","Dennis Joseph","Javier Vidal",24,22
"ers23ct","5.0+ Premier (Open)","Pool","Cheezin","NYC LemonLight","Matt Spolarich","Mike Garrett","Riley Savastano","Ryan Paul",21,12
