"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","Liquid Wrench","Abby Piedmont","Stef Ding","Abigail Lannetti","Courtney Coppage",15,4
"ers23md","4.0+ Women's Advanced","Pool","whiff & tiff?","Women in STEM","Tiff Ding","Meagan Bown","Bel Belvedere","Lauren Viado",15,13
"ers23md","4.0+ Women's Advanced","Pool","Scrambled Legs","Sets and the City","Lourna Szabanos","Amanda Jamieson","Katrina Gabriella","Elizabeth Wiecek",16,14
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","Women in STEM","Abby Piedmont","Stef Ding","Bel Belvedere","Lauren Viado",15,10
"ers23md","4.0+ Women's Advanced","Pool","whiff & tiff?","Goofy Goobers","Tiff Ding","Meagan Bown","Alyssa Drain","Katheleen Phan",18,20
"ers23md","4.0+ Women's Advanced","Pool","Sets and the City","Liquid Wrench","Katrina Gabriella","Elizabeth Wiecek","Abigail Lannetti","Courtney Coppage",10,15
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","Sets and the City","Abby Piedmont","Stef Ding","Katrina Gabriella","Elizabeth Wiecek",15,10
"ers23md","4.0+ Women's Advanced","Pool","whiff & tiff?","Scrambled Legs","Tiff Ding","Meagan Bown","Lourna Szabanos","Amanda Jamieson",15,11
"ers23md","4.0+ Women's Advanced","Pool","Goofy Goobers","Women in STEM","Alyssa Drain","Katheleen Phan","Bel Belvedere","Lauren Viado",15,9
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","Goofy Goobers","Abby Piedmont","Stef Ding","Alyssa Drain","Katheleen Phan",16,14
"ers23md","4.0+ Women's Advanced","Pool","whiff & tiff?","Liquid Wrench","Tiff Ding","Meagan Bown","Abigail Lannetti","Courtney Coppage",15,8
"ers23md","4.0+ Women's Advanced","Pool","Scrambled Legs","Women in STEM","Lourna Szabanos","Amanda Jamieson","Bel Belvedere","Lauren Viado",15,12
"ers23md","4.0+ Women's Advanced","Pool","whiff & tiff?","Sets and the City","Tiff Ding","Meagan Bown","Katrina Gabriella","Elizabeth Wiecek",15,9
"ers23md","4.0+ Women's Advanced","Pool","Scrambled Legs","Goofy Goobers","Lourna Szabanos","Amanda Jamieson","Alyssa Drain","Katheleen Phan",12,15
"ers23md","4.0+ Women's Advanced","Pool","Women in STEM","Liquid Wrench","Bel Belvedere","Lauren Viado","Abigail Lannetti","Courtney Coppage",14,16
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","Scrambled Legs","Abby Piedmont","Stef Ding","Lourna Szabanos","Amanda Jamieson",15,11
"ers23md","4.0+ Women's Advanced","Pool","Goofy Goobers","Liquid Wrench","Alyssa Drain","Katheleen Phan","Abigail Lannetti","Courtney Coppage",15,8
"ers23md","4.0+ Women's Advanced","Pool","Sets and the City","Women in STEM","Katrina Gabriella","Elizabeth Wiecek","Bel Belvedere","Lauren Viado",15,13
"ers23md","4.0+ Women's Advanced","Pool","Stef and Abby ","whiff & tiff?","Abby Piedmont","Stef Ding","Tiff Ding","Meagan Bown",15,13
"ers23md","4.0+ Women's Advanced","Pool","Scrambled Legs","Liquid Wrench","Lourna Szabanos","Amanda Jamieson","Abigail Lannetti","Courtney Coppage",14,16
"ers23md","4.0+ Women's Advanced","Pool","Goofy Goobers","Sets and the City","Alyssa Drain","Katheleen Phan","Katrina Gabriella","Elizabeth Wiecek",15,8
"ers23md","4.0+ Women's Advanced","Quarter-final","Goofy Goobers","Women in STEM","Alyssa Drain","Katheleen Phan","Bel Belvedere","Lauren Viado",21,14
"ers23md","4.0+ Women's Advanced","Quarter-final","Goofy Goobers","Women in STEM","Alyssa Drain","Katheleen Phan","Bel Belvedere","Lauren Viado",21,16
"ers23md","4.0+ Women's Advanced","Quarter-final","whiff & tiff?","Sets and the City","Tiff Ding","Meagan Bown","Katrina Gabriella","Elizabeth Wiecek",21,12
"ers23md","4.0+ Women's Advanced","Quarter-final","whiff & tiff?","Sets and the City","Tiff Ding","Meagan Bown","Katrina Gabriella","Elizabeth Wiecek",21,12
"ers23md","4.0+ Women's Advanced","Quarter-final","Liquid Wrench","Scrambled Legs","Abigail Lannetti","Courtney Coppage","Lourna Szabanos","Amanda Jamieson",15,21
"ers23md","4.0+ Women's Advanced","Quarter-final","Liquid Wrench","Scrambled Legs","Abigail Lannetti","Courtney Coppage","Lourna Szabanos","Amanda Jamieson",10,21
"ers23md","4.0+ Women's Advanced","Semi-final","Stef and Abby ","Scrambled Legs","Abby Piedmont","Stef Ding","Lourna Szabanos","Amanda Jamieson",21,15
"ers23md","4.0+ Women's Advanced","Semi-final","Stef and Abby ","Scrambled Legs","Abby Piedmont","Stef Ding","Lourna Szabanos","Amanda Jamieson",21,16
"ers23md","4.0+ Women's Advanced","Semi-final","Goofy Goobers","whiff & tiff?","Alyssa Drain","Katheleen Phan","Tiff Ding","Meagan Bown",19,21
"ers23md","4.0+ Women's Advanced","Semi-final","Goofy Goobers","whiff & tiff?","Alyssa Drain","Katheleen Phan","Tiff Ding","Meagan Bown",10,21
