"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers23xmas","4.5+ Open","Pool","The Queens","Boomers","Etienne Cote","Maxime Prince","Tyler Martin","Kyle Ebersol",21,5
"ers23xmas","4.5+ Open","Pool","Daly Dreidel Spins","Front Pocket","Javier Vidal","Alex Daly","James Halpin","Michael Tracey",21,5
"ers23xmas","4.5+ Open","Pool","GFD Monopoly Go","Coop has a reverse","Grant Klapwijk","Andrew Sullivan","Michael Nelson","Cooper Pennell",21,11
"ers23xmas","4.5+ Open","Pool","Tommy Gun","ON Que Fanboys","Maxwell Gunneson","Tommy Drake","Olivier Bernard","Peter Lam",21,13
"ers23xmas","4.5+ Open","Pool","Picone/Larson","Santa's Comin to town","Will Picone","Cade Larson","AJ Yoon","Evan Hopkins",21,8
"ers23xmas","4.5+ Open","Pool","OF Stick Pics","Pecan Pralines","Thomas Hoffman","Demitri Forand","Jack W","Aleks Essen",18,21
"ers23xmas","4.5+ Open","Pool","Your Bàba's","ALLLLEZZZZZ KARRRRLLL","Michael Lin","Dennis Wei","Jé Gagnon","Karl Pominville",9,21
"ers23xmas","4.5+ Open","Pool","LL Fairly Odd","The Beauty and The Beast of the East","Matt Spolarich","Gabriel Finocchi","Noah Vasington","Matthew Tiongko",21,8
"ers23xmas","4.5+ Open","Pool","Spin Cycle","Mario & Donkey Kong","Lucas Pruett","Joey Maichen","Jean-Philippe Miller-Dussault","Anthony St-Martin",17,21
"ers23xmas","4.5+ Open","Pool","Sick Nasty","Daudelin/Esposo","alex stan","Joel Lapp","Tim Daudelin","Jon Esposo",21,8
"ers23xmas","4.5+ Open","Pool","Doubt It","Low Contender","Brendan Ferreira","Owen Lippman","Dylan Noker","Andrew Luque",21,11
"ers23xmas","4.5+ Open","Pool","Left Twix","Windsor Wonderland","Samuel Corey","Kurt Lannetti","Drew Weaver","Riley Nassour",21,16
"ers23xmas","4.5+ Open","Pool","LL Alter Ego","SWEATY💧","Josh DiDonato","Mike Garrett","Drew Ryder","Caleb White",21,15
"ers23xmas","4.5+ Open","Pool","Model/Rose","Keely/ Weeks","Max Model","Kieran Rose","Drew Keely","Brooks Weeks",21,12
"ers23xmas","4.5+ Open","Pool","Dinomite","LL Rant","Auriel Wish","Charlie Camarena","Ant Terrigno","Ryan Paul",21,14
"ers23xmas","4.5+ Open","Pool","Woodstown spikeball club","Apricot’s Army","Henrik Hoeldtke","Dan Bonowski","Jake Hurst","Tyler Keener",13,21
"ers23xmas","4.5+ Open","Pool","Shaytar/Shorter","ball of duty ","Caleb Shorter","Justin Shaytar","Micah Wipf","Micah Ressler",21,7
"ers23xmas","4.5+ Open","Pool","Bingu!","Fresh Cuts","Sunny Gu","Jared Bingham","Mike Hamilton","Ethan Westfall",21,16
"ers23xmas","4.5+ Open","Pool","PBR Sleepy in Seattle","The Abominable Spikeman","Michael Capobianco","Brian Perlson","Zach Bender","Jacob Narayan",21,17
"ers23xmas","4.5+ Open","Pool","Dance Dance Revolutionists","Maximum Torque","Ryan Gross","A.j. Martin","Nic Albornoz","Declan Brown",21,8
"ers23xmas","4.5+ Open","Pool","Devil’s Sympathy","Slim Reapers","Jack Bushart","Henry Pilliod","Patrick Fazzio","Nate Kunz",21,6
"ers23xmas","4.5+ Open","Pool","Second Servings","Falling Guys","Ricky Santiago","Kevin Chen","Charles Tipton","Bryan Grullon",12,21
"ers23xmas","4.5+ Open","Pool","The Queens","Front Pocket","Etienne Cote","Maxime Prince","James Halpin","Michael Tracey",21,6
"ers23xmas","4.5+ Open","Pool","No Pressure","Boomers","Josh Hutko","Alex Newton","Tyler Martin","Kyle Ebersol",21,15
"ers23xmas","4.5+ Open","Pool","GFD Monopoly Go","ON Que Fanboys","Grant Klapwijk","Andrew Sullivan","Olivier Bernard","Peter Lam",21,11
"ers23xmas","4.5+ Open","Pool","PBR Coconuts","Coop has a reverse","Jacob Arzaga","Calvin Smith","Michael Nelson","Cooper Pennell",21,14
"ers23xmas","4.5+ Open","Pool","Picone/Larson","Pecan Pralines","Will Picone","Cade Larson","Jack W","Aleks Essen",21,11
"ers23xmas","4.5+ Open","Pool","OF Stick Pics","Your Bàba's","Thomas Hoffman","Demitri Forand","Michael Lin","Dennis Wei",18,21
"ers23xmas","4.5+ Open","Pool","ALLLLEZZZZZ KARRRRLLL","Santa's Comin to town","Jé Gagnon","Karl Pominville","AJ Yoon","Evan Hopkins",21,9
"ers23xmas","4.5+ Open","Pool","LL Fairly Odd","Mario & Donkey Kong","Matt Spolarich","Gabriel Finocchi","Jean-Philippe Miller-Dussault","Anthony St-Martin",21,18
