"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"evanston23","Expert(4.5)","Pool","ClubSpike Big Slick","Arctic Chill","Neal Bergman","Chris Wilkins","Levi Ott","Bennett Oetken",21,11
"evanston23","Expert(4.5)","Pool","Colinumerable","Sams Club","Jason Inumerable","Colin Hobart","Samantha Barklow","samantha greathouse",21,15
"evanston23","Expert(4.5)","Pool","upstairs?","T/T","Chase Bremner","Kenny Velu","Treyton Schoessow","Tab Dayani",21,10
"evanston23","Expert(4.5)","Pool","Revised Banquet","Waterboys","Gavin Broekema","Andy Trower","Joey OBrien","Tyler Sempek",21,3
"evanston23","Expert(4.5)","Pool","Cupcake","Spicy Food Enjoyers","Rohil Senapati","Jack Bush","Kishore Natchiappan","Luke Nemec",21,12
"evanston23","Expert(4.5)","Pool","Last Minute","Hot Pockets","Johnnie Teng","Camden Sandberg","Matthew Greathouse","Jacob Lanenga",12,21
"evanston23","Expert(4.5)","Pool","Revisions Needed","Team xD","Lindros Beard","Mitch Kelley","Caleb Bartman","Anthony Bartman",21,5
"evanston23","Expert(4.5)","Pool","Pepi’s People","NY Yankers","Wyatt Semke","Joey Reynolds","Ethan Ferland","Alex Luc",21,16
"evanston23","Expert(4.5)","Pool","Righteous Rights","Pocket Aces","Marty Merigold","John Clark","Trevor Sargent","lucas klopfenstein",16,21
"evanston23","Expert(4.5)","Pool","ClubSpike Big Slick","Sams Club","Neal Bergman","Chris Wilkins","Samantha Barklow","samantha greathouse",21,6
"evanston23","Expert(4.5)","Pool","Colinumerable","upstairs?","Jason Inumerable","Colin Hobart","Chase Bremner","Kenny Velu",17,21
"evanston23","Expert(4.5)","Pool","T/T","Arctic Chill","Treyton Schoessow","Tab Dayani","Levi Ott","Bennett Oetken",18,21
"evanston23","Expert(4.5)","Pool","Revised Banquet","Spicy Food Enjoyers","Gavin Broekema","Andy Trower","Kishore Natchiappan","Luke Nemec",21,11
"evanston23","Expert(4.5)","Pool","Cupcake","Last Minute","Rohil Senapati","Jack Bush","Johnnie Teng","Camden Sandberg",21,14
"evanston23","Expert(4.5)","Pool","Hot Pockets","Waterboys","Matthew Greathouse","Jacob Lanenga","Joey OBrien","Tyler Sempek",23,21
"evanston23","Expert(4.5)","Pool","Revisions Needed","NY Yankers","Lindros Beard","Mitch Kelley","Ethan Ferland","Alex Luc",21,13
"evanston23","Expert(4.5)","Pool","Pepi’s People","Righteous Rights","Wyatt Semke","Joey Reynolds","Marty Merigold","John Clark",21,16
"evanston23","Expert(4.5)","Pool","Pocket Aces","Team xD","Trevor Sargent","lucas klopfenstein","Caleb Bartman","Anthony Bartman",21,10
"evanston23","Expert(4.5)","Pool","ClubSpike Big Slick","T/T","Neal Bergman","Chris Wilkins","Treyton Schoessow","Tab Dayani",21,7
"evanston23","Expert(4.5)","Pool","Colinumerable","Arctic Chill","Jason Inumerable","Colin Hobart","Levi Ott","Bennett Oetken",21,17
"evanston23","Expert(4.5)","Pool","upstairs?","Sams Club","Chase Bremner","Kenny Velu","Samantha Barklow","samantha greathouse",21,12
