"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"long-island-classic-2023","Premier (5.0+)","Pool","Sweet Nothings","LL Mosh","Brendan Ferreira","Noah Luskus","Josh DiDonato","Mike Garrett",17,21
"long-island-classic-2023","Premier (5.0+)","Pool","Dad and Sun","True","Sunny Gu","Dennis Joseph","Artie Singer","Jack coolbaugh",21,17
"long-island-classic-2023","Premier (5.0+)","Pool","RVA Spike","LL Rookies","Will Picone","Brayden Latham","Rafi Moldovsky","Ryan Paul",21,8
"long-island-classic-2023","Premier (5.0+)","Pool","Pruett/Bingham","We Serve","Lucas Pruett","Jared Bingham","Tyler Cisek","Desmond Benton",19,21
"long-island-classic-2023","Premier (5.0+)","Pool","Lazy Bots","Jake & Charles","Owen Lippman","Cade Larson","Charles Mordacq","Jake Mottershead",21,15
"long-island-classic-2023","Premier (5.0+)","Pool","Project Roundnet","Dummy wide son","Samuel Corey","Josh Esposo","A.j. Martin","Thomas Hoffman",21,15
"long-island-classic-2023","Premier (5.0+)","Pool","M. Model / R. Santiago","Goodnow/Ulrich","Max Model","Ricky Santiago","Brody Ulrich","Jake Goodnow",21,17
"long-island-classic-2023","Premier (5.0+)","Pool","Guachos","Pocket Rockets","Josh Fragiacomo","Ryan Oswalt","Donald Fung","Nick Mesa",21,14
"long-island-classic-2023","Premier (5.0+)","Pool","Fernandez/Kornfeld","Rowland’Sweeney","Kyan Kornfeld","Tyler Fernandez","Stephen Sweeney","David Rowlands",21,13
"long-island-classic-2023","Premier (5.0+)","Pool","Jersey Boyz","White Lotus Roundnet","Matt Spolarich","Corey Weiss","Ely Marciano","Mitchell Carter",21,18
"long-island-classic-2023","Premier (5.0+)","Pool","Endurance","PBR ELBROS","Maxwell Gunneson","Danny Gologorsky","Michael Capobianco","Joel Morrell",21,15
"long-island-classic-2023","Premier (5.0+)","Pool","Sweet Nothings","True","Brendan Ferreira","Noah Luskus","Artie Singer","Jack coolbaugh",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","Pickle Juice","LL Mosh","Josh Hutko","Sam Mccune","Josh DiDonato","Mike Garrett",15,21
"long-island-classic-2023","Premier (5.0+)","Pool","RVA Spike","We Serve","Will Picone","Brayden Latham","Tyler Cisek","Desmond Benton",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","Free On Mach","LL Rookies","Pat Marinich","Demitri Forand","Rafi Moldovsky","Ryan Paul",21,13
"long-island-classic-2023","Premier (5.0+)","Pool","Lazy Bots","Dummy wide son","Owen Lippman","Cade Larson","A.j. Martin","Thomas Hoffman",21,14
"long-island-classic-2023","Premier (5.0+)","Pool","Driver’s License","Jake & Charles","Charles Tipton","Alex Daly","Charles Mordacq","Jake Mottershead",25,24
"long-island-classic-2023","Premier (5.0+)","Pool","M. Model / R. Santiago","Pocket Rockets","Max Model","Ricky Santiago","Donald Fung","Nick Mesa",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","PBR Pickle Boys","Goodnow/Ulrich","Jacob Arzaga","Brian Perlson","Brody Ulrich","Jake Goodnow",21,13
"long-island-classic-2023","Premier (5.0+)","Pool","Fernandez/Kornfeld","White Lotus Roundnet","Kyan Kornfeld","Tyler Fernandez","Ely Marciano","Mitchell Carter",17,21
"long-island-classic-2023","Premier (5.0+)","Pool","Jersey Boyz","Endurance","Matt Spolarich","Corey Weiss","Maxwell Gunneson","Danny Gologorsky",21,18
"long-island-classic-2023","Premier (5.0+)","Pool","PBR ELBROS","Rowland’Sweeney","Michael Capobianco","Joel Morrell","Stephen Sweeney","David Rowlands",15,21
"long-island-classic-2023","Premier (5.0+)","Pool","Sweet Nothings","Pickle Juice","Brendan Ferreira","Noah Luskus","Josh Hutko","Sam Mccune",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","Dad and Sun","LL Mosh","Sunny Gu","Dennis Joseph","Josh DiDonato","Mike Garrett",20,22
"long-island-classic-2023","Premier (5.0+)","Pool","RVA Spike","Free On Mach","Will Picone","Brayden Latham","Pat Marinich","Demitri Forand",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","Pruett/Bingham","LL Rookies","Lucas Pruett","Jared Bingham","Rafi Moldovsky","Ryan Paul",21,17
"long-island-classic-2023","Premier (5.0+)","Pool","Lazy Bots","Driver’s License","Owen Lippman","Cade Larson","Charles Tipton","Alex Daly",21,13
"long-island-classic-2023","Premier (5.0+)","Pool","Project Roundnet","Jake & Charles","Samuel Corey","Josh Esposo","Charles Mordacq","Jake Mottershead",21,15
"long-island-classic-2023","Premier (5.0+)","Pool","M. Model / R. Santiago","PBR Pickle Boys","Max Model","Ricky Santiago","Jacob Arzaga","Brian Perlson",21,18
"long-island-classic-2023","Premier (5.0+)","Pool","Guachos","Goodnow/Ulrich","Josh Fragiacomo","Ryan Oswalt","Brody Ulrich","Jake Goodnow",25,23
"long-island-classic-2023","Premier (5.0+)","Pool","Fernandez/Kornfeld","PBR ELBROS","Kyan Kornfeld","Tyler Fernandez","Michael Capobianco","Joel Morrell",21,12
"long-island-classic-2023","Premier (5.0+)","Pool","Jersey Boyz","Rowland’Sweeney","Matt Spolarich","Corey Weiss","Stephen Sweeney","David Rowlands",21,13
"long-island-classic-2023","Premier (5.0+)","Pool","Endurance","White Lotus Roundnet","Maxwell Gunneson","Danny Gologorsky","Ely Marciano","Mitchell Carter",13,21
"long-island-classic-2023","Premier (5.0+)","Pool","Dad and Sun","Pickle Juice","Sunny Gu","Dennis Joseph","Josh Hutko","Sam Mccune",19,21
"long-island-classic-2023","Premier (5.0+)","Pool","True","LL Mosh","Artie Singer","Jack coolbaugh","Josh DiDonato","Mike Garrett",21,11
"long-island-classic-2023","Premier (5.0+)","Pool","Pruett/Bingham","Free On Mach","Lucas Pruett","Jared Bingham","Pat Marinich","Demitri Forand",16,21
"long-island-classic-2023","Premier (5.0+)","Pool","We Serve","LL Rookies","Tyler Cisek","Desmond Benton","Rafi Moldovsky","Ryan Paul",21,16
"long-island-classic-2023","Premier (5.0+)","Pool","Project Roundnet","Driver’s License","Samuel Corey","Josh Esposo","Charles Tipton","Alex Daly",23,21
"long-island-classic-2023","Premier (5.0+)","Pool","Dummy wide son","Jake & Charles","A.j. Martin","Thomas Hoffman","Charles Mordacq","Jake Mottershead",21,14
"long-island-classic-2023","Premier (5.0+)","Pool","Guachos","PBR Pickle Boys","Josh Fragiacomo","Ryan Oswalt","Jacob Arzaga","Brian Perlson",20,22
"long-island-classic-2023","Premier (5.0+)","Pool","Pocket Rockets","Goodnow/Ulrich","Donald Fung","Nick Mesa","Brody Ulrich","Jake Goodnow",21,18
