"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"nashvillecup2023","Premier (5.0)","Pool","Rogue","Get Gaped","Thomas Hamilton","Ryan Marino","Nick Evanko","Tim Lacagnina",21,17
"nashvillecup2023","Premier (5.0)","Pool","Evasive Maneuvers","A Savage 21st","Michael Barkman","Jenson Miller","Josef Quispe","Jared Beaufait",21,18
"nashvillecup2023","Premier (5.0)","Pool","Kingdom Come","Risky Business","Matthew Cole","Grant Klapwijk","Kyle Fowler","Justin Kehoe",21,10
"nashvillecup2023","Premier (5.0)","Pool","Autonomous","Flubbin Trash","Chase Meyer","Tyler Fernandez","Jayson Rhea","Ian Murphy",21,15
"nashvillecup2023","Premier (5.0)","Pool","TRP Mermaid Sparkle","Asioneer","Christian Bennett","Noah Luskus","Jerry Lee","CHOU PO-JUI",21,16
"nashvillecup2023","Premier (5.0)","Pool","WySpike Sweepers","YMCA","Nick Noguez","Colton Mowry","Carter Hodgson","david seo",21,17
"nashvillecup2023","Premier (5.0)","Pool","Hive Mind","Munch","Lindros Beard","Cole Maddox","Gabriel Skaggs","Josiah McKinney",21,18
"nashvillecup2023","Premier (5.0)","Pool","Profit Boost","Ledbetter/Raman","Kieran Rose","Justin Shaytar","Henry Raman","James Ledbetter",21,7
"nashvillecup2023","Premier (5.0)","Pool","Absolutely Sozzled","TRA.wav","Matthew Burrows","Cade Larson","Noah Vasington","Houston Sproles",21,13
"nashvillecup2023","Premier (5.0)","Pool","Kevin's Famous Chili - Taylor’s Version","Revised Banquet","Thomas Maloney","Dylan Bricker","Gavin Broekema","Andy Trower",17,21
"nashvillecup2023","Premier (5.0)","Pool","Morgan/Mowry","Providence","Luke Mowry","Dawson Morgan","Brandon Arledge","Ian Timan",21,13
"nashvillecup2023","Premier (5.0)","Pool","ILL","DMChilly","Brendan Ferreira","Olivia Jenki","Derek McRea","Christian Hill",21,15
"nashvillecup2023","Premier (5.0)","Pool","Sunday Special","Skill Issue","Owen Bass","Peter Lu","Adam Porter","Josh Hutko",21,19
"nashvillecup2023","Premier (5.0)","Pool","Rogue","A Savage 21st","Thomas Hamilton","Ryan Marino","Josef Quispe","Jared Beaufait",21,11
"nashvillecup2023","Premier (5.0)","Pool","Left Twix","Get Gaped","Samuel Corey","Kurt Lannetti","Nick Evanko","Tim Lacagnina",14,21
