"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"philadelphia2023","Premier 5.0+","Pool","Rogue","Boat Carriers","Ryan Marino","Thomas Hamilton","Matthew Burrows","Brayden Latham",21,11
"philadelphia2023","Premier 5.0+","Pool","Cigar Boys","Critical Hit","Grant Laughlin","Dan Abrams","Justin Barr","Vincent Mathieu",18,21
"philadelphia2023","Premier 5.0+","Pool","Judgment Day","MIDDS","fredric hinkle","Gabriel Finocchi","Dawson Morgan","Caleb Cummings",21,16
"philadelphia2023","Premier 5.0+","Pool","TRP Mermaid Sparkle","Pantalons de pyj","Noah Luskus","Christian Bennett","Élie Pilon","Lou Paradis",21,19
"philadelphia2023","Premier 5.0+","Pool","TRP Spotless","Tube Steaks","Ryan Gross","Joe Bondi","Skyler Sebring","Emerson Dean",21,18
"philadelphia2023","Premier 5.0+","Pool","TRP Mammoth","Bot House","Ali Jenki","Clark Marshall","West Peterson","Owen Lippman",14,21
"philadelphia2023","Premier 5.0+","Pool","Bad Combo","Hilltop","Rahul Murthy","Will Picone","Cole Model","Max Model",19,21
"philadelphia2023","Premier 5.0+","Pool","Kingdom Come","Profit Boost","Grant Klapwijk","Matthew Cole","Justin Shaytar","Kieran Rose",21,18
"philadelphia2023","Premier 5.0+","Pool","Lazy","Nelson Mattdela","Cade Larson","Luke Marshall","Michael Nelson","Matthew Morelli",21,13
"philadelphia2023","Premier 5.0+","Pool","Death by a Thousand Cuts","Come and Go","Charles Tipton","Jake Goodnow","Jake Mottershead","Mike Garrett",21,17
"philadelphia2023","Premier 5.0+","Pool","What’s cooking good looking","Quick Draw","Ryan Baillargeon","Josh Fragiacomo","Pat Marinich","Caleb White",24,22
"philadelphia2023","Premier 5.0+","Pool","Ricky & Charles","Wills/Wilson","Charles Mordacq","Ricky Santiago","Nate Wilson","Grayson M  Wills",18,21
"philadelphia2023","Premier 5.0+","Pool","Autonomous","Do2","Tyler Fernandez","Chase Meyer","Spencer Argenna","David Rowlands",21,13
"philadelphia2023","Premier 5.0+","Pool","Meatballs","Griddy Guys","Joey Maichen","Lucas Pruett","Tim Lacagnina","Rob's Traveler",21,14
"philadelphia2023","Premier 5.0+","Pool","Jersey Boyz","High on Spike ","Corey Weiss","Matt Spolarich","Dalton Gilder","Brandon Stokes",22,20
"philadelphia2023","Premier 5.0+","Pool","Might Not Show","Meateerballs","Josh Hutko","Austin Ha","Connor Nelson","Javier Vidal",18,21
"philadelphia2023","Premier 5.0+","Pool","Shorter & Taller","CRO Reverse Funnel","Andrew Sullivan","Caleb Shorter","Nicholas Puopolo","Nathan Goh",21,9
"philadelphia2023","Premier 5.0+","Pool","Limitless Faith","The 64th Team","Ethan Domster","Andrew Raber","Sam Bunze","Luke Repass",21,16
"philadelphia2023","Premier 5.0+","Pool","Evasive Maneuvers","Butter Me Up","Jenson Miller","Michael Barkman","James Ledbetter","kevin cadle",21,12
"philadelphia2023","Premier 5.0+","Pool","Handsome Man Fans","Rimi Olimpiskais","Liam Sherron","Calvin Smith","Archie Powell","Dan Bonowski",19,21
"philadelphia2023","Premier 5.0+","Pool","CRO Fall Damage","Nittany Nation","Chris Brown","Tyler Babin","Tyler Keener","Henry Pleszkoch",22,20
"philadelphia2023","Premier 5.0+","Pool","PBR Sleepy in Seattle","True","Brian Perlson","Michael Capobianco","Artie Singer","Jack coolbaugh",10,21
"philadelphia2023","Premier 5.0+","Pool","Project Roundnet","Water Boiz","Samuel Corey","Josh Esposo","Rafi Moldovsky","Joel Morrell",21,11
"philadelphia2023","Premier 5.0+","Pool","Duncan and Aidan","ya tu sabe","Dennis Joseph","Jared Bingham","Thomas Hoffman","David Gonzales",21,14
"philadelphia2023","Premier 5.0+","Pool","The Prince","Jelly","Maxime Prince","Samuel Prince","Joel Lapp","Micah Zimmerman",21,17
"philadelphia2023","Premier 5.0+","Pool","Fa(s)t 🧌","CRO Weather Nerfed","Joey Reynolds","Clifford Amadeo LeVeque","Leonardo Tullo","Adrian Garcea",21,14
"philadelphia2023","Premier 5.0+","Pool","Homemade Dynamite ","Yucky Duckies","Demitri Forand","Henry Pilliod","alex stan","A.j. Martin",21,15
"philadelphia2023","Premier 5.0+","Pool","Bev’d Up","Buchanan/Dantowitz","Sean Brown","Nate KT","John Buchanan","Ezra Dantowitz",19,21
"philadelphia2023","Premier 5.0+","Pool","Eternal Atake","Gnarly ","Reid Lampert","Kurt Lannetti","Sam Mccune","Alex Newton",21,11
"philadelphia2023","Premier 5.0+","Pool","Global Citizens","Carter/Ulrich","Maxwell Gunneson","Connor Prelich","Brody Ulrich","Mitchell Carter",21,17
"philadelphia2023","Premier 5.0+","Pool","Sunday Special","Asioneer","Owen Bass","Peter Lu","CHOU PO-JUI","Jerry Lee",20,22
"philadelphia2023","Premier 5.0+","Pool","Hot n Ready","LL Unfinished Business","Nick Evanko","Rendall Weaver","Josh DiDonato","Ryan Paul",21,15
"philadelphia2023","Premier 5.0+","Pool","Rogue","Critical Hit","Ryan Marino","Thomas Hamilton","Justin Barr","Vincent Mathieu",21,19
"philadelphia2023","Premier 5.0+","Pool","Cigar Boys","Boat Carriers","Grant Laughlin","Dan Abrams","Matthew Burrows","Brayden Latham",20,22
"philadelphia2023","Premier 5.0+","Pool","Judgment Day","Pantalons de pyj","fredric hinkle","Gabriel Finocchi","Élie Pilon","Lou Paradis",21,14
"philadelphia2023","Premier 5.0+","Pool","TRP Mermaid Sparkle","MIDDS","Noah Luskus","Christian Bennett","Dawson Morgan","Caleb Cummings",11,21
"philadelphia2023","Premier 5.0+","Pool","TRP Spotless","Bot House","Ryan Gross","Joe Bondi","West Peterson","Owen Lippman",13,21
"philadelphia2023","Premier 5.0+","Pool","TRP Mammoth","Tube Steaks","Ali Jenki","Clark Marshall","Skyler Sebring","Emerson Dean",22,20
"philadelphia2023","Premier 5.0+","Pool","Bad Combo","Profit Boost","Rahul Murthy","Will Picone","Justin Shaytar","Kieran Rose",21,17
"philadelphia2023","Premier 5.0+","Pool","Kingdom Come","Hilltop","Grant Klapwijk","Matthew Cole","Cole Model","Max Model",17,21
"philadelphia2023","Premier 5.0+","Pool","Lazy","Come and Go","Cade Larson","Luke Marshall","Jake Mottershead","Mike Garrett",19,21
"philadelphia2023","Premier 5.0+","Pool","Death by a Thousand Cuts","Nelson Mattdela","Charles Tipton","Jake Goodnow","Michael Nelson","Matthew Morelli",18,21
"philadelphia2023","Premier 5.0+","Pool","What’s cooking good looking","Wills/Wilson","Ryan Baillargeon","Josh Fragiacomo","Nate Wilson","Grayson M  Wills",21,16
"philadelphia2023","Premier 5.0+","Pool","Ricky & Charles","Quick Draw","Charles Mordacq","Ricky Santiago","Pat Marinich","Caleb White",17,21
"philadelphia2023","Premier 5.0+","Pool","Autonomous","Griddy Guys","Tyler Fernandez","Chase Meyer","Tim Lacagnina","Rob's Traveler",21,19
"philadelphia2023","Premier 5.0+","Pool","Meatballs","Do2","Joey Maichen","Lucas Pruett","Spencer Argenna","David Rowlands",21,18
"philadelphia2023","Premier 5.0+","Pool","Jersey Boyz","Meateerballs","Corey Weiss","Matt Spolarich","Connor Nelson","Javier Vidal",16,21
"philadelphia2023","Premier 5.0+","Pool","Might Not Show","High on Spike ","Josh Hutko","Austin Ha","Dalton Gilder","Brandon Stokes",13,21
"philadelphia2023","Premier 5.0+","Pool","Shorter & Taller","The 64th Team","Andrew Sullivan","Caleb Shorter","Sam Bunze","Luke Repass",21,14
"philadelphia2023","Premier 5.0+","Pool","Limitless Faith","CRO Reverse Funnel","Ethan Domster","Andrew Raber","Nicholas Puopolo","Nathan Goh",19,21
"philadelphia2023","Premier 5.0+","Pool","Evasive Maneuvers","Rimi Olimpiskais","Jenson Miller","Michael Barkman","Archie Powell","Dan Bonowski",21,19
"philadelphia2023","Premier 5.0+","Pool","Handsome Man Fans","Butter Me Up","Liam Sherron","Calvin Smith","James Ledbetter","kevin cadle",21,11
"philadelphia2023","Premier 5.0+","Pool","CRO Fall Damage","True","Chris Brown","Tyler Babin","Artie Singer","Jack coolbaugh",21,7
"philadelphia2023","Premier 5.0+","Pool","PBR Sleepy in Seattle","Nittany Nation","Brian Perlson","Michael Capobianco","Tyler Keener","Henry Pleszkoch",21,18
"philadelphia2023","Premier 5.0+","Pool","Project Roundnet","ya tu sabe","Samuel Corey","Josh Esposo","Thomas Hoffman","David Gonzales",21,16
"philadelphia2023","Premier 5.0+","Pool","Duncan and Aidan","Water Boiz","Dennis Joseph","Jared Bingham","Rafi Moldovsky","Joel Morrell",21,9
"philadelphia2023","Premier 5.0+","Pool","The Prince","CRO Weather Nerfed","Maxime Prince","Samuel Prince","Leonardo Tullo","Adrian Garcea",21,11
"philadelphia2023","Premier 5.0+","Pool","Fa(s)t 🧌","Jelly","Joey Reynolds","Clifford Amadeo LeVeque","Joel Lapp","Micah Zimmerman",15,21
"philadelphia2023","Premier 5.0+","Pool","Homemade Dynamite ","Buchanan/Dantowitz","Demitri Forand","Henry Pilliod","John Buchanan","Ezra Dantowitz",21,17
"philadelphia2023","Premier 5.0+","Pool","Bev’d Up","Yucky Duckies","Sean Brown","Nate KT","alex stan","A.j. Martin",21,17
"philadelphia2023","Premier 5.0+","Pool","Eternal Atake","Carter/Ulrich","Reid Lampert","Kurt Lannetti","Brody Ulrich","Mitchell Carter",21,11
"philadelphia2023","Premier 5.0+","Pool","Global Citizens","Gnarly ","Maxwell Gunneson","Connor Prelich","Sam Mccune","Alex Newton",21,18
"philadelphia2023","Premier 5.0+","Pool","Sunday Special","LL Unfinished Business","Owen Bass","Peter Lu","Josh DiDonato","Ryan Paul",21,19
"philadelphia2023","Premier 5.0+","Pool","Hot n Ready","Asioneer","Nick Evanko","Rendall Weaver","CHOU PO-JUI","Jerry Lee",21,15
"philadelphia2023","Premier 5.0+","Pool","Rogue","Cigar Boys","Ryan Marino","Thomas Hamilton","Grant Laughlin","Dan Abrams",21,17
"philadelphia2023","Premier 5.0+","Pool","Critical Hit","Boat Carriers","Justin Barr","Vincent Mathieu","Matthew Burrows","Brayden Latham",21,13
"philadelphia2023","Premier 5.0+","Pool","Judgment Day","TRP Mermaid Sparkle","fredric hinkle","Gabriel Finocchi","Noah Luskus","Christian Bennett",21,16
"philadelphia2023","Premier 5.0+","Pool","Pantalons de pyj","MIDDS","Élie Pilon","Lou Paradis","Dawson Morgan","Caleb Cummings",13,21
"philadelphia2023","Premier 5.0+","Pool","TRP Spotless","TRP Mammoth","Ryan Gross","Joe Bondi","Ali Jenki","Clark Marshall",21,15
"philadelphia2023","Premier 5.0+","Pool","Bot House","Tube Steaks","West Peterson","Owen Lippman","Skyler Sebring","Emerson Dean",21,17
"philadelphia2023","Premier 5.0+","Pool","Bad Combo","Kingdom Come","Rahul Murthy","Will Picone","Grant Klapwijk","Matthew Cole",21,16
"philadelphia2023","Premier 5.0+","Pool","Profit Boost","Hilltop","Justin Shaytar","Kieran Rose","Cole Model","Max Model",21,12
"philadelphia2023","Premier 5.0+","Pool","Lazy","Death by a Thousand Cuts","Cade Larson","Luke Marshall","Charles Tipton","Jake Goodnow",21,19
"philadelphia2023","Premier 5.0+","Pool","Come and Go","Nelson Mattdela","Jake Mottershead","Mike Garrett","Michael Nelson","Matthew Morelli",21,16
"philadelphia2023","Premier 5.0+","Pool","What’s cooking good looking","Ricky & Charles","Ryan Baillargeon","Josh Fragiacomo","Charles Mordacq","Ricky Santiago",21,16
"philadelphia2023","Premier 5.0+","Pool","Wills/Wilson","Quick Draw","Nate Wilson","Grayson M  Wills","Pat Marinich","Caleb White",25,24
"philadelphia2023","Premier 5.0+","Pool","Autonomous","Meatballs","Tyler Fernandez","Chase Meyer","Joey Maichen","Lucas Pruett",17,21
"philadelphia2023","Premier 5.0+","Pool","Griddy Guys","Do2","Tim Lacagnina","Rob's Traveler","Spencer Argenna","David Rowlands",21,17
"philadelphia2023","Premier 5.0+","Pool","Jersey Boyz","Might Not Show","Corey Weiss","Matt Spolarich","Josh Hutko","Austin Ha",21,12
"philadelphia2023","Premier 5.0+","Pool","Meateerballs","High on Spike ","Connor Nelson","Javier Vidal","Dalton Gilder","Brandon Stokes",22,20
"philadelphia2023","Premier 5.0+","Pool","Shorter & Taller","Limitless Faith","Andrew Sullivan","Caleb Shorter","Ethan Domster","Andrew Raber",16,21
"philadelphia2023","Premier 5.0+","Pool","The 64th Team","CRO Reverse Funnel","Sam Bunze","Luke Repass","Nicholas Puopolo","Nathan Goh",21,17
"philadelphia2023","Premier 5.0+","Pool","Evasive Maneuvers","Handsome Man Fans","Jenson Miller","Michael Barkman","Liam Sherron","Calvin Smith",21,15
"philadelphia2023","Premier 5.0+","Pool","Rimi Olimpiskais","Butter Me Up","Archie Powell","Dan Bonowski","James Ledbetter","kevin cadle",24,22
"philadelphia2023","Premier 5.0+","Pool","CRO Fall Damage","PBR Sleepy in Seattle","Chris Brown","Tyler Babin","Brian Perlson","Michael Capobianco",21,14
"philadelphia2023","Premier 5.0+","Pool","True","Nittany Nation","Artie Singer","Jack coolbaugh","Tyler Keener","Henry Pleszkoch",21,16
"philadelphia2023","Premier 5.0+","Pool","Project Roundnet","Duncan and Aidan","Samuel Corey","Josh Esposo","Dennis Joseph","Jared Bingham",15,21
"philadelphia2023","Premier 5.0+","Pool","ya tu sabe","Water Boiz","Thomas Hoffman","David Gonzales","Rafi Moldovsky","Joel Morrell",21,23
"philadelphia2023","Premier 5.0+","Pool","The Prince","Fa(s)t 🧌","Maxime Prince","Samuel Prince","Joey Reynolds","Clifford Amadeo LeVeque",21,18
"philadelphia2023","Premier 5.0+","Pool","CRO Weather Nerfed","Jelly","Leonardo Tullo","Adrian Garcea","Joel Lapp","Micah Zimmerman",18,21
"philadelphia2023","Premier 5.0+","Pool","Homemade Dynamite ","Bev’d Up","Demitri Forand","Henry Pilliod","Sean Brown","Nate KT",21,15
"philadelphia2023","Premier 5.0+","Pool","Buchanan/Dantowitz","Yucky Duckies","John Buchanan","Ezra Dantowitz","alex stan","A.j. Martin",21,17
"philadelphia2023","Premier 5.0+","Pool","Eternal Atake","Global Citizens","Reid Lampert","Kurt Lannetti","Maxwell Gunneson","Connor Prelich",24,22
"philadelphia2023","Premier 5.0+","Pool","Carter/Ulrich","Gnarly ","Brody Ulrich","Mitchell Carter","Sam Mccune","Alex Newton",18,21
"philadelphia2023","Premier 5.0+","Pool","Sunday Special","Hot n Ready","Owen Bass","Peter Lu","Nick Evanko","Rendall Weaver",21,17
"philadelphia2023","Premier 5.0+","Pool","LL Unfinished Business","Asioneer","Josh DiDonato","Ryan Paul","CHOU PO-JUI","Jerry Lee",12,21
"philadelphia2023","Premier 5.0+","Pool","Rogue","Boat Carriers","Ryan Marino","Thomas Hamilton","Matthew Burrows","Brayden Latham",21,10
"philadelphia2023","Premier 5.0+","Pool","Cigar Boys","Critical Hit","Grant Laughlin","Dan Abrams","Justin Barr","Vincent Mathieu",19,21
"philadelphia2023","Premier 5.0+","Pool","Judgment Day","MIDDS","fredric hinkle","Gabriel Finocchi","Dawson Morgan","Caleb Cummings",25,24
"philadelphia2023","Premier 5.0+","Pool","TRP Mermaid Sparkle","Pantalons de pyj","Noah Luskus","Christian Bennett","Élie Pilon","Lou Paradis",21,18
"philadelphia2023","Premier 5.0+","Pool","TRP Spotless","Tube Steaks","Ryan Gross","Joe Bondi","Skyler Sebring","Emerson Dean",21,8
"philadelphia2023","Premier 5.0+","Pool","TRP Mammoth","Bot House","Ali Jenki","Clark Marshall","West Peterson","Owen Lippman",21,23
"philadelphia2023","Premier 5.0+","Pool","Bad Combo","Hilltop","Rahul Murthy","Will Picone","Cole Model","Max Model",21,17
"philadelphia2023","Premier 5.0+","Pool","Kingdom Come","Profit Boost","Grant Klapwijk","Matthew Cole","Justin Shaytar","Kieran Rose",21,19
"philadelphia2023","Premier 5.0+","Pool","Lazy","Nelson Mattdela","Cade Larson","Luke Marshall","Michael Nelson","Matthew Morelli",21,18
"philadelphia2023","Premier 5.0+","Pool","Death by a Thousand Cuts","Come and Go","Charles Tipton","Jake Goodnow","Jake Mottershead","Mike Garrett",15,21
"philadelphia2023","Premier 5.0+","Pool","What’s cooking good looking","Quick Draw","Ryan Baillargeon","Josh Fragiacomo","Pat Marinich","Caleb White",21,15
"philadelphia2023","Premier 5.0+","Pool","Ricky & Charles","Wills/Wilson","Charles Mordacq","Ricky Santiago","Nate Wilson","Grayson M  Wills",21,18
"philadelphia2023","Premier 5.0+","Pool","Autonomous","Do2","Tyler Fernandez","Chase Meyer","Spencer Argenna","David Rowlands",21,16
"philadelphia2023","Premier 5.0+","Pool","Meatballs","Griddy Guys","Joey Maichen","Lucas Pruett","Tim Lacagnina","Rob's Traveler",11,21
"philadelphia2023","Premier 5.0+","Pool","Jersey Boyz","High on Spike ","Corey Weiss","Matt Spolarich","Dalton Gilder","Brandon Stokes",21,14
"philadelphia2023","Premier 5.0+","Pool","Might Not Show","Meateerballs","Josh Hutko","Austin Ha","Connor Nelson","Javier Vidal",9,21
