"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","GWR Fat Free","Joe Bondi","Ryan Gross","Calvin Smith","A.j. Martin",21,9
"queencityclassic2023","Premier 5.0+","Pool","Bot House","Handy Andy’s","Owen Lippman","West Peterson","Andrew Gunter","Andrew Raber",20,22
"queencityclassic2023","Premier 5.0+","Pool","Chilly Boost","Bev’d Up","Trevor Clements 704trev","Kieran Rose","Sean Brown","Nate KT",21,18
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","YMCA","Grant Klapwijk","Matthew Cole","david seo","Carter Hodgson",21,9
"queencityclassic2023","Premier 5.0+","Pool","TRP Dolphin Dive","Eternal Atake","Christian Bennett","Coleman Epperson's","Reid Lampert","Kurt Lannetti",21,15
"queencityclassic2023","Premier 5.0+","Pool","GFD","Homemade Dynamite ","Justin Barr","Andrew Sullivan","Demitri Forand","Henry Pilliod",21,17
"queencityclassic2023","Premier 5.0+","Pool","Creamy","Zebra Caked","Ryan Marino","Patric Chu","John Buchanan","Samuel Davis",21,11
"queencityclassic2023","Premier 5.0+","Pool","F.F.","Almost Friday","Gabe Finocchi","Brendan Ferreira","Brian Perlson","Liam Sherron",21,16
"queencityclassic2023","Premier 5.0+","Pool","Evasive Maneuvers","Bunze/Bunze","Jenson Miller","Michael Barkman","Sam Bunze","Benjamin Bunze",21,16
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","Handy Andy’s","Joe Bondi","Ryan Gross","Andrew Gunter","Andrew Raber",21,14
"queencityclassic2023","Premier 5.0+","Pool","Bot House","Glitch","Owen Lippman","West Peterson","Luke Nickel","Cody Dryer",21,15
"queencityclassic2023","Premier 5.0+","Pool","Bev’d Up","GWR Fat Free","Sean Brown","Nate KT","Calvin Smith","A.j. Martin",21,15
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","Eternal Atake","Grant Klapwijk","Matthew Cole","Reid Lampert","Kurt Lannetti",18,21
"queencityclassic2023","Premier 5.0+","Pool","TRP Dolphin Dive","here to slay","Christian Bennett","Coleman Epperson's","bradley thompson","Dax O'Hair",21,19
"queencityclassic2023","Premier 5.0+","Pool","Homemade Dynamite ","YMCA","Demitri Forand","Henry Pilliod","david seo","Carter Hodgson",25,24
"queencityclassic2023","Premier 5.0+","Pool","Creamy","Almost Friday","Ryan Marino","Patric Chu","Brian Perlson","Liam Sherron",21,10
"queencityclassic2023","Premier 5.0+","Pool","F.F.","Project Roundnet","Gabe Finocchi","Brendan Ferreira","Samuel Corey","Josh Esposo",21,16
"queencityclassic2023","Premier 5.0+","Pool","Bunze/Bunze","Zebra Caked","Sam Bunze","Benjamin Bunze","John Buchanan","Samuel Davis",21,16
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","Bev’d Up","Joe Bondi","Ryan Gross","Sean Brown","Nate KT",21,13
"queencityclassic2023","Premier 5.0+","Pool","Bot House","Chilly Boost","Owen Lippman","West Peterson","Trevor Clements 704trev","Kieran Rose",18,21
"queencityclassic2023","Premier 5.0+","Pool","Glitch","Handy Andy’s","Luke Nickel","Cody Dryer","Andrew Gunter","Andrew Raber",24,25
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","Homemade Dynamite ","Grant Klapwijk","Matthew Cole","Demitri Forand","Henry Pilliod",21,15
"queencityclassic2023","Premier 5.0+","Pool","TRP Dolphin Dive","GFD","Christian Bennett","Coleman Epperson's","Justin Barr","Andrew Sullivan",16,21
"queencityclassic2023","Premier 5.0+","Pool","here to slay","Eternal Atake","bradley thompson","Dax O'Hair","Reid Lampert","Kurt Lannetti",17,21
"queencityclassic2023","Premier 5.0+","Pool","Creamy","Bunze/Bunze","Ryan Marino","Patric Chu","Sam Bunze","Benjamin Bunze",21,14
"queencityclassic2023","Premier 5.0+","Pool","F.F.","Evasive Maneuvers","Gabe Finocchi","Brendan Ferreira","Jenson Miller","Michael Barkman",21,15
"queencityclassic2023","Premier 5.0+","Pool","Project Roundnet","Almost Friday","Samuel Corey","Josh Esposo","Brian Perlson","Liam Sherron",21,19
"queencityclassic2023","Premier 5.0+","Pool","TRP Spotless","Glitch","Joe Bondi","Ryan Gross","Luke Nickel","Cody Dryer",21,16
"queencityclassic2023","Premier 5.0+","Pool","Bot House","GWR Fat Free","Owen Lippman","West Peterson","Calvin Smith","A.j. Martin",21,14
"queencityclassic2023","Premier 5.0+","Pool","Chilly Boost","Handy Andy’s","Trevor Clements 704trev","Kieran Rose","Andrew Gunter","Andrew Raber",19,21
"queencityclassic2023","Premier 5.0+","Pool","Kingdom Come","here to slay","Grant Klapwijk","Matthew Cole","bradley thompson","Dax O'Hair",21,12
"queencityclassic2023","Premier 5.0+","Pool","TRP Dolphin Dive","YMCA","Christian Bennett","Coleman Epperson's","david seo","Carter Hodgson",21,13
"queencityclassic2023","Premier 5.0+","Pool","GFD","Eternal Atake","Justin Barr","Andrew Sullivan","Reid Lampert","Kurt Lannetti",21,8
"queencityclassic2023","Premier 5.0+","Pool","Creamy","Project Roundnet","Ryan Marino","Patric Chu","Samuel Corey","Josh Esposo",21,11
"queencityclassic2023","Premier 5.0+","Pool","F.F.","Zebra Caked","Gabe Finocchi","Brendan Ferreira","John Buchanan","Samuel Davis",21,6
