"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"richmond2023","Premier 5.0+","Pool","Judgment Day","Glizzy Gladiators","Gabriel Finocchi","fredric hinkle","Jacob Summers","Polk Denmark",21,17
"richmond2023","Premier 5.0+","Pool","Rogue","WySpike Butterfingers","Thomas Hamilton","Ryan Marino","Garrett Hornok","Colton Mowry",21,12
"richmond2023","Premier 5.0+","Pool","Bad Combo","Trevor’s Teddy Bear","Rahul Murthy","Will Picone","Paq Clifford","Trevor Barbosa",21,13
"richmond2023","Premier 5.0+","Pool","Critical Hit","Kingdom Come","Vincent Mathieu","Justin Barr","Matthew Cole","Grant Klapwijk",22,20
"richmond2023","Premier 5.0+","Pool","Elixir","Quality Service","Etienne Cote","Noah Luskus","Andrew Kosche","Jacob Payer",21,11
"richmond2023","Premier 5.0+","Pool","Cigar Boys","Hilltop","Dan Abrams","Grant Laughlin","Cole Model","Max Model",22,20
"richmond2023","Premier 5.0+","Pool","A/B","Bot House","Kyle Ackermann","Christian Bennett","West Peterson","Owen Lippman",21,23
"richmond2023","Premier 5.0+","Pool","TRP Spotless","BD Energy","Ryan Gross","Joe Bondi","Brendan Ferreira","Dawson Morgan",19,21
"richmond2023","Premier 5.0+","Pool","Chilly Chillies","Spidey Sense","Trevor Clements 704trev","Sean Brown","Jack Dumouchel","William Glowacky",21,12
"richmond2023","Premier 5.0+","Pool","Shorter & Taller","Flying Clutchmen","Caleb Shorter","Andrew Sullivan","Sam Bunze","Zach Snover",21,18
"richmond2023","Premier 5.0+","Pool","Profit Boost","Jiddy","Justin Shaytar","Kieran Rose","Jacob Arzaga","Connor Reid",21,13
"richmond2023","Premier 5.0+","Pool","Jersey Boyz","Inarizaki ","Matt Spolarich","Corey Weiss","A.j. Martin","Alex Daly",21,19
"richmond2023","Premier 5.0+","Pool","ClubSpike Big Slick","All Gas No Brakes","Neal Bergman","Chris Wilkins","Josef Bekiranov","Nathaniel Hargrove",21,16
"richmond2023","Premier 5.0+","Pool","Limitless Faith","Brock Lesnar","Ethan Domster","Andrew Raber","James Mitchum","Caleb Brock",19,21
"richmond2023","Premier 5.0+","Pool","PRIME","Griddy Guys","Josh Weinbach","Andrew Christmas","Tim Lacagnina","Rob's Traveler",21,16
"richmond2023","Premier 5.0+","Pool","backpack","Beeks/Drake","Cade Larson","Nickhil Anantha","Tommy Drake","Scott Beeks",21,19
"richmond2023","Premier 5.0+","Pool","BorderLine","Free Point Dif","Kaleb Wagner","Trey Thompson","Michael Lin","Josh Hutko",21,16
"richmond2023","Premier 5.0+","Pool","Benny Boo & Jare Bear","SubZero","Ben Savage","Jared Beaufait","Zach Bender","Adam Porter",19,21
"richmond2023","Premier 5.0+","Pool","Evasive Maneuvers","Ilan’s older brothers","Jenson Miller","Michael Barkman","Adin Klassen","Luke Repass",21,16
"richmond2023","Premier 5.0+","Pool","Savage Mode 2","BOT Sons of Thunder","Benjamin Bunze","Nate KT","Brycen Patterson","Kade Janikula",21,16
"richmond2023","Premier 5.0+","Pool","Faulty Service","the Red House","Brayden Latham","Joe LaRuffa","Ian Timan","Matt Morelli",21,12
"richmond2023","Premier 5.0+","Pool","SOSD","The Diamond Dogs","Ezra Dantowitz","Brian Perlson","Bennett Anderson","Reid Pfutzenreuter",15,21
"richmond2023","Premier 5.0+","Pool","Bake and Shake","Come and Go","Matthew Burrows","David Gonzales","Jake Mottershead","Mike Garrett",22,20
"richmond2023","Premier 5.0+","Pool","sexy","Back2Basics","Vincent Bastrash","Élie Pilon","Connor Nelson","Joey Maichen",21,17
"richmond2023","Premier 5.0+","Pool","Chosen","@bperl1#3268","Caleb Cummings","Rendall Weaver","Noah Vasington","Nicolas Yabar",21,15
"richmond2023","Premier 5.0+","Pool","Sunday Special","CNU Dan Flashes","Owen Bass","Peter Lu","James Richmond","Calvin Smith",21,18
"richmond2023","Premier 5.0+","Pool","PruGu","Small Dawgz","Lucas Pruett","Sunny Gu","Nolan Marolf","Sam Mccune",21,15
"richmond2023","Premier 5.0+","Pool","Monmouth Spikes","Skill Gapped","Demitri Forand","Connor Prelich","Donavon Stell","Cole Maddox",22,24
"richmond2023","Premier 5.0+","Pool","Glitch","Walter White's Tighty Whities","Luke Nickel","Cody Dryer","Henry Pilliod","Aniket Matharasi",15,21
"richmond2023","Premier 5.0+","Pool","Collateral Damage","BYE","Andrew Gunter","Liam Sherron","Michael Capobianco","Brody Ulrich",21,9
"richmond2023","Premier 5.0+","Pool","Coast To Coast","Sick Nasty","Nick Wideman","Olivier Laurin","alex stan","Joel Lapp",21,18
"richmond2023","Premier 5.0+","Pool","Project Roundnet","White Lotus Roundnet","Samuel Corey","Josh Esposo","Ely Marciano","Mitchell Carter",21,16
"richmond2023","Premier 5.0+","Pool","Judgment Day","WySpike Butterfingers","Gabriel Finocchi","fredric hinkle","Garrett Hornok","Colton Mowry",21,12
"richmond2023","Premier 5.0+","Pool","Rogue","Glizzy Gladiators","Thomas Hamilton","Ryan Marino","Jacob Summers","Polk Denmark",21,14
"richmond2023","Premier 5.0+","Pool","Bad Combo","Kingdom Come","Rahul Murthy","Will Picone","Matthew Cole","Grant Klapwijk",19,21
"richmond2023","Premier 5.0+","Pool","Critical Hit","Trevor’s Teddy Bear","Vincent Mathieu","Justin Barr","Paq Clifford","Trevor Barbosa",18,21
"richmond2023","Premier 5.0+","Pool","Elixir","Hilltop","Etienne Cote","Noah Luskus","Cole Model","Max Model",21,18
"richmond2023","Premier 5.0+","Pool","Cigar Boys","Quality Service","Dan Abrams","Grant Laughlin","Andrew Kosche","Jacob Payer",21,17
"richmond2023","Premier 5.0+","Pool","A/B","BD Energy","Kyle Ackermann","Christian Bennett","Brendan Ferreira","Dawson Morgan",16,21
"richmond2023","Premier 5.0+","Pool","TRP Spotless","Bot House","Ryan Gross","Joe Bondi","West Peterson","Owen Lippman",21,14
"richmond2023","Premier 5.0+","Pool","Chilly Chillies","Flying Clutchmen","Trevor Clements 704trev","Sean Brown","Sam Bunze","Zach Snover",16,21
"richmond2023","Premier 5.0+","Pool","Shorter & Taller","Spidey Sense","Caleb Shorter","Andrew Sullivan","Jack Dumouchel","William Glowacky",21,15
"richmond2023","Premier 5.0+","Pool","Profit Boost","Inarizaki ","Justin Shaytar","Kieran Rose","A.j. Martin","Alex Daly",21,14
"richmond2023","Premier 5.0+","Pool","Jersey Boyz","Jiddy","Matt Spolarich","Corey Weiss","Jacob Arzaga","Connor Reid",21,19
"richmond2023","Premier 5.0+","Pool","ClubSpike Big Slick","Brock Lesnar","Neal Bergman","Chris Wilkins","James Mitchum","Caleb Brock",24,25
"richmond2023","Premier 5.0+","Pool","Limitless Faith","All Gas No Brakes","Ethan Domster","Andrew Raber","Josef Bekiranov","Nathaniel Hargrove",21,23
"richmond2023","Premier 5.0+","Pool","PRIME","Beeks/Drake","Josh Weinbach","Andrew Christmas","Tommy Drake","Scott Beeks",23,21
"richmond2023","Premier 5.0+","Pool","backpack","Griddy Guys","Cade Larson","Nickhil Anantha","Tim Lacagnina","Rob's Traveler",21,16
"richmond2023","Premier 5.0+","Pool","BorderLine","SubZero","Kaleb Wagner","Trey Thompson","Zach Bender","Adam Porter",21,13
"richmond2023","Premier 5.0+","Pool","Benny Boo & Jare Bear","Free Point Dif","Ben Savage","Jared Beaufait","Michael Lin","Josh Hutko",21,17
"richmond2023","Premier 5.0+","Pool","Evasive Maneuvers","BOT Sons of Thunder","Jenson Miller","Michael Barkman","Brycen Patterson","Kade Janikula",21,17
"richmond2023","Premier 5.0+","Pool","Savage Mode 2","Ilan’s older brothers","Benjamin Bunze","Nate KT","Adin Klassen","Luke Repass",22,20
"richmond2023","Premier 5.0+","Pool","Faulty Service","The Diamond Dogs","Brayden Latham","Joe LaRuffa","Bennett Anderson","Reid Pfutzenreuter",21,15
"richmond2023","Premier 5.0+","Pool","SOSD","the Red House","Ezra Dantowitz","Brian Perlson","Ian Timan","Matt Morelli",21,15
