"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"saltlakecity2023","Premier 5.0+","Pool","Judgment Day","Morgan/Mowry","fredric hinkle","Gabriel Finocchi","Dawson Morgan","Luke Mowry",21,16
"saltlakecity2023","Premier 5.0+","Pool","Bad Combo","TRP Mermaid Sparkle","Rahul Murthy","Will Picone","Noah Luskus","Christian Bennett",21,17
"saltlakecity2023","Premier 5.0+","Pool","Assistive Touch","Cigar Boys","Clark Marshall","Buddy Hammon","Grant Laughlin","Dan Abrams",21,17
"saltlakecity2023","Premier 5.0+","Pool","TRP Spotless","Insystem","Joe Bondi","Ryan Gross","Blake Bosak","Etienne Cote",18,21
"saltlakecity2023","Premier 5.0+","Pool","TRP Moneyline","Lanky and Clanky","Ryder Rivadeneyra","Matthew Cole","Grant Gouger","Jesse Lehn",21,13
"saltlakecity2023","Premier 5.0+","Pool","Edgerunners","here to slay","Chase Meyer","Clifton Miller","Dax O'Hair","bradley thompson",17,21
"saltlakecity2023","Premier 5.0+","Pool","Not.Ok","Moon Boys","Xande Plaisted","Anthony Clifford","Jordan Freitas","Conner Bradshaw",21,19
"saltlakecity2023","Premier 5.0+","Pool","Native Texans","Hot‘n‘cold","Dylan Bricker","Grayson M  Wills","Trent Alderfer","Cody Brower",19,21
"saltlakecity2023","Premier 5.0+","Pool","Quality Service","Teenage Dirtbags","Jacob Payer","Andrew Kosche","Taylor Sanford","Kannon Forbush",21,18
"saltlakecity2023","Premier 5.0+","Pool","NK.","BenDu Over","kevin um","Nick Wideman","Michael Du","Benjamin Banuelos",13,21
"saltlakecity2023","Premier 5.0+","Pool","WySpike Synergy","Burqueños","Matthew Burrows","Nick Noguez","Luke Freimanis","Daniel Blodgett",21,10
"saltlakecity2023","Premier 5.0+","Pool","Ball Blasters","Dialed","David Gonzales","Rendall Weaver","Luke Pennington","Josh Cain",16,21
"saltlakecity2023","Premier 5.0+","Pool","Profit Boost","Last Place","Justin Shaytar","Kieran Rose","Ben Arauzo","Zayne Shields",21,17
"saltlakecity2023","Premier 5.0+","Pool","Jersey Boyz","Goblin giant","Corey Weiss","Matt Spolarich","Kyan Kornfeld","Nickhil Anantha",18,21
"saltlakecity2023","Premier 5.0+","Pool","Lazy","Charlie and the Chocolate Factory","Luke Marshall","Cade Larson","David Mitchell","Charlie Camarena",21,13
"saltlakecity2023","Premier 5.0+","Pool","Sawtooth Spikers","Royal Flush","Thomas Maloney","Dennis Joseph","Bryant Karratti","Jake LeBaron",17,21
"saltlakecity2023","Premier 5.0+","Pool","Depression, Cheez-Its, and Cargo Shorts","Happenstance ","Taylor Church","Garrett Carver","Jalen Butkus","John Hickmott",21,18
"saltlakecity2023","Premier 5.0+","Pool","Big Dawgs","Hit Ball Hard","Caleb Cummings","Tyler Fernandez","Adam Porter","Garrett Ashton",21,17
"saltlakecity2023","Premier 5.0+","Pool","Chelsea United","Couldn't Carry less","Josh Fragiacomo","Ethan Zehr","Slade Warner","Arrow Griner",21,16
"saltlakecity2023","Premier 5.0+","Pool","BorderLine","Disordered","Kaleb Wagner","Trey Thompson","Solomon Berry","Andrew Greer",18,21
"saltlakecity2023","Premier 5.0+","Pool","Judgment Day","TRP Mermaid Sparkle","fredric hinkle","Gabriel Finocchi","Noah Luskus","Christian Bennett",21,19
"saltlakecity2023","Premier 5.0+","Pool","Bad Combo","Morgan/Mowry","Rahul Murthy","Will Picone","Dawson Morgan","Luke Mowry",16,21
"saltlakecity2023","Premier 5.0+","Pool","Assistive Touch","Insystem","Clark Marshall","Buddy Hammon","Blake Bosak","Etienne Cote",14,21
"saltlakecity2023","Premier 5.0+","Pool","TRP Spotless","Cigar Boys","Joe Bondi","Ryan Gross","Grant Laughlin","Dan Abrams",21,19
"saltlakecity2023","Premier 5.0+","Pool","TRP Moneyline","here to slay","Ryder Rivadeneyra","Matthew Cole","Dax O'Hair","bradley thompson",21,11
"saltlakecity2023","Premier 5.0+","Pool","Edgerunners","Lanky and Clanky","Chase Meyer","Clifton Miller","Grant Gouger","Jesse Lehn",23,21
"saltlakecity2023","Premier 5.0+","Pool","Not.Ok","Hot‘n‘cold","Xande Plaisted","Anthony Clifford","Trent Alderfer","Cody Brower",21,13
"saltlakecity2023","Premier 5.0+","Pool","Native Texans","Moon Boys","Dylan Bricker","Grayson M  Wills","Jordan Freitas","Conner Bradshaw",21,18
"saltlakecity2023","Premier 5.0+","Pool","Quality Service","BenDu Over","Jacob Payer","Andrew Kosche","Michael Du","Benjamin Banuelos",22,20
"saltlakecity2023","Premier 5.0+","Pool","NK.","Teenage Dirtbags","kevin um","Nick Wideman","Taylor Sanford","Kannon Forbush",21,16
"saltlakecity2023","Premier 5.0+","Pool","WySpike Synergy","Dialed","Matthew Burrows","Nick Noguez","Luke Pennington","Josh Cain",20,22
"saltlakecity2023","Premier 5.0+","Pool","Ball Blasters","Burqueños","David Gonzales","Rendall Weaver","Luke Freimanis","Daniel Blodgett",21,11
"saltlakecity2023","Premier 5.0+","Pool","Profit Boost","Goblin giant","Justin Shaytar","Kieran Rose","Kyan Kornfeld","Nickhil Anantha",22,20
"saltlakecity2023","Premier 5.0+","Pool","Jersey Boyz","Last Place","Corey Weiss","Matt Spolarich","Ben Arauzo","Zayne Shields",21,17
"saltlakecity2023","Premier 5.0+","Pool","Lazy","Royal Flush","Luke Marshall","Cade Larson","Bryant Karratti","Jake LeBaron",21,17
"saltlakecity2023","Premier 5.0+","Pool","Sawtooth Spikers","Charlie and the Chocolate Factory","Thomas Maloney","Dennis Joseph","David Mitchell","Charlie Camarena",21,19
"saltlakecity2023","Premier 5.0+","Pool","Depression, Cheez-Its, and Cargo Shorts","Hit Ball Hard","Taylor Church","Garrett Carver","Adam Porter","Garrett Ashton",21,16
"saltlakecity2023","Premier 5.0+","Pool","Big Dawgs","Happenstance ","Caleb Cummings","Tyler Fernandez","Jalen Butkus","John Hickmott",21,7
"saltlakecity2023","Premier 5.0+","Pool","Chelsea United","Disordered","Josh Fragiacomo","Ethan Zehr","Solomon Berry","Andrew Greer",25,23
"saltlakecity2023","Premier 5.0+","Pool","BorderLine","Couldn't Carry less","Kaleb Wagner","Trey Thompson","Slade Warner","Arrow Griner",21,18
"saltlakecity2023","Premier 5.0+","Pool","Judgment Day","Bad Combo","fredric hinkle","Gabriel Finocchi","Rahul Murthy","Will Picone",21,19
"saltlakecity2023","Premier 5.0+","Pool","TRP Mermaid Sparkle","Morgan/Mowry","Noah Luskus","Christian Bennett","Dawson Morgan","Luke Mowry",21,18
"saltlakecity2023","Premier 5.0+","Pool","Assistive Touch","TRP Spotless","Clark Marshall","Buddy Hammon","Joe Bondi","Ryan Gross",15,21
"saltlakecity2023","Premier 5.0+","Pool","Insystem","Cigar Boys","Blake Bosak","Etienne Cote","Grant Laughlin","Dan Abrams",21,17
"saltlakecity2023","Premier 5.0+","Pool","TRP Moneyline","Edgerunners","Ryder Rivadeneyra","Matthew Cole","Chase Meyer","Clifton Miller",21,13
"saltlakecity2023","Premier 5.0+","Pool","here to slay","Lanky and Clanky","Dax O'Hair","bradley thompson","Grant Gouger","Jesse Lehn",17,21
"saltlakecity2023","Premier 5.0+","Pool","Not.Ok","Native Texans","Xande Plaisted","Anthony Clifford","Dylan Bricker","Grayson M  Wills",21,15
"saltlakecity2023","Premier 5.0+","Pool","Hot‘n‘cold","Moon Boys","Trent Alderfer","Cody Brower","Jordan Freitas","Conner Bradshaw",15,21
"saltlakecity2023","Premier 5.0+","Pool","Quality Service","NK.","Jacob Payer","Andrew Kosche","kevin um","Nick Wideman",21,16
"saltlakecity2023","Premier 5.0+","Pool","BenDu Over","Teenage Dirtbags","Michael Du","Benjamin Banuelos","Taylor Sanford","Kannon Forbush",21,15
"saltlakecity2023","Premier 5.0+","Pool","WySpike Synergy","Ball Blasters","Matthew Burrows","Nick Noguez","David Gonzales","Rendall Weaver",25,24
"saltlakecity2023","Premier 5.0+","Pool","Dialed","Burqueños","Luke Pennington","Josh Cain","Luke Freimanis","Daniel Blodgett",21,14
"saltlakecity2023","Premier 5.0+","Pool","Profit Boost","Jersey Boyz","Justin Shaytar","Kieran Rose","Corey Weiss","Matt Spolarich",21,17
"saltlakecity2023","Premier 5.0+","Pool","Goblin giant","Last Place","Kyan Kornfeld","Nickhil Anantha","Ben Arauzo","Zayne Shields",21,17
"saltlakecity2023","Premier 5.0+","Pool","Lazy","Sawtooth Spikers","Luke Marshall","Cade Larson","Thomas Maloney","Dennis Joseph",21,9
"saltlakecity2023","Premier 5.0+","Pool","Royal Flush","Charlie and the Chocolate Factory","Bryant Karratti","Jake LeBaron","David Mitchell","Charlie Camarena",17,21
"saltlakecity2023","Premier 5.0+","Pool","Depression, Cheez-Its, and Cargo Shorts","Big Dawgs","Taylor Church","Garrett Carver","Caleb Cummings","Tyler Fernandez",19,21
"saltlakecity2023","Premier 5.0+","Pool","Hit Ball Hard","Happenstance ","Adam Porter","Garrett Ashton","Jalen Butkus","John Hickmott",21,15
"saltlakecity2023","Premier 5.0+","Pool","Chelsea United","BorderLine","Josh Fragiacomo","Ethan Zehr","Kaleb Wagner","Trey Thompson",17,21
"saltlakecity2023","Premier 5.0+","Pool","Disordered","Couldn't Carry less","Solomon Berry","Andrew Greer","Slade Warner","Arrow Griner",21,13
"saltlakecity2023","Premier 5.0+","Pool","Judgment Day","Morgan/Mowry","fredric hinkle","Gabriel Finocchi","Dawson Morgan","Luke Mowry",21,10
"saltlakecity2023","Premier 5.0+","Pool","Bad Combo","TRP Mermaid Sparkle","Rahul Murthy","Will Picone","Noah Luskus","Christian Bennett",21,17
"saltlakecity2023","Premier 5.0+","Pool","Assistive Touch","Cigar Boys","Clark Marshall","Buddy Hammon","Grant Laughlin","Dan Abrams",23,21
"saltlakecity2023","Premier 5.0+","Pool","TRP Spotless","Insystem","Joe Bondi","Ryan Gross","Blake Bosak","Etienne Cote",21,17
"saltlakecity2023","Premier 5.0+","Pool","TRP Moneyline","Lanky and Clanky","Ryder Rivadeneyra","Matthew Cole","Grant Gouger","Jesse Lehn",21,17
"saltlakecity2023","Premier 5.0+","Pool","Edgerunners","here to slay","Chase Meyer","Clifton Miller","Dax O'Hair","bradley thompson",19,21
"saltlakecity2023","Premier 5.0+","Pool","Not.Ok","Moon Boys","Xande Plaisted","Anthony Clifford","Jordan Freitas","Conner Bradshaw",21,10
"saltlakecity2023","Premier 5.0+","Pool","Native Texans","Hot‘n‘cold","Dylan Bricker","Grayson M  Wills","Trent Alderfer","Cody Brower",21,18
"saltlakecity2023","Premier 5.0+","Pool","Quality Service","Teenage Dirtbags","Jacob Payer","Andrew Kosche","Taylor Sanford","Kannon Forbush",22,20
