"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"scgrandslam2023","Expert 5.0+","Pool","Insystem","AZR Spinrates","Blake Bosak","Etienne Cote","David Mitchell","Jackson Blackburn",21,9
"scgrandslam2023","Expert 5.0+","Pool","Rowdy","Arrow’s Assless Chaps","Ryan Oswalt","Trevor Barbosa","Schon Siguenza","Garrett Meredith",21,16
"scgrandslam2023","Expert 5.0+","Pool","Bad Combo","Dive Hard","Will Picone","Rahul Murthy","Cole Sanchez","Nolan Wynkoop",21,10
"scgrandslam2023","Expert 5.0+","Pool","The Rule of two","Misclick","Malachi Espinola","Zack Duffy","Tim Gaskin","Charlie Camarena",21,15
"scgrandslam2023","Expert 5.0+","Pool","TRP Fleet Footwork","Top of the Hill","Ethan McWhirter","Matthew Burrows","Benjamin Bunze","Jake Oxendine",21,12
"scgrandslam2023","Expert 5.0+","Pool","Nutted on 875","come to brazil","Brandon Brown","fredric hinkle","Max Huang","Alec Galbo",21,16
"scgrandslam2023","Expert 5.0+","Pool","BorderLine","no idea","Kaleb Wagner","Trey Thompson","Quinn Hufler","tucker judkins",25,24
"scgrandslam2023","Expert 5.0+","Pool","Dialed","Arch Enemies","Luke Pennington","Josh Cain","Franz Castillo","Ryan McCargar",21,18
"scgrandslam2023","Expert 5.0+","Pool","Musty","Blanco Fuego","Jacob Payer","Samuel Buckman","Joseph Kaylor","Jake Babbitt",21,18
"scgrandslam2023","Expert 5.0+","Pool","Laziest","Quinn's Exes","Cade Larson","kevin um","Dylan Medveal","Jack Stinson",21,19
"scgrandslam2023","Expert 5.0+","Pool","Screenagers","SIUUUUUUUUUUUUUUUUU","Lucas Pruett","Warner Curtis","Cory Chilton","Kyan Kornfeld",19,21
"scgrandslam2023","Expert 5.0+","Pool","Paq’s delinquent children","Don’t Care","Xande Plaisted","Garrett Carver","James Lamkin","Jake Woolley",21,17
"scgrandslam2023","Expert 5.0+","Pool","Chupacabra","Beach Bums","Kieran Rose","Tyler Fernandez","Sasha Mariniuk","Ryan Leong",21,19
"scgrandslam2023","Expert 5.0+","Pool","Fractal Spikes","Built Different","Michael Du","Connor Nelson","Arrow Griner","David Gonzales",21,13
"scgrandslam2023","Expert 5.0+","Pool","Insystem","Arrow’s Assless Chaps","Blake Bosak","Etienne Cote","Schon Siguenza","Garrett Meredith",21,12
"scgrandslam2023","Expert 5.0+","Pool","Ask Nick to do the WAP","AZR Spinrates","Nick Wideman","Grayson M  Wills","David Mitchell","Jackson Blackburn",21,17
"scgrandslam2023","Expert 5.0+","Pool","Bad Combo","Misclick","Will Picone","Rahul Murthy","Tim Gaskin","Charlie Camarena",21,17
"scgrandslam2023","Expert 5.0+","Pool","The Rule of two","TRP Fleet Footwork","Malachi Espinola","Zack Duffy","Ethan McWhirter","Matthew Burrows",21,18
"scgrandslam2023","Expert 5.0+","Pool","Top of the Hill","Dive Hard","Benjamin Bunze","Jake Oxendine","Cole Sanchez","Nolan Wynkoop",21,17
"scgrandslam2023","Expert 5.0+","Pool","Nutted on 875","no idea","Brandon Brown","fredric hinkle","Quinn Hufler","tucker judkins",21,18
"scgrandslam2023","Expert 5.0+","Pool","BorderLine","Dialed","Kaleb Wagner","Trey Thompson","Luke Pennington","Josh Cain",17,21
"scgrandslam2023","Expert 5.0+","Pool","Arch Enemies","come to brazil","Franz Castillo","Ryan McCargar","Max Huang","Alec Galbo",21,13
"scgrandslam2023","Expert 5.0+","Pool","Musty","Quinn's Exes","Jacob Payer","Samuel Buckman","Dylan Medveal","Jack Stinson",21,15
"scgrandslam2023","Expert 5.0+","Pool","Laziest","Screenagers","Cade Larson","kevin um","Lucas Pruett","Warner Curtis",19,21
"scgrandslam2023","Expert 5.0+","Pool","SIUUUUUUUUUUUUUUUUU","Blanco Fuego","Cory Chilton","Kyan Kornfeld","Joseph Kaylor","Jake Babbitt",18,21
"scgrandslam2023","Expert 5.0+","Pool","Paq’s delinquent children","Beach Bums","Xande Plaisted","Garrett Carver","Sasha Mariniuk","Ryan Leong",21,15
"scgrandslam2023","Expert 5.0+","Pool","Chupacabra","Fractal Spikes","Kieran Rose","Tyler Fernandez","Michael Du","Connor Nelson",22,20
"scgrandslam2023","Expert 5.0+","Pool","Built Different","Don’t Care","Arrow Griner","David Gonzales","James Lamkin","Jake Woolley",12,21
"scgrandslam2023","Expert 5.0+","Pool","Insystem","Ask Nick to do the WAP","Blake Bosak","Etienne Cote","Nick Wideman","Grayson M  Wills",21,14
"scgrandslam2023","Expert 5.0+","Pool","Rowdy","AZR Spinrates","Ryan Oswalt","Trevor Barbosa","David Mitchell","Jackson Blackburn",22,20
"scgrandslam2023","Expert 5.0+","Pool","Bad Combo","Top of the Hill","Will Picone","Rahul Murthy","Benjamin Bunze","Jake Oxendine",21,8
"scgrandslam2023","Expert 5.0+","Pool","The Rule of two","Dive Hard","Malachi Espinola","Zack Duffy","Cole Sanchez","Nolan Wynkoop",21,12
"scgrandslam2023","Expert 5.0+","Pool","TRP Fleet Footwork","Misclick","Ethan McWhirter","Matthew Burrows","Tim Gaskin","Charlie Camarena",21,17
"scgrandslam2023","Expert 5.0+","Pool","Nutted on 875","Arch Enemies","Brandon Brown","fredric hinkle","Franz Castillo","Ryan McCargar",21,17
"scgrandslam2023","Expert 5.0+","Pool","BorderLine","come to brazil","Kaleb Wagner","Trey Thompson","Max Huang","Alec Galbo",21,13
"scgrandslam2023","Expert 5.0+","Pool","Dialed","no idea","Luke Pennington","Josh Cain","Quinn Hufler","tucker judkins",21,15
"scgrandslam2023","Expert 5.0+","Pool","Musty","SIUUUUUUUUUUUUUUUUU","Jacob Payer","Samuel Buckman","Cory Chilton","Kyan Kornfeld",22,24
"scgrandslam2023","Expert 5.0+","Pool","Laziest","Blanco Fuego","Cade Larson","kevin um","Joseph Kaylor","Jake Babbitt",21,16
"scgrandslam2023","Expert 5.0+","Pool","Screenagers","Quinn's Exes","Lucas Pruett","Warner Curtis","Dylan Medveal","Jack Stinson",29,27
"scgrandslam2023","Expert 5.0+","Pool","Paq’s delinquent children","Built Different","Xande Plaisted","Garrett Carver","Arrow Griner","David Gonzales",21,13
"scgrandslam2023","Expert 5.0+","Pool","Chupacabra","Don’t Care","Kieran Rose","Tyler Fernandez","James Lamkin","Jake Woolley",21,16
"scgrandslam2023","Expert 5.0+","Pool","Fractal Spikes","Beach Bums","Michael Du","Connor Nelson","Sasha Mariniuk","Ryan Leong",21,17
"scgrandslam2023","Expert 5.0+","Pool","Rowdy","Ask Nick to do the WAP","Ryan Oswalt","Trevor Barbosa","Nick Wideman","Grayson M  Wills",23,21
"scgrandslam2023","Expert 5.0+","Pool","Arrow’s Assless Chaps","AZR Spinrates","Schon Siguenza","Garrett Meredith","David Mitchell","Jackson Blackburn",19,21
"scgrandslam2023","Expert 5.0+","Pool","Bad Combo","TRP Fleet Footwork","Will Picone","Rahul Murthy","Ethan McWhirter","Matthew Burrows",21,11
"scgrandslam2023","Expert 5.0+","Pool","The Rule of two","Top of the Hill","Malachi Espinola","Zack Duffy","Benjamin Bunze","Jake Oxendine",21,12
"scgrandslam2023","Expert 5.0+","Pool","Misclick","Dive Hard","Tim Gaskin","Charlie Camarena","Cole Sanchez","Nolan Wynkoop",21,19
"scgrandslam2023","Expert 5.0+","Pool","Nutted on 875","Dialed","Brandon Brown","fredric hinkle","Luke Pennington","Josh Cain",21,19
