"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sdgrandslam2023","Expert 5.0+","Pool","Bad Combo","CARL Baddie Combo","Rahul Murthy","Will Picone","Rafi Moldovsky","Arrow Griner",21,4
"sdgrandslam2023","Expert 5.0+","Pool","Psych","Babbitt/Wynkoop","Josh Fragiacomo","Jacob Payer","Jake Babbitt","Nolan Wynkoop",21,23
"sdgrandslam2023","Expert 5.0+","Pool","TRP Alpha & Beta","Hufko","fredric hinkle","kevin um","Quinn Hufler","Josh Hutko",21,15
"sdgrandslam2023","Expert 5.0+","Pool","Beach Waffle","Baron and the Krug","Caleb Cummings","Matthew Burrows","John Choi","Jake LeBaron",21,16
"sdgrandslam2023","Expert 5.0+","Pool","Baddest Combo","LamBo","Michael Hsu","Ryder Rivadeneyra","James Lamkin","Alec Galbo",21,13
"sdgrandslam2023","Expert 5.0+","Pool","The Veterans","Friends of OC","Samuel Buckman","Jason Rhoads","Drew Cummins","Clifton Miller",21,19
"sdgrandslam2023","Expert 5.0+","Pool","Beaver Eaters","ripcord","Buddy Hammon","Marlon Fleming","Max Huang","Jake Martha",21,19
"sdgrandslam2023","Expert 5.0+","Pool","The Clean Crew","Texas Blows","Brandon Brown","Andrew Kosche","Luis Orozco","Dean Wasil",21,18
"sdgrandslam2023","Expert 5.0+","Pool","Cigar Boys","Placeholder","Grant Laughlin","Dan Abrams","Rich Tarpey","Nicolas Yabar",21,12
"sdgrandslam2023","Expert 5.0+","Pool","Lazy","Chomar","Cade Larson","Luke Marshall","Jacob Martinez","David Gonzales",21,15
"sdgrandslam2023","Expert 5.0+","Pool","Etienne/Eddy","American Spikers","Eddy Leung","Etienne Cote","Alex Hart (ASL)","Harold Mancia",21,8
"sdgrandslam2023","Expert 5.0+","Pool","PNDubs","High Guys","Malachi Espinola","Austin Rawlings","Trevor Slaughter","Davis Jung",21,18
"sdgrandslam2023","Expert 5.0+","Pool","Quantum State Koalas","Bricklayers","Schon Siguenza","Ethan Zehr","Garrett Ashton","Dylan Bricker",18,21
"sdgrandslam2023","Expert 5.0+","Pool","Bad Combo","Babbitt/Wynkoop","Rahul Murthy","Will Picone","Jake Babbitt","Nolan Wynkoop",21,7
