"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"sts23portlandopen","Premier 5.0+","Pool","Insystem","Slaughter Bros","Etienne Cote","Blake Bosak","Trevor Slaughter","Ryan Slaughter",21,10
"sts23portlandopen","Premier 5.0+","Pool","Dialed","American Spikers","Luke Pennington","Josh Cain","Alex Hart (ASL)","Jake Martha",21,18
"sts23portlandopen","Premier 5.0+","Pool","BorderLine","Flashbang ","Kaleb Wagner","Trey Thompson","Joseph Kaylor","Erik Faeustle",21,18
"sts23portlandopen","Premier 5.0+","Pool","Profit Boost","Angry Goats 🐐","Kieran Rose","Justin Shaytar","Carlin Vicera","Justin Cho",21,15
"sts23portlandopen","Premier 5.0+","Pool","The Rule of two","Bradshaw/Cho","Malachi Espinola","Zack Duffy","Conner Bradshaw","Ryan Cho",21,19
"sts23portlandopen","Premier 5.0+","Pool","Wideman/Christmas","Definitely High","Andrew Christmas","Nick Wideman","Jake Babbitt","Davis Jung",21,18
"sts23portlandopen","Premier 5.0+","Pool","Sub Par","Never giving you my stickers","Jacob Payer","Brandon Brown","Joshua Travis","Jason Small",21,13
"sts23portlandopen","Premier 5.0+","Pool","TBR Michael Jeff Probst","Baked Goods","Austin Rawlings","Solomon Berry","Lucas Banks","Noah Saddik",21,18
"sts23portlandopen","Premier 5.0+","Pool","Faze up","Foote Fetish","Paq Clifford","Brooks Massey","Nolan Wynkoop","Jake Woolley",21,14
"sts23portlandopen","Premier 5.0+","Pool","Insystem","American Spikers","Etienne Cote","Blake Bosak","Alex Hart (ASL)","Jake Martha",21,14
"sts23portlandopen","Premier 5.0+","Pool","Dialed","We dont want to win","Luke Pennington","Josh Cain","Ryan McCargar","Jackson Blackburn",18,21
"sts23portlandopen","Premier 5.0+","Pool","Flashbang ","Slaughter Bros","Joseph Kaylor","Erik Faeustle","Trevor Slaughter","Ryan Slaughter",19,21
"sts23portlandopen","Premier 5.0+","Pool","Profit Boost","Bradshaw/Cho","Kieran Rose","Justin Shaytar","Conner Bradshaw","Ryan Cho",21,11
"sts23portlandopen","Premier 5.0+","Pool","The Rule of two","Wesburn","Malachi Espinola","Zack Duffy","Ivan Zeng","Eddy Leung",19,21
"sts23portlandopen","Premier 5.0+","Pool","Definitely High","Angry Goats 🐐","Jake Babbitt","Davis Jung","Carlin Vicera","Justin Cho",21,17
