"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"tasr-houston-major","Gold 5.0","Pool","Cerebral Drizzle","Hash Slinging Slashers","Matthew Burrows","Brian Childs","Paul Belton","Walter Siller",21,15
"tasr-houston-major","Gold 5.0","Pool","Pink Lemonade","Fajita Rita","Nathan Garcia","AJ Hutchinson","James Ledbetter","Josiah Sanders",14,21
"tasr-houston-major","Gold 5.0","Pool","Heroes and Villains","New Cut","Tyler Fernandez","Andrew Christmas","David Z","Hayden Woolard",21,10
"tasr-houston-major","Gold 5.0","Pool","nap","Rice Cakes","Caleb Cummings","Nickhil Anantha","JP Chincuanco","Owen Lynch",21,14
"tasr-houston-major","Gold 5.0","Pool","Single Clutch","chips and salsa","Rahul Murthy","Grayson M  Wills","Andrew Yager","",21,18
"tasr-houston-major","Gold 5.0","Pool","The WySpiker and the Wannabe","6 Paths","Brandon Arledge","Luke Mowry","Isaac Bozarth","Iason Hayes",21,17
"tasr-houston-major","Gold 5.0","Pool","Cerebral Drizzle","Fajita Rita","Matthew Burrows","Brian Childs","James Ledbetter","Josiah Sanders",21,15
"tasr-houston-major","Gold 5.0","Pool","Dax and worse Dax","Hash Slinging Slashers","Dax O'Hair","Ian Austin","Paul Belton","Walter Siller",21,12
"tasr-houston-major","Gold 5.0","Pool","Heroes and Villains","Rice Cakes","Tyler Fernandez","Andrew Christmas","JP Chincuanco","Owen Lynch",21,15
"tasr-houston-major","Gold 5.0","Pool","Toxic Babblers ","New Cut","Jonathan Burer","Garrett Ashton","David Z","Hayden Woolard",21,13
"tasr-houston-major","Gold 5.0","Pool","Single Clutch","6 Paths","Rahul Murthy","Grayson M  Wills","Isaac Bozarth","Iason Hayes",21,16
"tasr-houston-major","Gold 5.0","Pool","Yucky","chips and salsa","Felipe Martinez","kevin cadle","Andrew Yager","",16,21
"tasr-houston-major","Gold 5.0","Pool","Cerebral Drizzle","Dax and worse Dax","Matthew Burrows","Brian Childs","Dax O'Hair","Ian Austin",21,15
"tasr-houston-major","Gold 5.0","Pool","Pink Lemonade","Hash Slinging Slashers","Nathan Garcia","AJ Hutchinson","Paul Belton","Walter Siller",21,15
"tasr-houston-major","Gold 5.0","Pool","Heroes and Villains","Toxic Babblers ","Tyler Fernandez","Andrew Christmas","Jonathan Burer","Garrett Ashton",21,15
"tasr-houston-major","Gold 5.0","Pool","nap","New Cut","Caleb Cummings","Nickhil Anantha","David Z","Hayden Woolard",21,13
"tasr-houston-major","Gold 5.0","Pool","Single Clutch","Yucky","Rahul Murthy","Grayson M  Wills","Felipe Martinez","kevin cadle",21,15
"tasr-houston-major","Gold 5.0","Pool","The WySpiker and the Wannabe","chips and salsa","Brandon Arledge","Luke Mowry","Andrew Yager","",21,18
"tasr-houston-major","Gold 5.0","Pool","Pink Lemonade","Dax and worse Dax","Nathan Garcia","AJ Hutchinson","Dax O'Hair","Ian Austin",19,21
"tasr-houston-major","Gold 5.0","Pool","Fajita Rita","Hash Slinging Slashers","James Ledbetter","Josiah Sanders","Paul Belton","Walter Siller",13,21
"tasr-houston-major","Gold 5.0","Pool","nap","Toxic Babblers ","Caleb Cummings","Nickhil Anantha","Jonathan Burer","Garrett Ashton",21,19
"tasr-houston-major","Gold 5.0","Pool","Rice Cakes","New Cut","JP Chincuanco","Owen Lynch","David Z","Hayden Woolard",21,11
"tasr-houston-major","Gold 5.0","Pool","The WySpiker and the Wannabe","Yucky","Brandon Arledge","Luke Mowry","Felipe Martinez","kevin cadle",21,12
"tasr-houston-major","Gold 5.0","Pool","6 Paths","chips and salsa","Isaac Bozarth","Iason Hayes","Andrew Yager","",18,21
"tasr-houston-major","Gold 5.0","Pool","Cerebral Drizzle","Pink Lemonade","Matthew Burrows","Brian Childs","Nathan Garcia","AJ Hutchinson",21,15
"tasr-houston-major","Gold 5.0","Pool","Dax and worse Dax","Fajita Rita","Dax O'Hair","Ian Austin","James Ledbetter","Josiah Sanders",21,17
"tasr-houston-major","Gold 5.0","Pool","Heroes and Villains","nap","Tyler Fernandez","Andrew Christmas","Caleb Cummings","Nickhil Anantha",18,21
"tasr-houston-major","Gold 5.0","Pool","Toxic Babblers ","Rice Cakes","Jonathan Burer","Garrett Ashton","JP Chincuanco","Owen Lynch",20,22
"tasr-houston-major","Gold 5.0","Pool","Single Clutch","The WySpiker and the Wannabe","Rahul Murthy","Grayson M  Wills","Brandon Arledge","Luke Mowry",21,18
"tasr-houston-major","Gold 5.0","Pool","Yucky","6 Paths","Felipe Martinez","kevin cadle","Isaac Bozarth","Iason Hayes",21,15
"tasr-houston-major","Gold 5.0","Round of 16","nap","New Cut","Caleb Cummings","Nickhil Anantha","David Z","Hayden Woolard",1,0
"tasr-houston-major","Gold 5.0","Round of 16","nap","New Cut","Caleb Cummings","Nickhil Anantha","David Z","Hayden Woolard",1,0
"tasr-houston-major","Gold 5.0","Round of 16","Single Clutch","6 Paths","Rahul Murthy","Grayson M  Wills","Isaac Bozarth","Iason Hayes",21,16
"tasr-houston-major","Gold 5.0","Round of 16","Single Clutch","6 Paths","Rahul Murthy","Grayson M  Wills","Isaac Bozarth","Iason Hayes",21,16
"tasr-houston-major","Gold 5.0","Round of 16","Heroes and Villains","Yucky","Tyler Fernandez","Andrew Christmas","Felipe Martinez","kevin cadle",1,0
"tasr-houston-major","Gold 5.0","Round of 16","Heroes and Villains","Yucky","Tyler Fernandez","Andrew Christmas","Felipe Martinez","kevin cadle",0,1
"tasr-houston-major","Gold 5.0","Round of 16","Heroes and Villains","Yucky","Tyler Fernandez","Andrew Christmas","Felipe Martinez","kevin cadle",1,0
"tasr-houston-major","Gold 5.0","Round of 16","The WySpiker and the Wannabe","Hash Slinging Slashers","Brandon Arledge","Luke Mowry","Paul Belton","Walter Siller",1,0
"tasr-houston-major","Gold 5.0","Round of 16","The WySpiker and the Wannabe","Hash Slinging Slashers","Brandon Arledge","Luke Mowry","Paul Belton","Walter Siller",1,0
"tasr-houston-major","Gold 5.0","Round of 16","Dax and worse Dax","Fajita Rita","Dax O'Hair","Ian Austin","James Ledbetter","Josiah Sanders",1,0
"tasr-houston-major","Gold 5.0","Round of 16","Dax and worse Dax","Fajita Rita","Dax O'Hair","Ian Austin","James Ledbetter","Josiah Sanders",1,0
"tasr-houston-major","Gold 5.0","Round of 16","chips and salsa","Pink Lemonade","Andrew Yager","","Nathan Garcia","AJ Hutchinson",1,0
"tasr-houston-major","Gold 5.0","Round of 16","chips and salsa","Pink Lemonade","Andrew Yager","","Nathan Garcia","AJ Hutchinson",0,1
"tasr-houston-major","Gold 5.0","Round of 16","chips and salsa","Pink Lemonade","Andrew Yager","","Nathan Garcia","AJ Hutchinson",1,0
"tasr-houston-major","Gold 5.0","Round of 16","Rice Cakes","Toxic Babblers ","JP Chincuanco","Owen Lynch","Jonathan Burer","Garrett Ashton",21,18
"tasr-houston-major","Gold 5.0","Round of 16","Rice Cakes","Toxic Babblers ","JP Chincuanco","Owen Lynch","Jonathan Burer","Garrett Ashton",17,21
"tasr-houston-major","Gold 5.0","Round of 16","Rice Cakes","Toxic Babblers ","JP Chincuanco","Owen Lynch","Jonathan Burer","Garrett Ashton",24,22
"tasr-houston-major","Gold 5.0","Quarter-final","Cerebral Drizzle","Rice Cakes","Matthew Burrows","Brian Childs","JP Chincuanco","Owen Lynch",21,17
"tasr-houston-major","Gold 5.0","Quarter-final","Cerebral Drizzle","Rice Cakes","Matthew Burrows","Brian Childs","JP Chincuanco","Owen Lynch",21,14
"tasr-houston-major","Gold 5.0","Quarter-final","nap","chips and salsa","Caleb Cummings","Nickhil Anantha","Andrew Yager","",21,13
"tasr-houston-major","Gold 5.0","Quarter-final","nap","chips and salsa","Caleb Cummings","Nickhil Anantha","Andrew Yager","",21,10
"tasr-houston-major","Gold 5.0","Quarter-final","Single Clutch","Dax and worse Dax","Rahul Murthy","Grayson M  Wills","Dax O'Hair","Ian Austin",1,0
"tasr-houston-major","Gold 5.0","Quarter-final","Single Clutch","Dax and worse Dax","Rahul Murthy","Grayson M  Wills","Dax O'Hair","Ian Austin",1,0
"tasr-houston-major","Gold 5.0","Quarter-final","Heroes and Villains","The WySpiker and the Wannabe","Tyler Fernandez","Andrew Christmas","Brandon Arledge","Luke Mowry",21,18
