"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"texasnationals2023","Gold 5.0","Pool","TRP Pain Killers ","Whatever idrc","Matthew Cole","Christian Bennett","Ian Austin","Micah Allin",15,13
"texasnationals2023","Gold 5.0","Pool","Rice Cakes","ClearBlade","Owen Lynch","JP Chincuanco","Ethan McWhirter","Brian Jennerich",15,10
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","Breaking Point","Tyler Fernandez","Cade Larson","James Ledbetter","Caleb Allen",15,6
"texasnationals2023","Gold 5.0","Pool","WySpike Synergy","Low Blows","Matthew Burrows","Nick Noguez","Jonathan Yuan","Kevin Chen",15,6
"texasnationals2023","Gold 5.0","Pool","Luke","Reagan/Truman 2024 ","Luke Mowry","Luke Marshall","Rhett Howe","bradley thompson",15,11
"texasnationals2023","Gold 5.0","Pool","WySpike Butterfingers","Flummoxed","Colton Mowry","Garrett Hornok","Dylan Jimenez","Robert Sellers",15,7
"texasnationals2023","Gold 5.0","Pool","Splash","Cornelius/Wagoner","Brian Childs","fredric hinkle","Bryce Wagoner","Logan Cornelius",15,5
"texasnationals2023","Gold 5.0","Pool","Short Kings","Lab Rats","Caleb Cummings","Myles Coleman","Samuel Cole","Michael Milliorn",15,8
"texasnationals2023","Gold 5.0","Pool","TRP Pain Killers ","ClearBlade","Matthew Cole","Christian Bennett","Ethan McWhirter","Brian Jennerich",15,7
"texasnationals2023","Gold 5.0","Pool","Martinez/Arledge","Whatever idrc","Brandon Arledge","Felipe Martinez","Ian Austin","Micah Allin",15,13
"texasnationals2023","Gold 5.0","Pool","Cheeky Boys","Low Blows","Tyler Fernandez","Cade Larson","Jonathan Yuan","Kevin Chen",15,7
"texasnationals2023","Gold 5.0","Pool","Fool's Gold","Breaking Point","Jerm Porter","Josiah Sanders","James Ledbetter","Caleb Allen",16,14
"texasnationals2023","Gold 5.0","Pool","Luke","Flummoxed","Luke Mowry","Luke Marshall","Dylan Jimenez","Robert Sellers",15,12
"texasnationals2023","Gold 5.0","Pool","Hash Slinging Slashers","Reagan/Truman 2024 ","Paul Belton","Walter Siller","Rhett Howe","bradley thompson",13,15
"texasnationals2023","Gold 5.0","Pool","Splash","Lab Rats","Brian Childs","fredric hinkle","Samuel Cole","Michael Milliorn",15,12
"texasnationals2023","Gold 5.0","Pool","Walk in the Park","Cornelius/Wagoner","jacob gansle","Iason Hayes","Bryce Wagoner","Logan Cornelius",18,16
