"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"thepeopleschampionship","Premier","Pool","Rogue","Fashionably Late ","Ryan Marino","Thomas Hamilton","Aleks Essen","David Gonzales",21,9
"thepeopleschampionship","Premier","Pool","Basketball Purity","Dry Heat >","Jack Bushart","Joey Reynolds","Kalin Morgan","Thomas Maloney",21,15
"thepeopleschampionship","Premier","Pool","Bart Harley Jarvis","Cha Cha Slide","Ryan Gross","Clark Marshall","Brad Yates","Levi Rogers",21,10
"thepeopleschampionship","Premier","Pool","Wideman/ Kir","Super Awesome Spikers","Nick Wideman","Calyn Kir","Chris Kaptur","Max Fiebelkorn",21,23
"thepeopleschampionship","Premier","Pool","GFD Grass Fed","CRO Double McTwist","Matthew Cole","Grant Klapwijk","Kyle Jeung","Jared Ang",21,11
"thepeopleschampionship","Premier","Pool","Blind Spot","Tickle Me Elmo","Corey Weiss","Maxwell Gunneson","Austin Ha","Shane Soto",21,12
"thepeopleschampionship","Premier","Pool","Critical Hit","FCR BHAD Boys","Vincent Mathieu","Justin Barr","Nethaniel Gabriel","Joey Renaud",21,11
"thepeopleschampionship","Premier","Pool","GFD Shorter & Taller","CRO Fieldhousers","Caleb Shorter","Andrew Sullivan","Ben Pernfuss","Nicholas Puopolo",21,12
"thepeopleschampionship","Premier","Pool","Josh/Nick","Munch","Joshua Hachey","Nick Evanko","Gabriel Skaggs","Josiah McKinney",21,17
"thepeopleschampionship","Premier","Pool","Swamp Donkeys","Primal","Emerson Dean","Etienne Cote","Micah Bouman","Ruben Zapata",21,18
"thepeopleschampionship","Premier","Pool","Those guys","Mass on Sunday","Matthew Burrows","Rendall Weaver","Justin Kehoe","Bradley Clark",21,13
"thepeopleschampionship","Premier","Pool","Skill Issue","Uossss","Josh Hutko","Adam Porter","David Rowlands","Sam Mccune",21,13
"thepeopleschampionship","Premier","Pool","Pneumatic💥","CRO Dive Bar","Dawson Morgan","Blake Bosak","Dylan Mark","Logan Snair",21,8
"thepeopleschampionship","Premier","Pool","Evasive Maneuvers","Vote No on 1 🇺🇸🇺🇸🇺🇸","Michael Barkman","Jenson Miller","Tommy Oddo","Daniel Patten",21,12
"thepeopleschampionship","Premier","Pool","Glitch","We Move","Cody Dryer","Luke Nickel","Nate Wilson","Clifford Amadeo LeVeque",15,21
"thepeopleschampionship","Premier","Pool","Profit Boost","CRO u up?","Kieran Rose","Justin Shaytar","Eric Reinke","Nathan Goh",21,15
"thepeopleschampionship","Premier","Pool","Nebs","Arledge/Hobart","Skyler Sebring","Neal Bergman","Colin Hobart","Brandon Arledge",21,13
"thepeopleschampionship","Premier","Pool","Daddy is always right","Beard/Broekema","Kyle Fowler","Owen Bass","Lindros Beard","Gavin Broekema",21,16
"thepeopleschampionship","Premier","Pool","Rogue","Dry Heat >","Ryan Marino","Thomas Hamilton","Kalin Morgan","Thomas Maloney",21,7
"thepeopleschampionship","Premier","Pool","Birthday Sets (formerly GET CAKED)","Fashionably Late ","Tim Lacagnina","Henry Pilliod","Aleks Essen","David Gonzales",21,13
"thepeopleschampionship","Premier","Pool","Bart Harley Jarvis","Super Awesome Spikers","Ryan Gross","Clark Marshall","Chris Kaptur","Max Fiebelkorn",21,11
"thepeopleschampionship","Premier","Pool","CRO Sam Sucks","Cha Cha Slide","Samuel Corey","Adrian Garcea","Brad Yates","Levi Rogers",21,12
"thepeopleschampionship","Premier","Pool","GFD Grass Fed","Tickle Me Elmo","Matthew Cole","Grant Klapwijk","Austin Ha","Shane Soto",21,10
"thepeopleschampionship","Premier","Pool","Daymare","CRO Double McTwist","Grayson M  Wills","Kyan Kornfeld","Kyle Jeung","Jared Ang",21,9
"thepeopleschampionship","Premier","Pool","Critical Hit","CRO Fieldhousers","Vincent Mathieu","Justin Barr","Ben Pernfuss","Nicholas Puopolo",21,11
"thepeopleschampionship","Premier","Pool","GFD Shorter & Taller","Josh/Nick","Caleb Shorter","Andrew Sullivan","Joshua Hachey","Nick Evanko",21,17
"thepeopleschampionship","Premier","Pool","Munch","FCR BHAD Boys","Gabriel Skaggs","Josiah McKinney","Nethaniel Gabriel","Joey Renaud",12,21
"thepeopleschampionship","Premier","Pool","Swamp Donkeys","Mass on Sunday","Emerson Dean","Etienne Cote","Justin Kehoe","Bradley Clark",21,8
"thepeopleschampionship","Premier","Pool","Those guys","Skill Issue","Matthew Burrows","Rendall Weaver","Josh Hutko","Adam Porter",21,18
"thepeopleschampionship","Premier","Pool","Uossss","Primal","David Rowlands","Sam Mccune","Micah Bouman","Ruben Zapata",19,21
"thepeopleschampionship","Premier","Pool","Pneumatic💥","Vote No on 1 🇺🇸🇺🇸🇺🇸","Dawson Morgan","Blake Bosak","Tommy Oddo","Daniel Patten",21,5
"thepeopleschampionship","Premier","Pool","Evasive Maneuvers","Glitch","Michael Barkman","Jenson Miller","Cody Dryer","Luke Nickel",21,17
"thepeopleschampionship","Premier","Pool","We Move","CRO Dive Bar","Nate Wilson","Clifford Amadeo LeVeque","Dylan Mark","Logan Snair",21,18
"thepeopleschampionship","Premier","Pool","Profit Boost","Arledge/Hobart","Kieran Rose","Justin Shaytar","Colin Hobart","Brandon Arledge",21,11
"thepeopleschampionship","Premier","Pool","Nebs","Daddy is always right","Skyler Sebring","Neal Bergman","Kyle Fowler","Owen Bass",22,20
"thepeopleschampionship","Premier","Pool","Beard/Broekema","CRO u up?","Lindros Beard","Gavin Broekema","Eric Reinke","Nathan Goh",21,13
"thepeopleschampionship","Premier","Pool","Rogue","Birthday Sets (formerly GET CAKED)","Ryan Marino","Thomas Hamilton","Tim Lacagnina","Henry Pilliod",21,12
