"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2023nationals","4.0+ Mixed Pro","Pool","Pesto","Simmons students","Ryan Gross","Shachi Patel","Tate Keber","Davis Kennedy",21,4
"usar2023nationals","4.0+ Mixed Pro","Pool","End Route ","IDK","Camille Anderson","Paq Clifford","Josh Fragiacomo","Lou Washburn",21,19
"usar2023nationals","4.0+ Mixed Pro","Pool","Chapped Lips","In the Loop","Dawson Morgan","Kalin Morgan","McKenzie Faherty","Jon LeFrois",21,9
"usar2023nationals","4.0+ Mixed Pro","Pool","Kierstie","Side Hoes","Kieran Rose","Kirstie Savage","Ethan Westfall","Sarah Vilardo",21,10
"usar2023nationals","4.0+ Mixed Pro","Pool","Try Hards TVR","Coup de Tête","Nicol Gahley","Kaleb Wagner","Emma Angeletti","Ben Savage",27,25
"usar2023nationals","4.0+ Mixed Pro","Pool","Pesto","IDK","Ryan Gross","Shachi Patel","Josh Fragiacomo","Lou Washburn",15,21
"usar2023nationals","4.0+ Mixed Pro","Pool","Literit","Simmons students","Ethan McWhirter","Sarah Allen","Tate Keber","Davis Kennedy",21,7
"usar2023nationals","4.0+ Mixed Pro","Pool","Chapped Lips","Side Hoes","Dawson Morgan","Kalin Morgan","Ethan Westfall","Sarah Vilardo",21,11
"usar2023nationals","4.0+ Mixed Pro","Pool","Kierstie","Try Hards TVR","Kieran Rose","Kirstie Savage","Nicol Gahley","Kaleb Wagner",21,19
"usar2023nationals","4.0+ Mixed Pro","Pool","Coup de Tête","In the Loop","Emma Angeletti","Ben Savage","McKenzie Faherty","Jon LeFrois",21,7
"usar2023nationals","4.0+ Mixed Pro","Pool","Pesto","Literit","Ryan Gross","Shachi Patel","Ethan McWhirter","Sarah Allen",21,14
"usar2023nationals","4.0+ Mixed Pro","Pool","End Route ","Simmons students","Camille Anderson","Paq Clifford","Tate Keber","Davis Kennedy",21,10
"usar2023nationals","4.0+ Mixed Pro","Pool","Chapped Lips","Coup de Tête","Dawson Morgan","Kalin Morgan","Emma Angeletti","Ben Savage",21,17
"usar2023nationals","4.0+ Mixed Pro","Pool","Kierstie","In the Loop","Kieran Rose","Kirstie Savage","McKenzie Faherty","Jon LeFrois",21,11
"usar2023nationals","4.0+ Mixed Pro","Pool","Try Hards TVR","Side Hoes","Nicol Gahley","Kaleb Wagner","Ethan Westfall","Sarah Vilardo",21,15
"usar2023nationals","4.0+ Mixed Pro","Pool","End Route ","Literit","Camille Anderson","Paq Clifford","Ethan McWhirter","Sarah Allen",21,14
"usar2023nationals","4.0+ Mixed Pro","Pool","IDK","Simmons students","Josh Fragiacomo","Lou Washburn","Tate Keber","Davis Kennedy",21,11
"usar2023nationals","4.0+ Mixed Pro","Pool","Chapped Lips","Try Hards TVR","Dawson Morgan","Kalin Morgan","Nicol Gahley","Kaleb Wagner",21,19
"usar2023nationals","4.0+ Mixed Pro","Pool","Kierstie","Coup de Tête","Kieran Rose","Kirstie Savage","Emma Angeletti","Ben Savage",21,11
"usar2023nationals","4.0+ Mixed Pro","Pool","Side Hoes","In the Loop","Ethan Westfall","Sarah Vilardo","McKenzie Faherty","Jon LeFrois",21,19
"usar2023nationals","4.0+ Mixed Pro","Pool","Pesto","End Route ","Ryan Gross","Shachi Patel","Camille Anderson","Paq Clifford",18,21
"usar2023nationals","4.0+ Mixed Pro","Pool","Literit","IDK","Ethan McWhirter","Sarah Allen","Josh Fragiacomo","Lou Washburn",15,21
"usar2023nationals","4.0+ Mixed Pro","Pool","Chapped Lips","Kierstie","Dawson Morgan","Kalin Morgan","Kieran Rose","Kirstie Savage",21,13
"usar2023nationals","4.0+ Mixed Pro","Pool","Try Hards TVR","In the Loop","Nicol Gahley","Kaleb Wagner","McKenzie Faherty","Jon LeFrois",21,13
"usar2023nationals","4.0+ Mixed Pro","Pool","Coup de Tête","Side Hoes","Emma Angeletti","Ben Savage","Ethan Westfall","Sarah Vilardo",21,12
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Try Hards TVR","In the Loop","Nicol Gahley","Kaleb Wagner","McKenzie Faherty","Jon LeFrois",21,13
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Try Hards TVR","In the Loop","Nicol Gahley","Kaleb Wagner","McKenzie Faherty","Jon LeFrois",21,18
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Coup de Tête","Simmons students","Emma Angeletti","Ben Savage","Tate Keber","Davis Kennedy",21,8
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Coup de Tête","Simmons students","Emma Angeletti","Ben Savage","Tate Keber","Davis Kennedy",21,13
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Literit","Side Hoes","Ethan McWhirter","Sarah Allen","Ethan Westfall","Sarah Vilardo",21,16
"usar2023nationals","4.0+ Mixed Pro","Round of 16","Literit","Side Hoes","Ethan McWhirter","Sarah Allen","Ethan Westfall","Sarah Vilardo",21,16
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","Chapped Lips","Literit","Dawson Morgan","Kalin Morgan","Ethan McWhirter","Sarah Allen",21,14
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","Chapped Lips","Literit","Dawson Morgan","Kalin Morgan","Ethan McWhirter","Sarah Allen",21,12
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","End Route ","Coup de Tête","Camille Anderson","Paq Clifford","Emma Angeletti","Ben Savage",21,17
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","End Route ","Coup de Tête","Camille Anderson","Paq Clifford","Emma Angeletti","Ben Savage",21,14
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","IDK","Try Hards TVR","Josh Fragiacomo","Lou Washburn","Nicol Gahley","Kaleb Wagner",21,14
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","IDK","Try Hards TVR","Josh Fragiacomo","Lou Washburn","Nicol Gahley","Kaleb Wagner",21,17
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","Kierstie","Pesto","Kieran Rose","Kirstie Savage","Ryan Gross","Shachi Patel",22,20
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","Kierstie","Pesto","Kieran Rose","Kirstie Savage","Ryan Gross","Shachi Patel",16,21
"usar2023nationals","4.0+ Mixed Pro","Quarter-final","Kierstie","Pesto","Kieran Rose","Kirstie Savage","Ryan Gross","Shachi Patel",15,21
"usar2023nationals","4.0+ Mixed Pro","Semi-final","Chapped Lips","Pesto","Dawson Morgan","Kalin Morgan","Ryan Gross","Shachi Patel",16,21
"usar2023nationals","4.0+ Mixed Pro","Semi-final","Chapped Lips","Pesto","Dawson Morgan","Kalin Morgan","Ryan Gross","Shachi Patel",19,21
"usar2023nationals","4.0+ Mixed Pro","Semi-final","End Route ","IDK","Camille Anderson","Paq Clifford","Josh Fragiacomo","Lou Washburn",21,17
"usar2023nationals","4.0+ Mixed Pro","Semi-final","End Route ","IDK","Camille Anderson","Paq Clifford","Josh Fragiacomo","Lou Washburn",19,-20
"usar2023nationals","4.0+ Mixed Pro","P5: Semi-final","Try Hards TVR","Coup de Tête","Nicol Gahley","Kaleb Wagner","Emma Angeletti","Ben Savage",-1,0
"usar2023nationals","4.0+ Mixed Pro","P9: Semi-final","Simmons students","In the Loop","Tate Keber","Davis Kennedy","McKenzie Faherty","Jon LeFrois",0,1
"usar2023nationals","4.0+ Mixed Pro","Final","Pesto","End Route ","Ryan Gross","Shachi Patel","Camille Anderson","Paq Clifford",21,10
"usar2023nationals","4.0+ Mixed Pro","Final","Pesto","End Route ","Ryan Gross","Shachi Patel","Camille Anderson","Paq Clifford",21,17
"usar2023nationals","4.0+ Mixed Pro","P3: Final","IDK","Chapped Lips","Josh Fragiacomo","Lou Washburn","Dawson Morgan","Kalin Morgan",-1,0
"usar2023nationals","4.0+ Mixed Pro","P3: Final","IDK","Chapped Lips","Josh Fragiacomo","Lou Washburn","Dawson Morgan","Kalin Morgan",-1,0
"usar2023nationals","4.0+ Mixed Pro","P9: Final","Side Hoes","In the Loop","Ethan Westfall","Sarah Vilardo","McKenzie Faherty","Jon LeFrois",1,0
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","Mike and Sully","Will Picone","Gabriel Finocchi","Liam Werner","Gavin Sullivan",21,5
"usar2023nationals","5.0+ Men's Pro","Pool","Le Pirate","J Chillin","Matt Spolarich","Maxwell Gunneson","Jared Beaufait","Christian Hill",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Fresh Cuts","Dan Abrams","Thomas Hamilton","Ethan Westfall","Mike Hamilton",21,10
"usar2023nationals","5.0+ Men's Pro","Pool","Dinomite","Blackmail","Auriel Wish","Charlie Camarena","Connor Prelich","A.j. Martin",21,15
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","TBD","Ryan Gross","Justin Shaytar","Blake VanDenTop","Jon LeFrois",21,10
"usar2023nationals","5.0+ Men's Pro","Pool","Degenerates","Dethrone","Jack coolbaugh","Thomas Hoffman","Patricio Duran","Ryan Fernandez",21,19
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Party Crashers","West Peterson","Owen Lippman","Brady Myles","Cal Jennings",21,5
"usar2023nationals","5.0+ Men's Pro","Pool","Outrageous","Risky Business","Ben Savage","Chase Meyer","Justin Kehoe","Kyle Fowler",21,11
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","Poiuytres","fredric hinkle","Max Model","Jack Duffy","Nilo Buan",21,9
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Fleet Footwork","Beeks/Porter","Matthew Burrows","Ethan McWhirter","Scott Beeks","Adam Porter",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","Lowkey","El Nino","Taylor Church","Dawson Morgan","Justin Wright","Lucas Aguiar",21,1
"usar2023nationals","5.0+ Men's Pro","Pool","Lazy","Pickle Juice","Luke Marshall","Cade Larson","Josh Hutko","Sam Mccune",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Slither","Bangla Tigers","Christian Bennett","Brendan Ferreira","Tahseen Robbani","Rahat Ullah",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","BorderLine","Stupid Time Sensitive Discounts","Kaleb Wagner","Trey Thompson","Daniel Haungs","Ethan Groover",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Not TBD","Seatbelts","Josh Fragiacomo","Caleb Cummings","Colin Harrington","Zachery Geist",21,5
"usar2023nationals","5.0+ Men's Pro","Pool","Backpaqued","Ryder/Roundnet","Kieran Rose","Paq Clifford","Wyatt Semke","Drew Ryder",21,9
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","J Chillin","Will Picone","Gabriel Finocchi","Jared Beaufait","Christian Hill",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Le Pirate","Mike and Sully","Matt Spolarich","Maxwell Gunneson","Liam Werner","Gavin Sullivan",22,20
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Blackmail","Dan Abrams","Thomas Hamilton","Connor Prelich","A.j. Martin",21,14
"usar2023nationals","5.0+ Men's Pro","Pool","Dinomite","Fresh Cuts","Auriel Wish","Charlie Camarena","Ethan Westfall","Mike Hamilton",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","Dethrone","Ryan Gross","Justin Shaytar","Patricio Duran","Ryan Fernandez",21,11
"usar2023nationals","5.0+ Men's Pro","Pool","Degenerates","TBD","Jack coolbaugh","Thomas Hoffman","Blake VanDenTop","Jon LeFrois",21,5
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Risky Business","West Peterson","Owen Lippman","Justin Kehoe","Kyle Fowler",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Outrageous","Party Crashers","Ben Savage","Chase Meyer","Brady Myles","Cal Jennings",21,11
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","Beeks/Porter","fredric hinkle","Max Model","Scott Beeks","Adam Porter",21,14
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Fleet Footwork","Poiuytres","Matthew Burrows","Ethan McWhirter","Jack Duffy","Nilo Buan",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Lowkey","Pickle Juice","Taylor Church","Dawson Morgan","Josh Hutko","Sam Mccune",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Lazy","El Nino","Luke Marshall","Cade Larson","Justin Wright","Lucas Aguiar",21,3
"usar2023nationals","5.0+ Men's Pro","Pool","Slither","Stupid Time Sensitive Discounts","Christian Bennett","Brendan Ferreira","Daniel Haungs","Ethan Groover",21,6
"usar2023nationals","5.0+ Men's Pro","Pool","BorderLine","Bangla Tigers","Kaleb Wagner","Trey Thompson","Tahseen Robbani","Rahat Ullah",21,7
"usar2023nationals","5.0+ Men's Pro","Pool","Not TBD","Ryder/Roundnet","Josh Fragiacomo","Caleb Cummings","Wyatt Semke","Drew Ryder",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Backpaqued","Seatbelts","Kieran Rose","Paq Clifford","Colin Harrington","Zachery Geist",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","Le Pirate","Will Picone","Gabriel Finocchi","Matt Spolarich","Maxwell Gunneson",21,15
"usar2023nationals","5.0+ Men's Pro","Pool","J Chillin","Mike and Sully","Jared Beaufait","Christian Hill","Liam Werner","Gavin Sullivan",21,15
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Dinomite","Dan Abrams","Thomas Hamilton","Auriel Wish","Charlie Camarena",17,21
"usar2023nationals","5.0+ Men's Pro","Pool","Blackmail","Fresh Cuts","Connor Prelich","A.j. Martin","Ethan Westfall","Mike Hamilton",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","Degenerates","Ryan Gross","Justin Shaytar","Jack coolbaugh","Thomas Hoffman",17,21
"usar2023nationals","5.0+ Men's Pro","Pool","Dethrone","TBD","Patricio Duran","Ryan Fernandez","Blake VanDenTop","Jon LeFrois",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Outrageous","West Peterson","Owen Lippman","Ben Savage","Chase Meyer",21,17
"usar2023nationals","5.0+ Men's Pro","Pool","Risky Business","Party Crashers","Justin Kehoe","Kyle Fowler","Brady Myles","Cal Jennings",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","TRP Fleet Footwork","fredric hinkle","Max Model","Matthew Burrows","Ethan McWhirter",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Beeks/Porter","Poiuytres","Scott Beeks","Adam Porter","Jack Duffy","Nilo Buan",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Lowkey","Lazy","Taylor Church","Dawson Morgan","Luke Marshall","Cade Larson",19,21
"usar2023nationals","5.0+ Men's Pro","Pool","Pickle Juice","El Nino","Josh Hutko","Sam Mccune","Justin Wright","Lucas Aguiar",21,3
"usar2023nationals","5.0+ Men's Pro","Pool","Slither","BorderLine","Christian Bennett","Brendan Ferreira","Kaleb Wagner","Trey Thompson",19,21
"usar2023nationals","5.0+ Men's Pro","Pool","Stupid Time Sensitive Discounts","Bangla Tigers","Daniel Haungs","Ethan Groover","Tahseen Robbani","Rahat Ullah",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Not TBD","Backpaqued","Josh Fragiacomo","Caleb Cummings","Kieran Rose","Paq Clifford",13,21
"usar2023nationals","5.0+ Men's Pro","Pool","Ryder/Roundnet","Seatbelts","Wyatt Semke","Drew Ryder","Colin Harrington","Zachery Geist",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","Mike and Sully","Will Picone","Gabriel Finocchi","Liam Werner","Gavin Sullivan",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Le Pirate","J Chillin","Matt Spolarich","Maxwell Gunneson","Jared Beaufait","Christian Hill",17,21
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Fresh Cuts","Dan Abrams","Thomas Hamilton","Ethan Westfall","Mike Hamilton",21,11
"usar2023nationals","5.0+ Men's Pro","Pool","Dinomite","Blackmail","Auriel Wish","Charlie Camarena","Connor Prelich","A.j. Martin",21,17
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","TBD","Ryan Gross","Justin Shaytar","Blake VanDenTop","Jon LeFrois",21,9
"usar2023nationals","5.0+ Men's Pro","Pool","Degenerates","Dethrone","Jack coolbaugh","Thomas Hoffman","Patricio Duran","Ryan Fernandez",21,17
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Party Crashers","West Peterson","Owen Lippman","Brady Myles","Cal Jennings",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Outrageous","Risky Business","Ben Savage","Chase Meyer","Justin Kehoe","Kyle Fowler",21,14
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","Poiuytres","fredric hinkle","Max Model","Jack Duffy","Nilo Buan",21,6
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Fleet Footwork","Beeks/Porter","Matthew Burrows","Ethan McWhirter","Scott Beeks","Adam Porter",18,21
"usar2023nationals","5.0+ Men's Pro","Pool","Lowkey","El Nino","Taylor Church","Dawson Morgan","Justin Wright","Lucas Aguiar",21,3
"usar2023nationals","5.0+ Men's Pro","Pool","Lazy","Pickle Juice","Luke Marshall","Cade Larson","Josh Hutko","Sam Mccune",21,17
"usar2023nationals","5.0+ Men's Pro","Pool","Slither","Bangla Tigers","Christian Bennett","Brendan Ferreira","Tahseen Robbani","Rahat Ullah",21,10
"usar2023nationals","5.0+ Men's Pro","Pool","BorderLine","Stupid Time Sensitive Discounts","Kaleb Wagner","Trey Thompson","Daniel Haungs","Ethan Groover",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","Not TBD","Seatbelts","Josh Fragiacomo","Caleb Cummings","Colin Harrington","Zachery Geist",21,11
"usar2023nationals","5.0+ Men's Pro","Pool","Backpaqued","Ryder/Roundnet","Kieran Rose","Paq Clifford","Wyatt Semke","Drew Ryder",21,7
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","J Chillin","Will Picone","Gabriel Finocchi","Jared Beaufait","Christian Hill",21,15
"usar2023nationals","5.0+ Men's Pro","Pool","Le Pirate","Mike and Sully","Matt Spolarich","Maxwell Gunneson","Liam Werner","Gavin Sullivan",21,14
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Blackmail","Dan Abrams","Thomas Hamilton","Connor Prelich","A.j. Martin",21,9
"usar2023nationals","5.0+ Men's Pro","Pool","Dinomite","Fresh Cuts","Auriel Wish","Charlie Camarena","Ethan Westfall","Mike Hamilton",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","Dethrone","Ryan Gross","Justin Shaytar","Patricio Duran","Ryan Fernandez",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Degenerates","TBD","Jack coolbaugh","Thomas Hoffman","Blake VanDenTop","Jon LeFrois",21,3
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Risky Business","West Peterson","Owen Lippman","Justin Kehoe","Kyle Fowler",21,17
"usar2023nationals","5.0+ Men's Pro","Pool","Outrageous","Party Crashers","Ben Savage","Chase Meyer","Brady Myles","Cal Jennings",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","Beeks/Porter","fredric hinkle","Max Model","Scott Beeks","Adam Porter",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Fleet Footwork","Poiuytres","Matthew Burrows","Ethan McWhirter","Jack Duffy","Nilo Buan",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Lowkey","Pickle Juice","Taylor Church","Dawson Morgan","Josh Hutko","Sam Mccune",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Lazy","El Nino","Luke Marshall","Cade Larson","Justin Wright","Lucas Aguiar",21,2
"usar2023nationals","5.0+ Men's Pro","Pool","Slither","Stupid Time Sensitive Discounts","Christian Bennett","Brendan Ferreira","Daniel Haungs","Ethan Groover",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","BorderLine","Bangla Tigers","Kaleb Wagner","Trey Thompson","Tahseen Robbani","Rahat Ullah",21,9
"usar2023nationals","5.0+ Men's Pro","Pool","Not TBD","Ryder/Roundnet","Josh Fragiacomo","Caleb Cummings","Wyatt Semke","Drew Ryder",21,8
"usar2023nationals","5.0+ Men's Pro","Pool","Backpaqued","Seatbelts","Kieran Rose","Paq Clifford","Colin Harrington","Zachery Geist",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","Finocchi/Picone","Le Pirate","Will Picone","Gabriel Finocchi","Matt Spolarich","Maxwell Gunneson",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","J Chillin","Mike and Sully","Jared Beaufait","Christian Hill","Liam Werner","Gavin Sullivan",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Abrams / Hamilton","Dinomite","Dan Abrams","Thomas Hamilton","Auriel Wish","Charlie Camarena",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Blackmail","Fresh Cuts","Connor Prelich","A.j. Martin","Ethan Westfall","Mike Hamilton",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","Gross/Shaytar","Degenerates","Ryan Gross","Justin Shaytar","Jack coolbaugh","Thomas Hoffman",21,18
"usar2023nationals","5.0+ Men's Pro","Pool","Dethrone","TBD","Patricio Duran","Ryan Fernandez","Blake VanDenTop","Jon LeFrois",21,16
"usar2023nationals","5.0+ Men's Pro","Pool","Bot House","Outrageous","West Peterson","Owen Lippman","Ben Savage","Chase Meyer",21,13
"usar2023nationals","5.0+ Men's Pro","Pool","Risky Business","Party Crashers","Justin Kehoe","Kyle Fowler","Brady Myles","Cal Jennings",21,12
"usar2023nationals","5.0+ Men's Pro","Pool","TRP Blank Check","TRP Fleet Footwork","fredric hinkle","Max Model","Matthew Burrows","Ethan McWhirter",21,16
