"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"usar2024west","5.0+ Men's","Pool","Assistive Touch","Tapatíos ❤️‍🔥","Buddy Hammon","Clark Marshall","Colin Gonzalez","Felipe Toscano",21,11
"usar2024west","5.0+ Men's","Pool","Tanned and Married","Treesap Dog","Marlon Fleming","Drew Cummins","Garrett Meredith","Nicolas Ramos",21,15
"usar2024west","5.0+ Men's","Pool","numb","YuseiLJai","Kieran Rose","Paq Clifford","Yusei Fujikura","Jai Parera",21,10
"usar2024west","5.0+ Men's","Pool","Quality Service","Big Schwing","Andrew Kosche","Jacob Payer","Rafi Moldovsky","Alec Galbo",21,15
"usar2024west","5.0+ Men's","Pool","J.A.R.V.I.S.","Chorn Champs","Josh Fragiacomo","Connor Nelson","Nathan Paauw","Reece Greer",21,10
"usar2024west","5.0+ Men's","Pool","Cain/Pruett","flippin spikers","Josh Cain","Lucas Pruett","Kyler Burton","Kevin Reddell",21,13
"usar2024west","5.0+ Men's","Pool","Bink City","SR Redemption","Tyler Fernandez","fredric hinkle","Harding Brumby","Nate Gauthier",21,14
"usar2024west","5.0+ Men's","Pool","Injured Reserve","Medieval Dimes","Brandon Brown","Joseph Kaylor","Dylan Medveal","Austin Gauerke",21,15
"usar2024west","5.0+ Men's","Pool","Kornfeld/Woolley","Flaming buccaneers","Kyan Kornfeld","Jake Woolley","Sean Fireball","Dylan Styron",21,11
"usar2024west","5.0+ Men's","Pool","Ortlip/Pennington","Barely Expert","Luke Pennington","Matt Ortlip","Blake Kasama","Holden Frey",21,7
"usar2024west","5.0+ Men's","Pool","Assistive Touch","Treesap Dog","Buddy Hammon","Clark Marshall","Garrett Meredith","Nicolas Ramos",21,10
"usar2024west","5.0+ Men's","Pool","inDUbitably","Tapatíos ❤️‍🔥","Schon Siguenza","Michael Du","Colin Gonzalez","Felipe Toscano",21,15
"usar2024west","5.0+ Men's","Pool","numb","Big Schwing","Kieran Rose","Paq Clifford","Rafi Moldovsky","Alec Galbo",21,11
"usar2024west","5.0+ Men's","Pool","Highway Robbery","YuseiLJai","Ryan McCargar","James Lamkin","Yusei Fujikura","Jai Parera",22,20
"usar2024west","5.0+ Men's","Pool","J.A.R.V.I.S.","flippin spikers","Josh Fragiacomo","Connor Nelson","Kyler Burton","Kevin Reddell",21,8
"usar2024west","5.0+ Men's","Pool","lefty on 2","Chorn Champs","Jackson Blackburn","Max Shoemaker","Nathan Paauw","Reece Greer",21,18
"usar2024west","5.0+ Men's","Pool","Bink City","Medieval Dimes","Tyler Fernandez","fredric hinkle","Dylan Medveal","Austin Gauerke",21,14
"usar2024west","5.0+ Men's","Pool","Yourmom","SR Redemption","Clifton Miller","tucker judkins","Harding Brumby","Nate Gauthier",21,18
"usar2024west","5.0+ Men's","Pool","Kornfeld/Woolley","Barely Expert","Kyan Kornfeld","Jake Woolley","Blake Kasama","Holden Frey",21,10
"usar2024west","5.0+ Men's","Pool","Trojan Horse","Flaming buccaneers","Nolan Wynkoop","Max Huang","Sean Fireball","Dylan Styron",21,13
"usar2024west","5.0+ Men's","Pool","Assistive Touch","inDUbitably","Buddy Hammon","Clark Marshall","Schon Siguenza","Michael Du",21,16
"usar2024west","5.0+ Men's","Pool","Tanned and Married","Tapatíos ❤️‍🔥","Marlon Fleming","Drew Cummins","Colin Gonzalez","Felipe Toscano",21,13
"usar2024west","5.0+ Men's","Pool","numb","Highway Robbery","Kieran Rose","Paq Clifford","Ryan McCargar","James Lamkin",21,13
"usar2024west","5.0+ Men's","Pool","Quality Service","YuseiLJai","Andrew Kosche","Jacob Payer","Yusei Fujikura","Jai Parera",21,14
"usar2024west","5.0+ Men's","Pool","J.A.R.V.I.S.","lefty on 2","Josh Fragiacomo","Connor Nelson","Jackson Blackburn","Max Shoemaker",21,14
"usar2024west","5.0+ Men's","Pool","Cain/Pruett","Chorn Champs","Josh Cain","Lucas Pruett","Nathan Paauw","Reece Greer",21,19
"usar2024west","5.0+ Men's","Pool","Bink City","Yourmom","Tyler Fernandez","fredric hinkle","Clifton Miller","tucker judkins",21,15
"usar2024west","5.0+ Men's","Pool","Injured Reserve","SR Redemption","Brandon Brown","Joseph Kaylor","Harding Brumby","Nate Gauthier",21,12
"usar2024west","5.0+ Men's","Pool","Kornfeld/Woolley","Trojan Horse","Kyan Kornfeld","Jake Woolley","Nolan Wynkoop","Max Huang",21,17
"usar2024west","5.0+ Men's","Pool","Ortlip/Pennington","Flaming buccaneers","Luke Pennington","Matt Ortlip","Sean Fireball","Dylan Styron",21,6
"usar2024west","5.0+ Men's","Pool","Tanned and Married","inDUbitably","Marlon Fleming","Drew Cummins","Schon Siguenza","Michael Du",21,19
"usar2024west","5.0+ Men's","Pool","Treesap Dog","Tapatíos ❤️‍🔥","Garrett Meredith","Nicolas Ramos","Colin Gonzalez","Felipe Toscano",21,13
"usar2024west","5.0+ Men's","Pool","Quality Service","Highway Robbery","Andrew Kosche","Jacob Payer","Ryan McCargar","James Lamkin",21,19
"usar2024west","5.0+ Men's","Pool","Big Schwing","YuseiLJai","Rafi Moldovsky","Alec Galbo","Yusei Fujikura","Jai Parera",21,17
"usar2024west","5.0+ Men's","Pool","Cain/Pruett","lefty on 2","Josh Cain","Lucas Pruett","Jackson Blackburn","Max Shoemaker",21,15
