"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"waco2023","Gold 5.0","Pool","WySpike Sweepers","Beer Bellies","Nick Noguez","Colton Mowry","Noah Johnson","Jonathan Burer",21,18
"waco2023","Gold 5.0","Pool","The Imposters","PORKCHOP","Luke Marshall","Dax O'Hair","James Ledbetter","Felipe Martinez",21,12
"waco2023","Gold 5.0","Pool","WySpike FIFO","Bink City","Garrett Hornok","Matthew Burrows","Ian Austin","Myles Coleman",21,19
"waco2023","Gold 5.0","Pool","Chump Change","White Rice","Fredric Hinkle","Grayson M  Wills","JP Chincuanco","Owen Lynch",21,15
"waco2023","Gold 5.0","Pool","Arnold Zestaenegger","504 Plan","Luis Orozco","Noah Beinart","Bryce Wagoner","Brandon Arledge",21,16
"waco2023","Gold 5.0","Pool","Sausage Rotation","Hash Slinging Slashers","Luke Mowry","Brian Childs","Walter Siller","Paul Belton",21,11
"waco2023","Gold 5.0","Pool","Big Dawgs","Bad setters","Caleb Cummings","Tyler Fernandez","jacob gansle","kevin cadle",21,15
"waco2023","Gold 5.0","Pool","Baylor Toxicity","BHM","bradley thompson","Garrett Ashton","Nickhil Anantha","Andrew Christmas",21,18
"waco2023","Gold 5.0","Pool","WySpike Sweepers","PORKCHOP","Nick Noguez","Colton Mowry","James Ledbetter","Felipe Martinez",21,17
"waco2023","Gold 5.0","Pool","Tease","Beer Bellies","Cade Larson","Josh Weinbach","Noah Johnson","Jonathan Burer",21,10
"waco2023","Gold 5.0","Pool","WySpike FIFO","White Rice","Garrett Hornok","Matthew Burrows","JP Chincuanco","Owen Lynch",21,12
"waco2023","Gold 5.0","Pool","Chump Change","Arnold Zestaenegger","Fredric Hinkle","Grayson M  Wills","Luis Orozco","Noah Beinart",21,18
"waco2023","Gold 5.0","Pool","504 Plan","Bink City","Bryce Wagoner","Brandon Arledge","Ian Austin","Myles Coleman",21,17
