"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"windy-city-classic-23","Premier(5.0)","Pool","Rogue","Munch","Ryan Marino","Thomas Hamilton","Josiah McKinney","Gabriel Skaggs",21,8
"windy-city-classic-23","Premier(5.0)","Pool","Cliff Notes","Jonald Treygan","Luis Orozco","Clifford Amadeo LeVeque","Jon Moe","Trey Newman",21,16
"windy-city-classic-23","Premier(5.0)","Pool","Nightmare on Sesame Street","Jack & the Beanstalk","Justin Barr","Chris Wilkins","ISAAC GAVIN","jack saunders",21,13
"windy-city-classic-23","Premier(5.0)","Pool","Basketball Purity","Transfer portal","Jack Bushart","Joey Reynolds","Jack W","Nick Evanko",21,19
"windy-city-classic-23","Premier(5.0)","Pool","Tube Steaks","Griddy Guys","Skyler Sebring","Emerson Dean","Rob's Traveler","Tim Lacagnina",23,21
"windy-city-classic-23","Premier(5.0)","Pool","Hive Mind","The Diamond Dogs","Cole Maddox","Lindros Beard","Bennett Anderson","Reid Pfutzenreuter",14,21
"windy-city-classic-23","Premier(5.0)","Pool","Shorter & Taller","Brace yourself","Caleb Shorter","Andrew Sullivan","Peter Lam","Jared Ang",21,13
"windy-city-classic-23","Premier(5.0)","Pool","CRO Fall Damage","Risky Business","Chris Brown","Tyler Babin","Justin Kehoe","Kyle Fowler",21,8
"windy-city-classic-23","Premier(5.0)","Pool","Revised Banquet","Defected","Gavin Broekema","Andy Trower","Reilly Paquette","Calyn Kir",21,19
"windy-city-classic-23","Premier(5.0)","Pool","Rogue","Jonald Treygan","Ryan Marino","Thomas Hamilton","Jon Moe","Trey Newman",21,13
"windy-city-classic-23","Premier(5.0)","Pool","Wilkins Warriors","Munch","Grayson M  Wills","Mitch Kelley","Josiah McKinney","Gabriel Skaggs",18,21
"windy-city-classic-23","Premier(5.0)","Pool","Nightmare on Sesame Street","Transfer portal","Justin Barr","Chris Wilkins","Jack W","Nick Evanko",21,16
"windy-city-classic-23","Premier(5.0)","Pool","Super Awesome Spikers","Jack & the Beanstalk","Max Fiebelkorn","Chris Kaptur","ISAAC GAVIN","jack saunders",21,18
"windy-city-classic-23","Premier(5.0)","Pool","Tube Steaks","The Diamond Dogs","Skyler Sebring","Emerson Dean","Bennett Anderson","Reid Pfutzenreuter",19,21
"windy-city-classic-23","Premier(5.0)","Pool","G/T","Griddy Guys","Taaron Rudzitis","Grant Longland","Rob's Traveler","Tim Lacagnina",16,21
"windy-city-classic-23","Premier(5.0)","Pool","Shorter & Taller","Risky Business","Caleb Shorter","Andrew Sullivan","Justin Kehoe","Kyle Fowler",21,14
